"credits","dealer_id","name"
1971,1,"A Demo Dealer"
10000,34,"Powertap"
8380,51,"Rack Attack"
10000,52,"REI"
10000,53,"Moose Jaw"
10000,54,"EMS"
10000,55,"Altrec"
10000,94,"Email Demo"
500,110,"Prenger Furniture"
1500,129,"Bixby Plaza Carpets Plus"
1500,141,"Myers Floors & Interiors"
1500,159,"TAYLOR CARPET ONE FLOOR & HOME"
1500,171,"Venetian Blind Carpet One"
1500,193,"Halverson Carpet Center"
1000,203,"Drexel Interiors"
1000,215,"Yates Flooring Center"
500,223,"CREATIVE CPTS WINTERSVILLE INC"
1000,235,"Kelley Karpets"
1500,253,"Bode Floors, Div. CB Flooring"
1500,312,"DeSitter Flooring"
2994,323,"A J Rose Carpets & Flooring"
1500,326,"Carpet Corner"
1435,343,"Dover Fine Rug & Carpeting"
653,364,"Flooring America of Franklin"
1000,379,"Floors Of Distinction"
5077,381,"K & Y Carpet One"
1500,402,"Stinson`s Home Design Center"
1500,404,"Issis & Sons Carpet & Oriental Rugs"
800,414,"CITY TILE & FLOOR COVERING"
1818,424,"Drexel Incorporated"
500,456,"G. Fried Carpet"
1500,465,"Sweeney Brothers"
1000,473,"StoneRidge Carpets"
4125,486,"Flooring America of White Plains"
1500,487,"Ropposch Brothers Floor Covering Inc"
1500,493,"Carpet Village"
1000,506,"ROBERTS Carpet & Fine Floors"
2000,508,"The Square Yard"
1500,522,"Hallmark Floor Company Inc"
1793,535,"B J MESSNER COMPANY"
1500,552,"Abbey Carpet of Grand Junction"
1000,565,"Menke Inc."
1000,588,"Speedwell Design"
1987,598,"Yonan Carpet One Floor and Home"
1500,602,"Atlanta Flooring Design Centers"
3271,614,"Foremost Interiors"
1097,623,"Sherlock`s Carpet  & Tile"
2923,631,"K.A. Pridjian Carpet & Rugs"
800,644,"Carpet Shoppe Inc"
1000,649,"Warners Rug & Carpet Outlet"
1500,667,"Rite Loom Carpet Co"
1500,669,"Mc Cools Carpet"
1500,689,"Carousel Inc"
935,701,"Hester's Floor Covering"
1000,726,"Peerless Imported Rugs"
