manufacturers_id	style_name
1	Wood
2	Wood
3	Laminate
4	Laminate
4	Wood
5	Laminate
6	Laminate
7	Laminate
7	Wood
8	Vinyl
9	Vinyl
10	Vinyl
11	Vinyl
12	Laminate
12	Wood
13	Laminate
13	Wood
14	Wood
15	Laminate
15	Wood
16	Laminate
16	Wood
17	Laminate
18	Vinyl
19	Wood
20	Laminate
21	Vinyl
22	Vinyl
23	Vinyl
24	Vinyl
25	Wood
26	Wood
27	Laminate
27	Wood
28	Laminate
28	Wood
29	Laminate
30	Vinyl
31	Vinyl
32	Vinyl
33	Vinyl
34	Vinyl
35	Wood
36	Laminate
36	Wood
37	Laminate
38	Laminate
39	Vinyl
40	Vinyl
41	Wood
42	Laminate
42	Wood
43	Laminate
44	Vinyl
45	Vinyl
46	Vinyl
47	Wood
48	Laminate
48	Wood
49	Laminate
50	Vinyl
51	Vinyl
52	Vinyl
53	Laminate
54	Laminate
55	Laminate
56	Vinyl
57	Vinyl
58	Vinyl
59	Wood
60	Laminate
60	Wood
61	Vinyl
62	Vinyl
63	Vinyl
