brand	manufacturers_id	name	description	room_image_url	warranty
Bruce	1	Black Acacia		http://s7d2.scene7.com/is/image/Armstrong/RSSHS5501_2A?wid=600	Not Available
Bruce	2	Birch		http://s7d2.scene7.com/is/image/Armstrong/RSSHS5506_2?wid=600	Not Available
Bruce	3	Wenge		http://s7d2.scene7.com/is/image/Armstrong/RSL3045_1?wid=600	30-Year Limited Residential Warranty
Armstrong	4	Cabreuva		http://s7d2.scene7.com/is/image/Armstrong/RSCA422NA_2?wid=600	"25-Year Residential Finish Warranty / 3-Year Commercial Finish Warranty, Lifetime Structural Warranty"
Bruce	5	Pradoo		http://s7d2.scene7.com/is/image/Armstrong/RSL3018_2?wid=600	30-Year Limited Residential Warranty
Armstrong	6	Fruitwood		http://s7d2.scene7.com/is/image/Armstrong/RSL3044_OH_1?wid=600	15 Year Commercial Warranty/Lifetime Residential Warranty
Hartco	7	Oak		http://s7d2.scene7.com/is/image/Armstrong/RSESP5200_1A?wid=600	Not Available
Armstrong	8	CushionStep Best		http://s7d2.scene7.com/is/image/Armstrong/RSG4114_A?wid=600	15-Year Limited Residential Warranty
Armstrong	9	CushionStep Good		http://s7d2.scene7.com/is/image/Armstrong/RSG2191_1?wid=600	5-Year Limited Residential Warranty
Armstrong	10	LUXE Plank Good		http://s7d2.scene7.com/is/image/Armstrong/RSA6806_1?wid=600	10 Yr Limited Residential Warranty
Armstrong	11	Caliber		http://s7d2.scene7.com/is/image/Armstrong/Not Available?wid=600	Lifetime Limited Residential Warranty
Armstrong	12	Pecan		http://s7d2.scene7.com/is/image/Armstrong/RSMCP441TQ_4?wid=600	Not Available
Hartco	13	Maple		http://s7d2.scene7.com/is/image/Armstrong/RSSPW5504_3?wid=600	"35-Year Residential Finish / 3-Year Commercial Finish, Lifetime Structural Warranty"
Hartco	14	Rustic Oak		http://s7d2.scene7.com/is/image/Armstrong/RSED324NA_web?wid=600	"25-Year Residential Finish, Lifetime Structural Warranty "
Hartco	15	Acacia		http://s7d2.scene7.com/is/image/Armstrong/RSEHS5300_1?wid=600	"25-Year Residential Finish, Lifetime Structural Warranty"
Hartco	16	Cherry		http://s7d2.scene7.com/is/image/Armstrong/RSSPW5514_1?wid=600	"35-Year Residential Finish / 3-Year Commercial Finish, Lifetime Structural Warranty"
Armstrong	17	Mahogany		http://s7d2.scene7.com/is/image/Armstrong/RSL6551_3_?wid=600	30-Year Limited Residential / 5-Year Light Commercial Warranty
Armstrong	18	Classic Collection		http://s7d2.scene7.com/is/image/Armstrong/Not Available?wid=600	25-Year Limited Residential Warranty
Hartco	19	Red Oak		http://s7d2.scene7.com/is/image/Armstrong/RSED324SI_web?wid=600	"25-Year Residential Finish, Lifetime Structural Warranty "
Bruce	20	Ironwood		http://s7d2.scene7.com/is/image/Armstrong/RSL3017_3?wid=600	30-Year Limited Residential Warranty
Armstrong	21	Abingdon Collection		http://s7d2.scene7.com/is/image/Armstrong/Not Available?wid=600	Lifetime Limited Residential Warranty
Armstrong	22	Canyon Creek		http://s7d2.scene7.com/is/image/Armstrong/RS94631_3?wid=600	7-Year Limited Residential Warranty
Armstrong	23	Memories		http://s7d2.scene7.com/is/image/Armstrong/Not Available?wid=600	12-Year Limited Residential Warranty
Armstrong	24	Station Square		http://s7d2.scene7.com/is/image/Armstrong/Not Available?wid=600	10-year limited residential warranty
Armstrong	25	Northern Maple		http://s7d2.scene7.com/is/image/Armstrong/RSERH5308_A?wid=600	"25-Year Residential Finish, Lifetime Structural Warranty."
Bruce	26	White Oak		http://s7d2.scene7.com/is/image/Armstrong/RSSHS5509_2_v2?wid=600	Not Available
Bruce	27	Ash		http://s7d2.scene7.com/is/image/Armstrong/RSCB2718_2?wid=600	"15-Year Residential Finish, Lifetime Structural Warranty"
Hartco	28	Hickory		http://s7d2.scene7.com/is/image/Armstrong/RSSPW5508_2?wid=600	"35-Year Residential Finish / 3-Year Commercial Finish, Lifetime Structural Warranty"
Bruce	29	Teak		http://s7d2.scene7.com/is/image/Armstrong/RSL0005_2_RM2070A?wid=600	20-Year Limited Residential Warranty
Armstrong	30	CushionStep Better		http://s7d2.scene7.com/is/image/Armstrong/RSG3201?wid=600	5-Year Limited Residential Warranty
Armstrong	31	LUXE Plank Better		http://s7d2.scene7.com/is/image/Armstrong/RSA6841_2A?wid=600	30 Yr Limited Residential Warranty and 7 Yr Light Commercial Warranty
Armstrong	32	Initiator		http://s7d2.scene7.com/is/image/Armstrong/RS66254_2A?wid=600	5-Year Limited Residential Warranty
Armstrong	33	Starstep		http://s7d2.scene7.com/is/image/Armstrong/RSX3592_2?wid=600	15-Year PLUS Limited Residential Warranty
Armstrong	34	Units		http://s7d2.scene7.com/is/image/Armstrong/Not Available?wid=600	5-Year Limited Residential Warranty
Armstrong	35	Santos Mahogany		http://s7d2.scene7.com/is/image/Armstrong/RSEGE4202_2?wid=600	"25-Year Residential Finish, Lifetime Structural Warranty "
Armstrong	36	Sapele		http://s7d2.scene7.com/is/image/Armstrong/RSEGE3206_1?wid=600	"25-Year Residential Finish, Lifetime Structural Warranty "
Armstrong	37	Not Available		http://s7d2.scene7.com/is/image/Armstrong/RSL6589?wid=600	30-Year Limited Residential / 5-Year Light Commercial Warranty
Armstrong	38	Pine		http://s7d2.scene7.com/is/image/Armstrong/RS77924-RM2070A (A).1_1?wid=600	20-Year Limited Residential Warranty
Armstrong	39	Duality Premium		http://s7d2.scene7.com/is/image/Armstrong/RSG6300?wid=600	Not Available
Armstrong	40	LUXE Plank Best		http://s7d2.scene7.com/is/image/Armstrong/RSA6900_Detail_4?wid=600	Lifetime Residential Warranty and a 10 Yr Light Commercial Warranty
Armstrong	41	Kempas		http://s7d2.scene7.com/is/image/Armstrong/RSKE422NA_1?wid=600	"25-Year Residential Finish Warranty / 3-Year Commercial Finish Warranty, Lifetime Structural Warranty"
Armstrong	42	Tigerwood		http://s7d2.scene7.com/is/image/Armstrong/RSTG422NA_3_?wid=600	"25-Year Residential Finish Warranty / 3-Year Commercial Finish Warranty, Lifetime Structural Warranty"
Bruce	43	Makore		http://s7d2.scene7.com/is/image/Armstrong/RSL3019_1?wid=600	30-Year Limited Residential Warranty
Armstrong	44	Duality Premium Plus		http://s7d2.scene7.com/is/image/Armstrong/RSG6271?wid=600	Not Available
Armstrong	45	Natural Living		http://s7d2.scene7.com/is/image/Armstrong/RSD2403_1?wid=600	Not Available
Armstrong	46	Natural Personality		http://s7d2.scene7.com/is/image/Armstrong/Not Available?wid=600	Not Available
Armstrong	47	Brazilian Cherry		http://s7d2.scene7.com/is/image/Armstrong/RSEGE3203?wid=600	"25-Year Residential Finish, Lifetime Structural Warranty "
Hartco	48	Walnut		http://s7d2.scene7.com/is/image/Armstrong/RSESP5255_1A?wid=600	Not Available
Armstrong	49	Beech		http://s7d2.scene7.com/is/image/Armstrong/RSL8718_2A?wid=600	15 Year Commercial Warranty/Lifetime Residential Warranty
Armstrong	50	StrataMax Good		http://s7d2.scene7.com/is/image/Armstrong/Not Available?wid=600	12-Year Limited Residential Warranty
Armstrong	51	Afton Series		http://s7d2.scene7.com/is/image/Armstrong/Not Available?wid=600	10-Year Limited Residential Warranty
Armstrong	52	Alterna		http://s7d2.scene7.com/is/image/Armstrong/RSD4170_2?wid=600	"Lifetime Limited Residential Warranty, 5-Year Limited Light Commercial Warranty"
Bruce	53	Koa		http://s7d2.scene7.com/is/image/Armstrong/RSL4008_FULL_3?wid=600	30 Year Limited Residential/5 Year Light Commercial Warranty
Armstrong	54	Afzelia		http://s7d2.scene7.com/is/image/Armstrong/RSL6552_4_?wid=600	30-Year Limited Residential / 5-Year Light Commercial Warranty
Armstrong	55	Merbau		http://s7d2.scene7.com/is/image/Armstrong/RS78253_3_F9016?wid=600	25-Year Limited  Residential / 5-Year Light Commercial Warranty
Armstrong	56	Alterna Reserve		http://s7d2.scene7.com/is/image/Armstrong/RSD4324_2?wid=600	"Lifetime Limited Residential Warranty, 5-Year Limited Light Commercial Warranty"
Armstrong	57	Elston Series		http://s7d2.scene7.com/is/image/Armstrong/Not Available?wid=600	5-Year Limited Residential Warranty
Armstrong	58	Granville		http://s7d2.scene7.com/is/image/Armstrong/RSA0250_1?wid=600	Lifetime Limited Residential Warranty
Armstrong	59	Lapacho		http://s7d2.scene7.com/is/image/Armstrong/RSLA422NA_2_F100-3?wid=600	"25-Year Residential Finish, Lifetime Structural Warranty "
Armstrong	60	Jatoba		http://s7d2.scene7.com/is/image/Armstrong/RSJA422NA_3_F98-2?wid=600	"25-Year Residential Finish, Lifetime Structural Warranty "
Armstrong	61	StrataMax Best		http://s7d2.scene7.com/is/image/Armstrong/RSX3580_2?wid=600	20-Year Limited Residential / 5-Year Light Commercial Warranty
Armstrong	62	StrataMax Better		http://s7d2.scene7.com/is/image/Armstrong/RSX2567?wid=600	12-Year Limited Residential Warranty
Armstrong	63	MODe Stones		http://s7d2.scene7.com/is/image/Armstrong/RSD4651_D4262_2_?wid=600	Lifetime Limited Residential Warranty
