manufacturers_id	style_name
1	Heavy Texture
1	Marble Design
2	Heavy Texture
3	Heavy Texture
3	Marble Design
3	New
4	Heavy Texture
5	Mixed Texture
5	Monochromatic
6	Mixed Texture
6	Marble Design
7	Mixed Texture
7	Metallic
7	New
8	Heavy Texture
9	Heavy Texture
10	Mixed Texture
10	Marble Design
10	New
11	Heavy Texture
11	Marble Design
12	Mixed Texture
13	Heavy Texture
13	Metallic
14	Mixed Texture
15	Mixed Texture
15	Heavy Texture
16	Mixed Texture
16	Marble Design
17	Mixed Texture
18	Mixed Texture
19	Mixed Texture
20	Mixed Texture
20	Monochromatic
21	Mixed Texture
21	Monochromatic
22	Mixed Texture
22	Heavy Texture
22	Metallic
24	Mixed Texture
24	Monochromatic
25	Mixed Texture
26	Mixed Texture
26	Monochromatic
27	Heavy Texture
27	Metallic
28	Heavy Texture
28	Jewels
28	Metallic
29	Heavy Texture
30	Heavy Texture
31	Fine Texture
31	Monochromatic
32	Fine Texture
32	Monochromatic
32	Marble Design
33	Mixed Texture
33	Monochromatic
34	Heavy Texture
35	Fine Texture
35	Monochromatic
36	Mixed Texture
36	Metallic
37	Fine Texture
37	Monochromatic
38	Fine Texture
38	Monochromatic
38	Marble Design
39	Fine Texture
39	Monochromatic
40	Mixed Texture
40	Monochromatic
41	Mixed Texture
41	Jewels
41	Metallic
42	Heavy Texture
43	Fine Texture
43	Monochromatic
44	Mixed Texture
45	Fine Texture
45	Monochromatic
46	Heavy Texture
47	Heavy Texture
48	Fine Texture
48	Monochromatic
49	Heavy Texture
49	Metallic
50	Heavy Texture
50	Marble Design
50	New
51	Mixed Texture
51	Monochromatic
52	Mixed Texture
53	Heavy Texture
54	Heavy Texture
55	Heavy Texture
55	Marble Design
55	New
56	Heavy Texture
56	Metallic
57	Heavy Texture
57	Metallic
58	Heavy Texture
58	Jewels
58	Metallic
59	Fine Texture
59	Marble Design
61	Mixed Texture
61	Marble Design
61	Metallic
62	Heavy Texture
62	Metallic
63	Fine Texture
63	Monochromatic
63	Marble Design
64	Heavy Texture
65	Fine Texture
65	Monochromatic
66	Heavy Texture
67	Mixed Texture
68	Mixed Texture
69	Heavy Texture
69	Jewels
69	Metallic
70	Mixed Texture
70	Marble Design
71	Mixed Texture
72	Mixed Texture
73	Jewels
73	Metallic
73	New
74	Fine Texture
74	Monochromatic
75	Mixed Texture
75	Marble Design
76	Mixed Texture
77	Heavy Texture
77	Marble Design
78	Mixed Texture
78	Monochromatic
79	Mixed Texture
80	Heavy Texture
81	Mixed Texture
82	Fine Texture
82	Monochromatic
83	Mixed Texture
84	Mixed Texture
85	Fine Texture
85	Monochromatic
86	Mixed Texture
86	Monochromatic
87	Fine Texture
87	Marble Design
88	Mixed Texture
88	Heavy Texture
89	Heavy Texture
89	Metallic
90	Fine Texture
90	Marble Design
91	Heavy Texture
91	Marble Design
92	Mixed Texture
93	Heavy Texture
93	Marble Design
94	Fine Texture
94	Monochromatic
95	Fine Texture
95	Monochromatic
96	Mixed Texture
96	Jewels
96	Metallic
97	Heavy Texture
98	Mixed Texture
99	Mixed Texture
100	Heavy Texture
100	Metallic
101	Heavy Texture
102	Fine Texture
102	Monochromatic
