manufacturers_id	color_name	color_image_url	color_category
1	Clam Chowder	http://congoleum.s3.amazonaws.com/2013%20Chips/AirStep%20Advantage/Savor/CMYK/#88000%20CMYK%20CHIP.jpg	White
1	Warm Croissant	http://congoleum.s3.amazonaws.com/2013%20Chips/AirStep%20Advantage/Savor/CMYK/#88001%20CMYK%20CHIP.jpg	Beige
1	Cookies n' Cream	http://congoleum.s3.amazonaws.com/2013%20Chips/AirStep%20Advantage/Savor/CMYK/#88002%20CMYK%20CHIP.jpg	Tan
1	Pecan Pie	http://congoleum.s3.amazonaws.com/2013%20Chips/AirStep%20Advantage/Savor/CMYK/#88003%20CMYK.jpg	Brown
1	Beluga Caviar	http://congoleum.s3.amazonaws.com/2013%20Chips/AirStep%20Advantage/Savor/CMYK/#88004%20CMYK%20CHIP.jpg	Gray
2	Hop Scotch	http://congoleum.s3.amazonaws.com/2013%20Chips/AirStep%20Advantage/Playtime/CMYK/#88010%20CMYK%20CHIP.jpg	White
2	Swing Set	http://congoleum.s3.amazonaws.com/2013%20Chips/AirStep%20Advantage/Playtime/CMYK/#88011%20CMYK%20CHIP.jpg	Gray
2	Spin The Bottle	http://congoleum.s3.amazonaws.com/2013%20Chips/AirStep%20Advantage/Playtime/CMYK/#88012%20CMYK%20CHIP.jpg	Tan
2	Hide and Seek	http://congoleum.s3.amazonaws.com/2013%20Chips/AirStep%20Advantage/Playtime/CMYK/#88013%20CMYK%20CHIP.jpg	Brown
2	Tree House	http://congoleum.s3.amazonaws.com/2013%20Chips/AirStep%20Advantage/Playtime/CMYK/#88015%20CHIP%20CMYK.jpg	Brown
3	Sweetie Pie	http://congoleum.s3.amazonaws.com/2013%20Chips/AirStep%20Advantage/Cherish/CMYK/#88020%20CMYK%20CHIP.jpg	Cream
3	Soul Mate	http://congoleum.s3.amazonaws.com/2013%20Chips/AirStep%20Advantage/Cherish/CMYK/#88021%20CMYK%20CHIP.jpg	Gray
3	Honey Bunch	http://congoleum.s3.amazonaws.com/2013%20Chips/AirStep%20Advantage/Cherish/CMYK/#88022%20CMYK%20CHIP.jpg	Orange
3	Wine and Roses	http://congoleum.s3.amazonaws.com/2013%20Chips/AirStep%20Advantage/Cherish/CMYK/#88023%20CMYK%20CHIP.jpg	Orange
4	Mountain Air	http://congoleum.s3.amazonaws.com/2013%20Chips/AirStep%20Advantage/Unwind/CMYK/#88030%20CMYK%20CHIP.jpg	Cream
4	Weekend in the Country	http://congoleum.s3.amazonaws.com/2013%20Chips/AirStep%20Advantage/Unwind/CMYK/#88031%20CMYK%20CHIP.jpg	Cream
4	Sunday Times	http://congoleum.s3.amazonaws.com/2013%20Chips/AirStep%20Advantage/Unwind/CMYK/#88032%20CMYK%20CHIP.jpg	Gray
4	Cup of Tea	http://congoleum.s3.amazonaws.com/2013%20Chips/AirStep%20Advantage/Unwind/CMYK/#88033%20CMYK%20CHIP.jpg	Tan 
5	Corn Silk	http://congoleum.s3.amazonaws.com/2013%20Chips/AIRSTEP%20EVOLUTION/AirStep%20Evolution%20Chips%20RGB/Terrace/72000.jpg	Beige
5	Desert Sunset	http://congoleum.s3.amazonaws.com/2013%20Chips/AIRSTEP%20EVOLUTION/AirStep%20Evolution%20Chips%20RGB/Terrace/72001.jpg	Beige
5	Autumn Glow	http://congoleum.s3.amazonaws.com/2013%20Chips/AIRSTEP%20EVOLUTION/AirStep%20Evolution%20Chips%20RGB/Terrace/72002.jpg	Brown
5	Midnight	http://congoleum.s3.amazonaws.com/2013%20Chips/AIRSTEP%20EVOLUTION/AirStep%20Evolution%20Chips%20RGB/Terrace/72003.jpg	Brown
5	Iced Mocha	http://congoleum.s3.amazonaws.com/2013%20Chips/AIRSTEP%20EVOLUTION/AirStep%20Evolution%20Chips%20RGB/Terrace/72004.jpg	Gray
6	Dark Khaki	http://congoleum.s3.amazonaws.com/2013%20Chips/AIRSTEP%20EVOLUTION/AirStep%20Evolution%20Chips%20RGB/Colonial%20Plank/72010.jpg	Brown
6	Burnished Umber	http://congoleum.s3.amazonaws.com/2013%20Chips/AIRSTEP%20EVOLUTION/AirStep%20Evolution%20Chips%20RGB/Colonial%20Plank/72011.jpg	Brown
