manufacturers_id	style_name
1	Resilient Sheet
2	Resilient Sheet
3	Resilient Sheet
4	Resilient Sheet
5	Resilient Sheet
6	Resilient Sheet
7	Resilient Sheet
8	Resilient Sheet
9	Resilient Sheet
10	Resilient Sheet
11	Resilient Sheet
12	Resilient Sheet
13	Resilient Sheet
14	Resilient Sheet
15	Resilient Sheet
16	Resilient Sheet
17	Resilient Sheet
18	Resilient Sheet
19	Resilient Sheet
20	Resilient Sheet
21	Resilient Sheet
22	Resilient Sheet
23	Resilient Sheet
24	Resilient Sheet
25	Resilient Sheet
26	Resilient Sheet
27	Resilient Sheet
28	Resilient Sheet
29	Resilient Sheet
30	Resilient Sheet
31	Resilient Sheet
32	Resilient Sheet
33	Resilient Sheet
34	Resilient Sheet
35	Resilient Sheet
36	Resilient Sheet
37	Resilient Sheet
38	Resilient Sheet
39	Resilient Sheet
40	Resilient Sheet
41	Resilient Sheet
42	Resilient Sheet
43	Resilient Sheet
44	Resilient Sheet
45	Resilient Sheet
46	Resilient Sheet
47	Resilient Sheet
48	Resilient Sheet
49	Resilient Sheet
50	Resilient Sheet
51	Resilient Sheet
52	Resilient Sheet
53	Resilient Sheet
54	Resilient Sheet
55	Resilient Sheet
56	Resilient Sheet
57	Resilient Sheet
58	Resilient Sheet
59	Resilient Sheet
60	Resilient Sheet
61	Resilient Sheet
62	Resilient Sheet
63	Resilient Sheet
64	Resilient Sheet
65	Resilient Sheet
66	Resilient Sheet
67	Resilient Sheet
68	Resilient Sheet
69	Resilient Sheet
70	Resilient Sheet
71	Resilient Sheet
72	Resilient Sheet
73	Resilient Sheet
74	Resilient Sheet
75	Resilient Sheet
76	Resilient Sheet
77	Resilient Sheet
78	Resilient Sheet
79	Resilient Sheet
80	Resilient Sheet
81	Resilient Sheet
82	Resilient Sheet
83	Resilient Tile
84	Resilient Tile
85	Resilient Tile
86	Resilient Tile
87	Resilient Tile
88	Resilient Tile
89	Resilient Tile
90	Resilient Tile
91	Resilient Tile
92	Resilient Tile
93	Resilient Tile
94	Resilient Tile
95	Resilient Tile
96	Resilient Tile
97	Resilient Tile
98	Resilient Tile
99	Resilient Tile
100	Resilient Tile
101	Resilient Tile
102	Resilient Tile
103	Resilient Tile
104	Resilient Tile
105	Resilient Tile
106	Resilient Tile
107	Resilient Plank
108	Resilient Plank
109	Resilient Plank
110	Resilient Plank
111	Resilient Plank
112	Resilient Plank
113	Resilient Plank
114	Resilient Plank
115	Resilient Plank
116	Resilient Plank
117	Resilient Plank
118	Resilient Plank
