brand	manufacturers_id	name	description	room_image_url	warranty
AirStep Advantage	1	Savor			"
AIRSTEP LIFELONG LIMITED WARRANTYON
<table>
<tr><td>The AirStep Lifelong Limited Warranty means that your new floor:</td><td>Warranty Period</td></tr>
<tr><td>will not wear out</td><td>Lifelong</td></tr>
<tr><td>will be free of manufacturing defects</td><td>Lifelong</td></tr>
<tr><td>will not stain including stains from asphalt tracking, rubber-backed mats and common household items</td><td>25 Year</td></tr>
<tr><td>will not permanently scuff from shoe soles including sneaker</td><td>25 Years</td></tr>
<tr><td>will not fade or discolor from heat or sunlight</td><td>25 Years</td></tr>
<tr><td>will not discolor from mold, mildew or alkali</td><td>25 Years</td></tr>
<tr><td>will not gouge, rip or tear from normal use</td><td>25 Years</td></tr>
<tr><td>will not permanently indent when proper floor protectors are used</td><td>25 Years</td></tr>
</table>
AirStep Evolution featuring Scotchgard Protector provides these additional warranty provisions which mean that your new floor:
<table>
<tr><td>will be easy to clean</td><td>15 Years</td></tr>
<tr><td>will repel dirt and grime</td><td>15 Years</td></tr>
</table>
Correct installation practices must be followed to ensure a trouble-free installation. While installation errors are the responsibility of your flooring installer and not covered by Congoleum's warranty, if the flooring is correctly installed following all guidelines in the AirStep installation instructions, your AirStep Evolution floor will be warranted:
<table>
<tr><td>1. not to curl</td><td>20 Years</td></tr>
<tr><td>2. not to open at seams</td><td>20 Years</td></tr>
<tr><td>3. not to buckle</td><td>20 Years</td></tr>
<tr><td>4. not to release over joints in underlayment panels</td><td>20 Years</td></tr>
</table>
The conditions 1, 2, 3, and 4 above will be warranted as long as the flooring is installed in an occupied residence that maintains a temperature range of 55 to 100 F. Any of the above conditions will not be covered if caused by job site environmental conditions in new construction or renovation work.
The AirStep Lifelong Limited Warranty provision covers material for the period of the warranty and reasonable labor costs for five years if professional installation was paid for when the original floor was installed."
AirStep Advantage	2	Playtime			"
AIRSTEP LIFELONG LIMITED WARRANTYON
<table>
<tr><td>The AirStep Lifelong Limited Warranty means that your new floor:</td><td>Warranty Period</td></tr>
<tr><td>will not wear out</td><td>Lifelong</td></tr>
<tr><td>will be free of manufacturing defects</td><td>Lifelong</td></tr>
<tr><td>will not stain including stains from asphalt tracking, rubber-backed mats and common household items</td><td>25 Year</td></tr>
<tr><td>will not permanently scuff from shoe soles including sneaker</td><td>25 Years</td></tr>
<tr><td>will not fade or discolor from heat or sunlight</td><td>25 Years</td></tr>
<tr><td>will not discolor from mold, mildew or alkali</td><td>25 Years</td></tr>
<tr><td>will not gouge, rip or tear from normal use</td><td>25 Years</td></tr>
<tr><td>will not permanently indent when proper floor protectors are used</td><td>25 Years</td></tr>
</table>
AirStep Evolution featuring Scotchgard Protector provides these additional warranty provisions which mean that your new floor:
<table>
<tr><td>will be easy to clean</td><td>15 Years</td></tr>
<tr><td>will repel dirt and grime</td><td>15 Years</td></tr>
</table>
Correct installation practices must be followed to ensure a trouble-free installation. While installation errors are the responsibility of your flooring installer and not covered by Congoleum's warranty, if the flooring is correctly installed following all guidelines in the AirStep installation instructions, your AirStep Evolution floor will be warranted:
<table>
<tr><td>1. not to curl</td><td>20 Years</td></tr>
<tr><td>2. not to open at seams</td><td>20 Years</td></tr>
<tr><td>3. not to buckle</td><td>20 Years</td></tr>
<tr><td>4. not to release over joints in underlayment panels</td><td>20 Years</td></tr>
</table>
The conditions 1, 2, 3, and 4 above will be warranted as long as the flooring is installed in an occupied residence that maintains a temperature range of 55 to 100 F. Any of the above conditions will not be covered if caused by job site environmental conditions in new construction or renovation work.
The AirStep Lifelong Limited Warranty provision covers material for the period of the warranty and reasonable labor costs for five years if professional installation was paid for when the original floor was installed."
AirStep Advantage	3	Cherish			"
AIRSTEP LIFELONG LIMITED WARRANTYON
<table>
<tr><td>The AirStep Lifelong Limited Warranty means that your new floor:</td><td>Warranty Period</td></tr>
<tr><td>will not wear out</td><td>Lifelong</td></tr>
<tr><td>will be free of manufacturing defects</td><td>Lifelong</td></tr>
<tr><td>will not stain including stains from asphalt tracking, rubber-backed mats and common household items</td><td>25 Year</td></tr>
<tr><td>will not permanently scuff from shoe soles including sneaker</td><td>25 Years</td></tr>
<tr><td>will not fade or discolor from heat or sunlight</td><td>25 Years</td></tr>
<tr><td>will not discolor from mold, mildew or alkali</td><td>25 Years</td></tr>
<tr><td>will not gouge, rip or tear from normal use</td><td>25 Years</td></tr>
<tr><td>will not permanently indent when proper floor protectors are used</td><td>25 Years</td></tr>
</table>
AirStep Evolution featuring Scotchgard Protector provides these additional warranty provisions which mean that your new floor:
<table>
<tr><td>will be easy to clean</td><td>15 Years</td></tr>
<tr><td>will repel dirt and grime</td><td>15 Years</td></tr>
</table>
Correct installation practices must be followed to ensure a trouble-free installation. While installation errors are the responsibility of your flooring installer and not covered by Congoleum's warranty, if the flooring is correctly installed following all guidelines in the AirStep installation instructions, your AirStep Evolution floor will be warranted:
<table>
<tr><td>1. not to curl</td><td>20 Years</td></tr>
<tr><td>2. not to open at seams</td><td>20 Years</td></tr>
<tr><td>3. not to buckle</td><td>20 Years</td></tr>
<tr><td>4. not to release over joints in underlayment panels</td><td>20 Years</td></tr>
</table>
The conditions 1, 2, 3, and 4 above will be warranted as long as the flooring is installed in an occupied residence that maintains a temperature range of 55 to 100 F. Any of the above conditions will not be covered if caused by job site environmental conditions in new construction or renovation work.
The AirStep Lifelong Limited Warranty provision covers material for the period of the warranty and reasonable labor costs for five years if professional installation was paid for when the original floor was installed."
AirStep Advantage	4	Unwind			"
AIRSTEP LIFELONG LIMITED WARRANTYON
<table>
<tr><td>The AirStep Lifelong Limited Warranty means that your new floor:</td><td>Warranty Period</td></tr>
<tr><td>will not wear out</td><td>Lifelong</td></tr>
<tr><td>will be free of manufacturing defects</td><td>Lifelong</td></tr>
<tr><td>will not stain including stains from asphalt tracking, rubber-backed mats and common household items</td><td>25 Year</td></tr>
<tr><td>will not permanently scuff from shoe soles including sneaker</td><td>25 Years</td></tr>
<tr><td>will not fade or discolor from heat or sunlight</td><td>25 Years</td></tr>
<tr><td>will not discolor from mold, mildew or alkali</td><td>25 Years</td></tr>
<tr><td>will not gouge, rip or tear from normal use</td><td>25 Years</td></tr>
<tr><td>will not permanently indent when proper floor protectors are used</td><td>25 Years</td></tr>
</table>
AirStep Evolution featuring Scotchgard Protector provides these additional warranty provisions which mean that your new floor:
<table>
<tr><td>will be easy to clean</td><td>15 Years</td></tr>
<tr><td>will repel dirt and grime</td><td>15 Years</td></tr>
</table>
Correct installation practices must be followed to ensure a trouble-free installation. While installation errors are the responsibility of your flooring installer and not covered by Congoleum's warranty, if the flooring is correctly installed following all guidelines in the AirStep installation instructions, your AirStep Evolution floor will be warranted:
<table>
<tr><td>1. not to curl</td><td>20 Years</td></tr>
<tr><td>2. not to open at seams</td><td>20 Years</td></tr>
<tr><td>3. not to buckle</td><td>20 Years</td></tr>
<tr><td>4. not to release over joints in underlayment panels</td><td>20 Years</td></tr>
</table>
The conditions 1, 2, 3, and 4 above will be warranted as long as the flooring is installed in an occupied residence that maintains a temperature range of 55 to 100 F. Any of the above conditions will not be covered if caused by job site environmental conditions in new construction or renovation work.
The AirStep Lifelong Limited Warranty provision covers material for the period of the warranty and reasonable labor costs for five years if professional installation was paid for when the original floor was installed."
AirStep Evolution	5	Terrace			"
AIRSTEP LIFELONG LIMITED WARRANTYON
<table>
<tr><td>The AirStep Lifelong Limited Warranty means that your new floor:</td><td>Warranty Period</td></tr>
<tr><td>will not wear out</td><td>Lifelong</td></tr>
<tr><td>will be free of manufacturing defects</td><td>Lifelong</td></tr>
<tr><td>will not stain including stains from asphalt tracking, rubber-backed mats and common household items</td><td>25 Year</td></tr>
<tr><td>will not permanently scuff from shoe soles including sneaker</td><td>25 Years</td></tr>
<tr><td>will not fade or discolor from heat or sunlight</td><td>25 Years</td></tr>
<tr><td>will not discolor from mold, mildew or alkali</td><td>25 Years</td></tr>
<tr><td>will not gouge, rip or tear from normal use</td><td>25 Years</td></tr>
<tr><td>will not permanently indent when proper floor protectors are used</td><td>25 Years</td></tr>
</table>
AirStep Evolution featuring Scotchgard Protector provides these additional warranty provisions which mean that your new floor:
<table>
<tr><td>will be easy to clean</td><td>15 Years</td></tr>
<tr><td>will repel dirt and grime</td><td>15 Years</td></tr>
</table>
Correct installation practices must be followed to ensure a trouble-free installation. While installation errors are the responsibility of your flooring installer and not covered by Congoleum's warranty, if the flooring is correctly installed following all guidelines in the AirStep installation instructions, your AirStep Evolution floor will be warranted:
<table>
<tr><td>1. not to curl</td><td>20 Years</td></tr>
<tr><td>2. not to open at seams</td><td>20 Years</td></tr>
<tr><td>3. not to buckle</td><td>20 Years</td></tr>
<tr><td>4. not to release over joints in underlayment panels</td><td>20 Years</td></tr>
</table>
The conditions 1, 2, 3, and 4 above will be warranted as long as the flooring is installed in an occupied residence that maintains a temperature range of 55 to 100 F. Any of the above conditions will not be covered if caused by job site environmental conditions in new construction or renovation work.
The AirStep Lifelong Limited Warranty provision covers material for the period of the warranty and reasonable labor costs for five years if professional installation was paid for when the original floor was installed."
AirStep Evolution	6	Colonial Plank			"
AIRSTEP LIFELONG LIMITED WARRANTYON
<table>
<tr><td>The AirStep Lifelong Limited Warranty means that your new floor:</td><td>Warranty Period</td></tr>
<tr><td>will not wear out</td><td>Lifelong</td></tr>
<tr><td>will be free of manufacturing defects</td><td>Lifelong</td></tr>
<tr><td>will not stain including stains from asphalt tracking, rubber-backed mats and common household items</td><td>25 Year</td></tr>
<tr><td>will not permanently scuff from shoe soles including sneaker</td><td>25 Years</td></tr>
<tr><td>will not fade or discolor from heat or sunlight</td><td>25 Years</td></tr>
<tr><td>will not discolor from mold, mildew or alkali</td><td>25 Years</td></tr>
<tr><td>will not gouge, rip or tear from normal use</td><td>25 Years</td></tr>
<tr><td>will not permanently indent when proper floor protectors are used</td><td>25 Years</td></tr>
</table>
AirStep Evolution featuring Scotchgard Protector provides these additional warranty provisions which mean that your new floor:
<table>
<tr><td>will be easy to clean</td><td>15 Years</td></tr>
<tr><td>will repel dirt and grime</td><td>15 Years</td></tr>
</table>
Correct installation practices must be followed to ensure a trouble-free installation. While installation errors are the responsibility of your flooring installer and not covered by Congoleum's warranty, if the flooring is correctly installed following all guidelines in the AirStep installation instructions, your AirStep Evolution floor will be warranted:
<table>
<tr><td>1. not to curl</td><td>20 Years</td></tr>
<tr><td>2. not to open at seams</td><td>20 Years</td></tr>
<tr><td>3. not to buckle</td><td>20 Years</td></tr>
<tr><td>4. not to release over joints in underlayment panels</td><td>20 Years</td></tr>
</table>
The conditions 1, 2, 3, and 4 above will be warranted as long as the flooring is installed in an occupied residence that maintains a temperature range of 55 to 100 F. Any of the above conditions will not be covered if caused by job site environmental conditions in new construction or renovation work.
The AirStep Lifelong Limited Warranty provision covers material for the period of the warranty and reasonable labor costs for five years if professional installation was paid for when the original floor was installed."
AirStep Evolution	7	Tuscan Paver			"
AIRSTEP LIFELONG LIMITED WARRANTYON
<table>
<tr><td>The AirStep Lifelong Limited Warranty means that your new floor:</td><td>Warranty Period</td></tr>
<tr><td>will not wear out</td><td>Lifelong</td></tr>
<tr><td>will be free of manufacturing defects</td><td>Lifelong</td></tr>
<tr><td>will not stain including stains from asphalt tracking, rubber-backed mats and common household items</td><td>25 Year</td></tr>
<tr><td>will not permanently scuff from shoe soles including sneaker</td><td>25 Years</td></tr>
<tr><td>will not fade or discolor from heat or sunlight</td><td>25 Years</td></tr>
<tr><td>will not discolor from mold, mildew or alkali</td><td>25 Years</td></tr>
<tr><td>will not gouge, rip or tear from normal use</td><td>25 Years</td></tr>
<tr><td>will not permanently indent when proper floor protectors are used</td><td>25 Years</td></tr>
</table>
AirStep Evolution featuring Scotchgard Protector provides these additional warranty provisions which mean that your new floor:
<table>
<tr><td>will be easy to clean</td><td>15 Years</td></tr>
<tr><td>will repel dirt and grime</td><td>15 Years</td></tr>
</table>
Correct installation practices must be followed to ensure a trouble-free installation. While installation errors are the responsibility of your flooring installer and not covered by Congoleum's warranty, if the flooring is correctly installed following all guidelines in the AirStep installation instructions, your AirStep Evolution floor will be warranted:
<table>
<tr><td>1. not to curl</td><td>20 Years</td></tr>
<tr><td>2. not to open at seams</td><td>20 Years</td></tr>
<tr><td>3. not to buckle</td><td>20 Years</td></tr>
<tr><td>4. not to release over joints in underlayment panels</td><td>20 Years</td></tr>
</table>
The conditions 1, 2, 3, and 4 above will be warranted as long as the flooring is installed in an occupied residence that maintains a temperature range of 55 to 100 F. Any of the above conditions will not be covered if caused by job site environmental conditions in new construction or renovation work.
The AirStep Lifelong Limited Warranty provision covers material for the period of the warranty and reasonable labor costs for five years if professional installation was paid for when the original floor was installed."
AirStep Evolution	8	Rapolano Tile			"
AIRSTEP LIFELONG LIMITED WARRANTYON
<table>
<tr><td>The AirStep Lifelong Limited Warranty means that your new floor:</td><td>Warranty Period</td></tr>
<tr><td>will not wear out</td><td>Lifelong</td></tr>
<tr><td>will be free of manufacturing defects</td><td>Lifelong</td></tr>
<tr><td>will not stain including stains from asphalt tracking, rubber-backed mats and common household items</td><td>25 Year</td></tr>
<tr><td>will not permanently scuff from shoe soles including sneaker</td><td>25 Years</td></tr>
<tr><td>will not fade or discolor from heat or sunlight</td><td>25 Years</td></tr>
<tr><td>will not discolor from mold, mildew or alkali</td><td>25 Years</td></tr>
<tr><td>will not gouge, rip or tear from normal use</td><td>25 Years</td></tr>
<tr><td>will not permanently indent when proper floor protectors are used</td><td>25 Years</td></tr>
</table>
AirStep Evolution featuring Scotchgard Protector provides these additional warranty provisions which mean that your new floor:
<table>
<tr><td>will be easy to clean</td><td>15 Years</td></tr>
<tr><td>will repel dirt and grime</td><td>15 Years</td></tr>
</table>
Correct installation practices must be followed to ensure a trouble-free installation. While installation errors are the responsibility of your flooring installer and not covered by Congoleum's warranty, if the flooring is correctly installed following all guidelines in the AirStep installation instructions, your AirStep Evolution floor will be warranted:
<table>
<tr><td>1. not to curl</td><td>20 Years</td></tr>
<tr><td>2. not to open at seams</td><td>20 Years</td></tr>
<tr><td>3. not to buckle</td><td>20 Years</td></tr>
<tr><td>4. not to release over joints in underlayment panels</td><td>20 Years</td></tr>
</table>
The conditions 1, 2, 3, and 4 above will be warranted as long as the flooring is installed in an occupied residence that maintains a temperature range of 55 to 100 F. Any of the above conditions will not be covered if caused by job site environmental conditions in new construction or renovation work.
The AirStep Lifelong Limited Warranty provision covers material for the period of the warranty and reasonable labor costs for five years if professional installation was paid for when the original floor was installed."
AirStep Evolution	9	Fair Wind			"
AIRSTEP LIFELONG LIMITED WARRANTYON
<table>
<tr><td>The AirStep Lifelong Limited Warranty means that your new floor:</td><td>Warranty Period</td></tr>
<tr><td>will not wear out</td><td>Lifelong</td></tr>
<tr><td>will be free of manufacturing defects</td><td>Lifelong</td></tr>
<tr><td>will not stain including stains from asphalt tracking, rubber-backed mats and common household items</td><td>25 Year</td></tr>
<tr><td>will not permanently scuff from shoe soles including sneaker</td><td>25 Years</td></tr>
<tr><td>will not fade or discolor from heat or sunlight</td><td>25 Years</td></tr>
<tr><td>will not discolor from mold, mildew or alkali</td><td>25 Years</td></tr>
<tr><td>will not gouge, rip or tear from normal use</td><td>25 Years</td></tr>
<tr><td>will not permanently indent when proper floor protectors are used</td><td>25 Years</td></tr>
</table>
AirStep Evolution featuring Scotchgard Protector provides these additional warranty provisions which mean that your new floor:
<table>
<tr><td>will be easy to clean</td><td>15 Years</td></tr>
<tr><td>will repel dirt and grime</td><td>15 Years</td></tr>
</table>
Correct installation practices must be followed to ensure a trouble-free installation. While installation errors are the responsibility of your flooring installer and not covered by Congoleum's warranty, if the flooring is correctly installed following all guidelines in the AirStep installation instructions, your AirStep Evolution floor will be warranted:
<table>
<tr><td>1. not to curl</td><td>20 Years</td></tr>
<tr><td>2. not to open at seams</td><td>20 Years</td></tr>
<tr><td>3. not to buckle</td><td>20 Years</td></tr>
<tr><td>4. not to release over joints in underlayment panels</td><td>20 Years</td></tr>
</table>
The conditions 1, 2, 3, and 4 above will be warranted as long as the flooring is installed in an occupied residence that maintains a temperature range of 55 to 100 F. Any of the above conditions will not be covered if caused by job site environmental conditions in new construction or renovation work.
The AirStep Lifelong Limited Warranty provision covers material for the period of the warranty and reasonable labor costs for five years if professional installation was paid for when the original floor was installed."
AirStep Evolution	10	Cozumel			"
AIRSTEP LIFELONG LIMITED WARRANTYON
<table>
<tr><td>The AirStep Lifelong Limited Warranty means that your new floor:</td><td>Warranty Period</td></tr>
<tr><td>will not wear out</td><td>Lifelong</td></tr>
<tr><td>will be free of manufacturing defects</td><td>Lifelong</td></tr>
<tr><td>will not stain including stains from asphalt tracking, rubber-backed mats and common household items</td><td>25 Year</td></tr>
<tr><td>will not permanently scuff from shoe soles including sneaker</td><td>25 Years</td></tr>
<tr><td>will not fade or discolor from heat or sunlight</td><td>25 Years</td></tr>
<tr><td>will not discolor from mold, mildew or alkali</td><td>25 Years</td></tr>
<tr><td>will not gouge, rip or tear from normal use</td><td>25 Years</td></tr>
<tr><td>will not permanently indent when proper floor protectors are used</td><td>25 Years</td></tr>
</table>
AirStep Evolution featuring Scotchgard Protector provides these additional warranty provisions which mean that your new floor:
<table>
<tr><td>will be easy to clean</td><td>15 Years</td></tr>
<tr><td>will repel dirt and grime</td><td>15 Years</td></tr>
</table>
Correct installation practices must be followed to ensure a trouble-free installation. While installation errors are the responsibility of your flooring installer and not covered by Congoleum's warranty, if the flooring is correctly installed following all guidelines in the AirStep installation instructions, your AirStep Evolution floor will be warranted:
<table>
<tr><td>1. not to curl</td><td>20 Years</td></tr>
<tr><td>2. not to open at seams</td><td>20 Years</td></tr>
<tr><td>3. not to buckle</td><td>20 Years</td></tr>
<tr><td>4. not to release over joints in underlayment panels</td><td>20 Years</td></tr>
</table>
The conditions 1, 2, 3, and 4 above will be warranted as long as the flooring is installed in an occupied residence that maintains a temperature range of 55 to 100 F. Any of the above conditions will not be covered if caused by job site environmental conditions in new construction or renovation work.
The AirStep Lifelong Limited Warranty provision covers material for the period of the warranty and reasonable labor costs for five years if professional installation was paid for when the original floor was installed."
