manufacturers_id	color_name	color_image_url	color_category
1	After Five	http://www.decorativecarpets.com/gallery_photos/0000/0468/After_Five_preview.jpg?1253893998	Decorative Carpets Custom
2	Alta Mura	http://www.decorativecarpets.com/gallery_photos/0000/1433/altamura_sample_preview.jpg?1282324060	Decorative Carpets Custom
3	Amazon Tiger	http://www.decorativecarpets.com/gallery_photos/0000/1176/Amazon_Tiger__1_Full_Image_LO_RES_preview.jpg?1267653141	Decorative Carpets Custom
4	American Beauty	http://www.decorativecarpets.com/gallery_photos/0000/3425/American_beauty_close_up_email_preview.jpg?1317680761	Decorative Carpets Custom
5	Andorra	http://www.decorativecarpets.com/gallery_photos/0000/1184/Andorra_Full_Image_LO_RES_preview.jpg?1267653195	Decorative Carpets Custom
6	April	http://www.decorativecarpets.com/gallery_photos/0000/0788/April_preview.jpg?1254241989	Decorative Carpets Custom
7	Aries	http://www.decorativecarpets.com/gallery_photos/0000/1168/Aries_Silk_Wool_Full_Image_LO_RES_preview.jpg?1267653077	Decorative Carpets Custom
8	Balboa	http://www.decorativecarpets.com/gallery_photos/0000/0472/Balboa_preview.jpg?1253894123	Decorative Carpets Custom
9	Battery	http://www.decorativecarpets.com/gallery_photos/0000/0260/Battery_preview.jpg?1253115542	Decorative Carpets Custom
10	Bella Vista	http://www.decorativecarpets.com/gallery_photos/0000/0104/Bella_Vista__A28615__Satin_preview.JPG?1252440808	Decorative Carpets Custom
11	Block Print	http://www.decorativecarpets.com/gallery_photos/0000/0868/Block_Print_preview.jpg?1254254334	Decorative Carpets Custom
12	Broadway	http://www.decorativecarpets.com/gallery_photos/0000/1080/Broadway_preview.jpg?1254352425	Decorative Carpets Custom
13	Carmen	http://www.decorativecarpets.com/gallery_photos/0000/0804/Carmen_preview.JPG?1254246124	Decorative Carpets Custom
14	Carnegie Hall	http://www.decorativecarpets.com/gallery_photos/0000/0152/Carnegie_Hall__Z30237-A___preview.JPG?1252441881	Decorative Carpets Custom
15	Casale	http://www.decorativecarpets.com/gallery_photos/0000/1443/casale_sample_preview.jpg?1282324181	Decorative Carpets Custom
16	Cascade	http://www.decorativecarpets.com/gallery_photos/0000/1036/Cascade_preview.JPG?1254335244	Decorative Carpets Custom
17	Central Park	http://www.decorativecarpets.com/gallery_photos/0000/0160/Central_Park__Z30050-A__preview.JPG?1252441969	Decorative Carpets Custom
18	Chiaroscuro	http://www.decorativecarpets.com/gallery_photos/0000/1156/Chiaroscuro_preview.JPG?1267230179	Decorative Carpets Custom
19	Circle Within	http://www.decorativecarpets.com/gallery_photos/0000/0460/Circle_Within_preview.JPG?1253806898	Decorative Carpets Custom
20	City Lights	http://www.decorativecarpets.com/gallery_photos/0000/0992/City_Lights_preview.jpg?1254331216	Decorative Carpets Custom
21	Claire	http://www.decorativecarpets.com/gallery_photos/0000/1603/Claire_preview.jpg?1289953356	Decorative Carpets Custom
