manufacturers_id	style_name
1	Contemporary
2	Contemporary
2	Transitional
3	Contemporary
3	Organic
3	Transitional
4	Contemporary
4	Organic
4	Textural
4	Transitional
5	Contemporary
5	Organic
5	Transitional
6	Contemporary
6	Floral
6	Organic
7	Contemporary
7	Organic
7	Textural
7	Transitional
8	Contemporary
8	Organic
9	Contemporary
9	Geometric
10	Contemporary
10	Organic
10	Transitional
11	Contemporary
11	Geometric
11	Transitional
12	Contemporary
13	Contemporary
14	Contemporary
14	Geometric
15	Contemporary
15	Floral
15	Organic
15	Stripe
15	Transitional
16	Contemporary
16	Floral
16	Organic
16	Transitional
17	Contemporary
17	Geometric
18	Contemporary
18	Organic
18	Textural
18	Transitional
19	Contemporary
19	Geometric
20	Contemporary
20	Geometric
21	Contemporary
21	Floral
21	Transitional
22	Contemporary
22	Organic
23	Contemporary
23	Organic
23	Transitional
24	Contemporary
24	Geometric
24	Textural
24	Transitional
25	Contemporary
25	Geometric
26	Contemporary
26	Organic
27	Contemporary
27	Geometric
28	Contemporary
28	Organic
29	Contemporary
29	Geometric
30	Contemporary
30	Geometric
30	Transitional
31	Contemporary
31	Geometric
31	Textural
31	Transitional
32	Contemporary
33	Contemporary
33	Floral
33	Traditional
34	Contemporary
34	Geometric
35	Contemporary
35	Floral
35	Textural
35	Transitional
36	Contemporary
36	Geometric
37	Contemporary
37	Geometric
38	Contemporary
39	Contemporary
40	Contemporary
40	Geometric
41	Contemporary
41	Transitional
42	Contemporary
42	Floral
42	Organic
43	Contemporary
43	Transitional
44	Contemporary
44	Organic
45	Contemporary
45	Geometric
46	Contemporary
47	Contemporary
47	Floral
47	Organic
48	Contemporary
49	Contemporary
49	Transitional
50	Contemporary
50	Geometric
51	Contemporary
51	Geometric
51	Transitional
52	Contemporary
52	Floral
52	Organic
53	Contemporary
53	Geometric
53	Transitional
54	Contemporary
54	Floral
55	Contemporary
55	Geometric
56	Contemporary
57	Contemporary
57	Geometric
57	Organic
58	Contemporary
58	Geometric
59	Contemporary
59	Organic
59	Transitional
60	Contemporary
60	Organic
61	Contemporary
61	Organic
61	Textural
61	Transitional
62	Contemporary
62	Organic
63	Contemporary
64	Contemporary
64	Organic
64	Textural
64	Transitional
65	Contemporary
65	Organic
65	Textural
65	Transitional
66	Contemporary
66	Geometric
67	Contemporary
67	Floral
67	Organic
68	Contemporary
69	Contemporary
69	Floral
70	Contemporary
70	Geometric
71	Contemporary
71	Geometric
72	Contemporary
73	Contemporary
73	Organic
74	Contemporary
75	Floral
75	Geometric
75	Traditional
76	Floral
76	Transitional
77	Floral
77	Textural
77	Traditional
78	Floral
79	Floral
79	Traditional
80	Floral
80	Traditional
81	Floral
81	Traditional
82	Floral
82	Organic
83	Floral
83	Traditional
84	Floral
84	Geometric
84	Traditional
84	Transitional
85	Floral
85	Transitional
86	Floral
86	Traditional
87	Floral
87	Transitional
88	Floral
88	Traditional
89	Floral
89	Traditional
90	Floral
90	Traditional
90	Transitional
91	Floral
91	Textural
91	Traditional
91	Transitional
92	Floral
92	Traditional
93	Floral
93	Traditional
94	Floral
94	Textural
94	Transitional
95	Floral
95	Traditional
96	Floral
96	Organic
97	Floral
97	Traditional
97	Transitional
98	Geometric
99	Geometric
99	Transitional
100	Geometric
100	Transitional
101	Geometric
101	Traditional
102	Stripe
103	Stripe
104	Stripe
105	Stripe
106	Stripe
107	Stripe
108	Stripe
109	Stripe
110	Stripe
111	Textural
112	Textural
113	Textural
114	Textural
114	Transitional
115	Textural
116	Textural
117	Traditional
118	Traditional
118	Transitional
119	Traditional
120	Traditional
121	Traditional
122	Traditional
122	Transitional
123	Traditional
124	Traditional
125	Traditional
126	Traditional
127	Traditional
128	Traditional
128	Transitional
129	Traditional
130	Traditional
131	Traditional
132	Transitional
133	Transitional
134	Transitional
135	Transitional
136	Transitional
137	Transitional
138	Transitional
