dealer_id	name	custom_name
4	Arbor Crest	Amisfield
4	Armida	Cimmaron
4	Artessa	Naxus
4	Azure	Embellish
4	Balletto	Bonjour
4	Benovia	Gate City
4	Bernini	Enfield
4	Bollinger	Endless Wonder
4	Bonterra	Chriswell
4	Botticelli	Kashan
4	Bryan Park	Raffles
4	Cabrini	Clark Way
4	Caymus	Beryl
4	Columbia Crest	Corbett
4	Cornucopia	Tantalize
4	Corsica	Fayetteville
4	Cortez	Trophy
4	Devon Place	Trail Creek
4	Echelon	Color Scapes
4	Elan	Essential
4	Ellsworth	Mesmerize
4	Fonseca	Free Time
4	Galleron	Lyndon
4	Gatesbury	Convento
4	Grand Tradition	Polari
4	Hanover	Matador
4	Harrington Hall	Tessa's Walk
4	Heatherfield	Hemberto
4	High Society	Spindrift
4	Langham	Lambeth Creek
4	Las Ramblas	Kruger
4	Le Grand	Lugano
4	Lindman	Danton
4	Loreto	Wood Valley
4	Manchester	Cordeau
4	Marquette	Sweet Magic
4	Maximum Effect	Zanzibar
4	Menton	Genovia
4	Millbrook Crossing	Regal Splendor
4	Movado	Coriander
4	Nantucket	Grenadier
4	Pedemonte	Grand Baroque
4	Pegasus Bay	Hat Trick
4	Penley Estates	Botanique
4	Private Selection	Westerfield
4	R&R	Payday
4	Rendezvous	Grant Park
4	Ristow	Ellaville
4	River Run	Reynolds
4	Santerra	Larkvale
4	Shafer Point	Stonehedge
4	Soft & Silky	
4	Solena	Clean Sweep
4	Spinnaker	Limoges
4	Stonegate	Mission Creek
4	Symphonic	Rockvale
4	Taittinger	Mountain Top
4	Tamarisk	Isis
4	Tempting	Sarejevo
4	Trade Winds	Bellora
4	Tropea	Deltona
4	Unending	Sunbeam
4	Valenti II	Colfax
4	Whitehaven	Graycliff
