manufacturers_id	style_name
1	Loop Enhanced Loop
2	Patterned Loop/Loop/Cut
3	Patterned Loop/Loop/Cut
4	Patterned Cut/Loop
5	Patterned Cut/Loop
6	Patterned Loop/Loop/Cut
7	Loop Enhanced Loop
8	Loop Loop
9	Textured Cut
10	Patterned Loop/Loop/Cut
11	Patterned Cut/Uncut
12	Textured Cut
13	Patterned Loop/Loop/Cut
14	Patterned Loop/Loop/Cut
15	Patterned Cut Loop
16	Textured Cut
17	Textured Cut/Uncut
18	Patterned Loop/Loop/Cut
19	Patterned Loop/Cut/Loop
20	Patterned Cut Loop
21	Patterned Loop/Cut/Loop
22	Patterned Loop/Loop/Cut
23	Textured Cut
24	Patterned Loop/Loop/Cut
25	Patterned Loop/Loop/Cut
26	Patterned Loop/Loop/Cut
27	Patterned Loop/Loop/Cut
28	Loop Enhanced Loop
29	Textured Cut
30	Loop Enhanced Loop
31	Textured Cut
32	Patterned Loop/Loop/Cut
33	Textured Cut
34	Textured Cut
35	Patterned Loop/Loop/Cut
36	Patterned Cut Loop
37	Patterned Cut Loop
38	Loop Loop
39	Loop Enhanced Loop
40	Patterned Loop/Loop/Cut
41	Patterned Loop/Loop/Cut
42	Textured Cut
43	Textured Cut
44	Textured Cut
45	Textured Cut
46	Patterned Loop/Loop/Cut
47	Textured Cut
48	Patterned Cut Loop
49	Textured Cut/Uncut
50	Textured Loop/Loop/Cut
51	Patterned Cut/Uncut
52	Patterned Cut/Uncut
53	Patterned Loop/Loop/Cut
54	Loop Enhanced Loop
55	Patterned Cut Loop
56	Patterned Cut/Uncut
57	Textured Loop/Loop/Cut
58	Textured Cut/Uncut
59	Textured Cut/Uncut
60	Textured Loop/Loop/Cut
61	Textured Cut
62	Textured Cut
63	Textured Cut
64	Loop Loop
65	Textured Cut/Uncut
66	Textured Cut/Loop
67	Textured Cut/Uncut
68	Textured Cut/Uncut
69	Textured Cut
70	Textured Cut
71	Patterned Cut Loop
72	Patterned Cut Loop
73	Loop Cut
74	Textured Cut Loop
75	Textured Cut
76	Textured Cut
77	Textured Cut
78	Textured Cut/Loop
79	Textured Cut/Loop
80	Textured Cut/Loop
81	Textured Cut/Loop
82	Patterned Cut/Loop
83	Textured Cut/Loop
