brand	manufacturers_id	name	description	room_image_url	fiber	texture	warranty
Dixie Home	1	ARBOR CREST	Combine the unique texture created with enhanced-loop construction and a softer-than-ever 100% BCF STAINMASTER Tactesse Nylon fiber and you have the best of all worlds in Arbor Crest. Choose from 15 essential colors and expect premium performance.	http://www.dixie-home.com/web/images/roomscenes/large/ARBOR CREST.jpg	Nylon	100% STAINMASTER Tactesse BCF nylon	
Dixie Home	2	ARTESSA	"This stately carpet adds a bold new curve to bedrooms and formal settings. A contemporary cut and loop style that features the softness of 100% STAINMASTER Tactesse BCF nylon, this carpet will comfort and complement your home in 24 stunning colors."	http://www.dixie-home.com/web/images/roomscenes/large/ARTESSA.jpg	Nylon	100% STAINMASTER Tactesse BCF nylon	
Dixie Home	3	AZURE	"The sculptural quality of this elegant carpet is expressed in the graceful interplay between the cut and loop yarns. Choose from 24 superb colors of 100% STAINMASTER Tactesse BCF nylon, a fiber known for impressive softness and durability."	http://www.dixie-home.com/web/images/roomscenes/large/AZURE.jpg	Nylon	100% STAINMASTER Tactesse BCF nylon	
Dixie Home	4	BALLETTO	"Balletto uses cut and loop technology which exhibits a total twist within each loop creating a chiseled appearance. Crafted for perfection of 100% STAINMASTER Tactesse BCF nylon, the twenty-five colors span the spectrum of organic tones and are capable of complementing any room in your home."	http://www.dixie-home.com/web/images/roomscenes/large/BALLETTO.jpg	Nylon	100% STAINMASTER Tactesse BCF nylon	
Dixie Home	5	BENOVIA	"Crafted from 100% STAINMASTER Tactesse BCF nylon, Benovia offers lasting durability and unmatched elegance. The cut and loop technique creates a wave like pattern that looks stunning in each of the twenty-five colors of nature inspired hues."	http://www.dixie-home.com/web/images/roomscenes/large/BENOVIA.jpg	Nylon	100% STAINMASTER Tactesse BCF nylon	
Dixie Home	6	BERNINI	"Make a bold statement with this exciting carpet's lush botanical pattern. The large scale design works beautifully with contemporary or transitional interiors, particularly when other natural products, such as stone and ceramic, are included as design elements. This carpet is available in 35 colors, including earth tones and mossy greens, and it is fashioned of 100% STAINMASTER Xtra Life Tactesse nylon for softness."	http://www.dixie-home.com/web/images/roomscenes/large/BERNINI.jpg	Nylon	100% STAINMASTER Tactesse BCF nylon	
Dixie Home	7	BISHOP SQUARE	"Sleek and sophisticated, this low-profile grid pattern sets the stage for contemporary lifestyles. A perfect choice for game rooms, media rooms, or any active area of your home, this carpet is available in 21 tonal colorways of 100% STAINMASTER ExtraBody II BCF nylon."	http://www.dixie-home.com/web/images/roomscenes/large/BISHOP SQUARE.jpg	Nylon	100% STAINMASTER ExtraBody II BCF nylon	
Dixie Home	8	BOLLINGER	"Bollinger is a soothing and comforting loop carpet made of 100% STAINMASTER Luxerell BCF nylon.  A durable carpet capable of withstanding everyday use, Bollinger offers a selection of 20 earth tone colors to enhance the elegance of your home."	http://www.dixie-home.com/web/images/roomscenes/large/BOLLINGER.jpg	Nylon	100% STAINMASTER Luxerell BCF nylon	
Dixie Home	9	BONTERRA	"A fashion forward palette of 30 rich colors makes up this plush and delightfully textured carpet.  Crafted from 100% STAINMASTER Luxerell BCF nylon, Bonterra comforts your home and offers durability and beauty that will last for years."	http://www.dixie-home.com/web/images/roomscenes/large/BONTERRA.jpg	Nylon	100% STAINMASTER Luxerell BCF nylon	
Dixie Home	10	BOTTICELLI	"A pattern of swirling acanthus leaves gives this elegant carpet a distinctly European pedigree. The intricately executed cut and loop adds drama and visual depth. Perfect for formal areas, or anywhere a sense of grandeur is desired. Fashioned of 100% STAINMASTER Xtra Life Tactesse BCF nylon, this carpet will deliver years of lasting beauty. Available in 35 colors."	http://www.dixie-home.com/web/images/roomscenes/large/BOTTICELLI.jpg	Nylon	100% STAINMASTER Tactesse BCF nylon	
Dixie Home	11	BROOKWOOD PARK	"Color your world with this versatile style that exemplifies one of todays best textured looks. This cut and loop pattern, made of 100% STAINMASTER Extrabody II BCF nylon, is designed to hold its good looks and tailored styling for years to come. Available in a rich diversity of 20 desirable colors."	http://www.dixie-home.com/web/images/roomscenes/large/BROOKWOOD PARK.jpg	Nylon	100% STAINMASTER ExtraBody II BCF nylon	
Dixie Home	12	CABRINI	"Cabrini is versatile enough to warm any interior space in your home. It's made of 100% Stainmaster Tactesee BCF nylon and is available in 12 inviting neutral colorways. It is durable, yet comfortable."	http://www.dixie-home.com/web/images/roomscenes/large/CABRINI.jpg	Nylon	100% STAINMASTER Tactesse BCF nylon	
Dixie Home	13	CAYMUS	"Delicate tendrils strewn across a richly textured field give this elegant carpet a captivating feeling of grace and movement. Made with the foot-cradling softness of 100% STAINMASTER Tactesse BCF nylon, this beautiful carpet is available in 24 nuanced shades."	http://www.dixie-home.com/web/images/roomscenes/large/CAYMUS.jpg	Nylon	100% STAINMASTER Tactesse BCF nylon	
Dixie Home	14	COLUMBIA CREST	"Columbia Crest displays a striated pattern that conveys an air of sophistication and comfort in a durable cut/loop design. With a strong range of neutral colors mixed with slate greys and blues, the color palette is subtle and compatible with today's interiors."	http://www.dixie-home.com/web/images/roomscenes/large/COLUMBIA CREST.jpg	Nylon	100% STAINMASTER ExtraBody II BCF nylon	
Dixie Home	15	CORNUCOPIA	"Graceful swirls of vine and leaf invoke a return to romance. Available in 30 highly desirable colorways, from warm earthtones to mossy greens, this luxurious carpet is constructed of 100% STAINMASTER Tactesse nylon for beauty that will last and last."	http://www.dixie-home.com/web/images/roomscenes/large/CORNUCOPIA.jpg	Nylon	100% STAINMASTER Tactesse BCF nylon	
Dixie Home	16	CORSICA	"This lush, textured cut pile carpet creates an atmosphere of luxury and quiet calm. This perennial favorite is softer than ever, thanks to 100% Stainmaster Tactesse BCF nylon. Available in 36 colors, including several dramatic, deeply saturated shades."	http://www.dixie-home.com/web/images/roomscenes/large/CORSICA.jpg	Nylon	100% STAINMASTER Tactesse BCF nylon	
Dixie Home	17	CORTEZ	"A versatile carpet that offers the luxurious hand and generous pile depth of a Saxony velvet with the built-in ease of today's cut and loop designs. The distinctive color blended yarn produces a softly shimmering finish that adds light and openness to your room. With 30 color options to choose from, this beautiful carpet is the perfect choice for family rooms, home theaters, and bedrooms. Constructed of 100% STAINMASTER Xtra Life Tactesse nylon that will hold its beauty for years to come."	http://www.dixie-home.com/web/images/roomscenes/large/CORTEZ.jpg	Nylon	100% STAINMASTER Tactesse BCF nylon	
