manufacturers_id	style_name
1	Fabrica Approved advanced generation type 6,6 BCF nylon
2	Wools of New Zealand
3	STAINMASTER Tactesse
4	Fabrica Approved advanced generation type 6,6 BCF nylon
5	STAINMASTER Tactesse
6	Fabrica Approved advanced generation type 6,6 BCF nylon
7	Fabrica Approved advanced generation type 6,6 BCF nylon
8	Fabrica Approved advanced generation type 6,6 BCF nylon
9	Fabrica Approved advanced generation type 6,6 BCF nylon
10	Fabrica Approved advanced generation type 6,6 BCF nylon
11	Fabrica Approved advanced generation type 6,6 BCF nylon
12	STAINMASTER Tactesse
13	STAINMASTER
14	Fabrica Approved advanced generation type 6,6 BCF nylon
15	Fabrica Approved advanced generation type 6,6 BCF nylon
16	Wools of New Zealand
17	Wools of New Zealand
18	Wools of New Zealand
19	Wools of New Zealand
20	STAINMASTER Tactesse
21	STAINMASTER Tactesse
22	STAINMASTER Tactesse
23	STAINMASTER Tactesse
24	Fabrica Approved advanced generation type 6,6 BCF nylon
25	Fabrica Approved advanced generation type 6,6 BCF nylon
26	STAINMASTER Tactesse
27	Fabrica Approved advanced generation type 6,6 BCF nylon
28	Fabrica Approved advanced generation type 6,6 BCF nylon
29	STAINMASTER
30	Wools of New Zealand
31	Wools of New Zealand
32	STAINMASTER Tactesse
33	Invista Optique
34	STAINMASTER Tactesse
35	Wools of New Zealand
36	STAINMASTER Tactesse
37	STAINMASTER
38	STAINMASTER Tactesse
39	Fabrica Approved advanced generation type 6,6 BCF nylon
40	Fabrica Approved advanced generation type 6,6 BCF nylon
41	Fabrica Approved advanced generation type 6,6 BCF nylon
42	Fabrica Approved advanced generation type 6,6 BCF nylon
43	STAINMASTER Extra Life
44	Fabrica Approved advanced generation type 6,6 BCF nylon
45	Wools of New Zealand
46	Wools of New Zealand
47	Wools of New Zealand
48	Wools of New Zealand
49	STAINMASTER Tactesse
50	NULL
51	NULL
52	STAINMASTER Luxerell
53	STAINMASTER Tactesse
54	STAINMASTER Tactesse
55	Fabrica Approved advanced generation type 6,6 BCF nylon
56	STAINMASTER Luxerell
57	STAINMASTER Tactesse
58	Fabrica Approved advanced generation type 6,6 BCF nylon
59	STAINMASTER Tactesse
60	Wools of New Zealand
61	Wools of New Zealand
62	STAINMASTER Masterlife, Ultralife
63	Wools of New Zealand
64	STAINMASTER Masterlife, Ultralife
65	STAINMASTER Masterlife, Ultralife
66	STAINMASTER Masterlife, Ultralife
67	STAINMASTER Masterlife, Ultralife
