manufacturers_id	style_name
1	Loop
2	Loop
3	Loop
3	Cut Pile
4	Cut Loop
4	Cut Pile
5	Loop
6	Loop
6	Tip Shear
6	Cut Pile
7	Loop
8	Cut Loop
9	Cut Loop
10	Loop
11	Natural Grass
12	Natural Grass
13	Cut And Loop
14	Loop
15	Loop
16	Loop
17	Loop
18	Cut And Loop
19	Loop
20	Cut And Loop
21	Cut And Loop
22	Cut And Loop
23	Natural Grass
24	Natural Grass
25	Natural Grass
27	Tip Shear
28	Loop
29	Flatweave
30	Tip Shear
30	Cut Pile
31	Natural Grass
32	Natural Grass
33	Loop
34	Loop
35	Loop
36	Loop
37	Tip Shear
37	Cut Pile
38	Cut Pile
39	Cut and Loop
40	Loop
41	Cut Pile
42	Cut Pile
43	Loop
