brand	manufacturers_id	name	description	room_image_url	fiber	texture	warranty
j-mish	1	Braid	"Braid is a stunning, multi-colored textural loop, with a woven appearance. This 12' width broadloom pattern is tufted from 100% New Zealand Wool. Braid captures a sense of old-world luxury with it's beautiful color combinations and braided texture."	http://jmish.s3.amazon.aws.com/SignatureWools/Braid/braid_productshot.jpg	Wool	Loop	
j-mish	2	Williston	"Williston is an innovation in carpet that offers “Structured Elegance” in carpet. The subtle use of New Zealand Wool side-by-side with J Mish’s exclusive Sateen Nylon offers a beautiful contrast in luster levels that suit any design environment. Williston is an eighth gauge product. As such, Williston is not only a beautiful tailored residential style; but also, it serves well in any commercial situation."	http://jmish.s3.amazon.aws.com/SignatureWools/Williston/williston_productshot.jpg	Wool	Loop	
j-mish	3	Allure	"Allure offers the discriminating customer a deep, luxurious pile with the subtle luster variations that New Zealand Wool side-by-side with J Mish’s Sateen Nylon can offer. No other product on the market combines this thick, lavish pile height, with in an affordable price point."	http://jmish.s3.amazon.aws.com/SignatureWools/Allure/allure_productshot.jpg	Wool	Loop	
j-mish	4	Vintage Tweed	"Vintage Tweed is an Anton Legacy Nylon multi-color loop texture that brings the sense of British tradition to your interior. Vintage Tweed, with it's soft flecks of color, brighten any room and is sure to become a modern classic for any home interior."		Nylon	Cut Loop	
j-mish	5	Matrix	"Matrix utilizes J Mish’s exclusive tufting technology that allows Matrix to have a woven look and feel, in a tufted carpet. In keeping with the J Mish tradition of offering extensive color offerings, Matrix has 21 colors that allow you to do “whole house” earthtones, as well as, a selection of tweeds, and accents to complete your interior finish."	http://jmish.s3.amazon.aws.com/SignatureWools/Matrix/matrix_productshot.jpg	Wool	Loop	
j-mish	6	Marquess	"Marquess is a classic structured textural quality, with elegant tonal colour-play. This all-loop broadloom product is sure to add ambiance to any room in your home. Pair Marquess with Charade to create a whole-house presentation."	http://jmish.s3.amazon.aws.com/SignatureWools/Marquess/marquess_productshot.jpg	Wool	Loop	
j-mish	7	Wall Street			Wool	Loop	
j-mish	8	Shimmer			Wool	Cut Loop	
j-mish	9	Empire			Wool	Cut Loop	
j-mish	10	Black Jack			Wool	Loop	
j-mish	11	Turbot Seagrass	"Natural Grasses offer a beautiful earthy texture to any interior setting. Each quality offers the natural coloration of the plant fibbers, and brings a sense of mother nature into your home. The five textures offered in this collection are woven and backed with a non-skid backing, and are available in area rugs upon request."		Grass	Natural Grass	
j-mish	12	Turbot Seagrass Deluxe	"Natural Grasses offer a beautiful earthy texture to any interior setting. Each quality offers the natural coloration of the plant fibbers, and brings a sense of mother nature into your home. The five textures offered in this collection are woven and backed with a non-skid backing, and are available in area rugs upon request."		Grass	Natural Grass	
j-mish	13	Tibetan Fantasy	Tibetan Fantasy is a finely tailored six color stripe pattern in an alternating cut and loop design. This quality is tufted with 100% Antron Legacy Nylon and is showcased in nine exotic colorations.		Nylon	Cut And Loop	
j-mish	14	Sunsation	"Sunsation offers the calmness of a garden with its open windowpane design and classic pastel colorations. Tufted from 100% New Zealand Wool, this quality brightens any interior. Sunsation can be paired with either Sunburst or Sunsation for a whole house or multi-room presentation."	http://jmish.s3.amazon.aws.com/SignatureWools/Sunsation/sunsation_productshot.jpg	Wool	Loop	
j-mish	15	Sunrise	"Sunrise is a refreshing textured stripe that adds vitality to any decor. This quality offers fourteen classic pastel colorways, as well as a rainbow stripe. It is a beautiful coordinate for Sunburst and Sunsation, and is tufted from 100% New Zealand Wool."	http://jmish.s3.amazon.aws.com/SignatureWools/Sunrise/sunrise_productshot.jpg	Wool	Loop	
j-mish	16	Sunburst	"Sunburst brings a breath of spring to your interior, with its six pastel colorations. This quality is tufted from 100% New Zealand Wool, with a loop construction which adds subtle texture to your floor. This quality is a companion to Sunrise and Sunsation."	http://jmish.s3.amazon.aws.com/SignatureWools/Sunburst/sunburst_productshot.jpg	Wool	Loop	
j-mish	17	Stone Canyon	Surround yourself with the sense of rustic splendor with Stone Canyon. This quality provides natural warmth and texture with the use of softly heather yarns and a random loop construction. It is available in four natural colorations of the finest quality heavy wool fibers.		Wool	Loop	
j-mish	18	Sequence	"Sequence breaks new ground with its slick design and comfortable touch. This 100% New Zealand Wool quality is both rugged and plush. Offered in nine colorways, this product makes any interior a true gem."	http://jmish.s3.amazon.aws.com/SignatureWools/Sequence/sequence_productshot.jpg	Wool	Cut And Loop	
