dealer_id	name	custom_name
312	Alcazar	Constantia
312	Bella Villetta	Belmont
312	Bethany Bay	Lisbon
312	Boston Common	Rejuvenation
312	Buona Valore	Bewitched
312	Buona Vita	Beautiful Life
312	Cabarita	Myrtle Beach
312	Carlisle Bay	Calicoon
312	Catalina	Tropical
312	Chic Luxury	Spa
312	Classic Chic	Classic Appeal
312	Coastal Elegance	Captivating Luxury
312	Creative Allure	Coopers Cove
312	Divani	Denning
312	Elegance	Happiness
312	Embraceable	Eden
312	Essential Living	Exciting Emotions
312	Felicita	Fancy
312	Field of Dreams	Farrington
312	Friezetti	Fascination
312	Grand Safari	Grand Cayman
312	Grandtanna	Gracious
312	Heartland Magic	Holland
312	High Sierra	Soft Whisper
312	Intriga Colors	Intertwine
312	La Passion	Luxury
312	Mamma Mia	Melodrama
312	Marsella	Mount Airy
312	Modena	Stratford
312	Moroccan Style	Marsella
312	Natural Desire	Northern Appeal
312	Nature's Harmony Cut	Notable
312	Nature's Harmony Roll	Notable
312	Newport Grande	Relaxation
312	Out of Africa	Only Kenya
312	Piece of Heaven	Persia
312	Regal Terrace	Rare Beauty
312	Rosecliffe	Perfect Plush
312	Sands of Time	Mohave
312	Savannah Gardens	Southern Beauty
312	Savannah Shores	Southern Beauty Fleck
312	Seaside Retreat	Shenandoah
312	Sicilian Coast	South Point
312	Soft Reflections	Signature
312	Sonora Sands	Sahara Desert
312	Tender Touch	Trousdale
312	Verde	Vale
312	Vittoria	Bay Vista
312	Woodland Pass	Westbrook
312	Woven Grassland	Rolling Hills
312	York Harbor	Yearly
598	Alcazar	Ansley
598	Buona Vita	Bal Harbor
598	Cabarita	Caledisi
598	Cambridge Shores	Calypso Bay
598	Carlisle Bay	Key West
598	Catalina	Caricia
598	Classic Chic	Legacy
598	Coastal Elegance	Coconut Beach
598	Creative Allure	St Marks
598	Delacourt	Orlando
598	Divani	Clearwater
598	Divisadero	Delmont
598	Embraceable	Heritage Classic
598	Essential Living	Eustis
598	Felicita	Robbins Park
598	Field of Dreams	Mandalay Bay
598	Friezetti	Castaway
598	Genova	Holliston
