manufacturers_id	style_name
347	Check/Plaid/Stripe
347	Trellis/Floral
5	Contemporary
5	Traditional/Persian
5	Casual
17	Trellis/Floral
381	Casual
420	Casual
21	Check/Plaid/Stripe
23	Contemporary
23	Check/Plaid/Stripe
26	Contemporary
26	Casual
26	Check/Plaid/Stripe
371	Traditional/Persian
371	Trellis/Floral
429	Contemporary
214	Contemporary
214	Casual
34	Contemporary
34	Casual
34	Trellis/Floral
36	Casual
37	Trellis/Floral
462	Casual
462	Check/Plaid/Stripe
39	Casual
404	Casual
426	Contemporary
464	Casual
463	Contemporary
463	Casual
47	Casual
50	Contemporary
50	Check/Plaid/Stripe
51	Casual
425	Casual
233	Contemporary
233	Casual
54	Animal Prints
55	Animal Prints
56	Animal Prints
57	Animal Prints
58	Animal Prints
59	Animal Prints
60	Check/Plaid/Stripe
407	Casual
465	Contemporary
465	Casual
63	Contemporary
63	Casual
249	Contemporary
249	Casual
72	Casual
72	Check/Plaid/Stripe
73	Check/Plaid/Stripe
369	Contemporary
369	Trellis/Floral
410	Casual
468	Check/Plaid/Stripe
75	Check/Plaid/Stripe
353	Casual
353	Check/Plaid/Stripe
378	Casual
378	Check/Plaid/Stripe
471	Contemporary
471	Casual
87	Check/Plaid/Stripe
88	Trellis/Floral
272	Casual
413	Casual
422	Contemporary
97	Contemporary
97	Casual
392	Contemporary
392	Casual
99	Check/Plaid/Stripe
100	Trellis/Floral
433	Casual
354	Contemporary
354	Check/Plaid/Stripe
282	Casual
477	Contemporary
477	Casual
436	Casual
165	Traditional/Persian
165	Trellis/Floral
479	Trellis/Floral
284	Casual
284	Check/Plaid/Stripe
388	Casual
393	Contemporary
393	Check/Plaid/Stripe
111	Check/Plaid/Stripe
112	Check/Plaid/Stripe
293	Casual
117	Contemporary
117	Check/Plaid/Stripe
382	Contemporary
382	Animal Prints
480	Contemporary
120	Check/Plaid/Stripe
401	Trellis/Floral
439	Casual
414	Casual
357	Trellis/Floral
482	Casual
482	Check/Plaid/Stripe
416	Casual
419	Casual
448	Casual
130	Contemporary
130	Check/Plaid/Stripe
131	Check/Plaid/Stripe
451	Casual
457	Casual
484	Casual
138	Check/Plaid/Stripe
454	Casual
139	Casual
140	Contemporary
140	Casual
141	Contemporary
141	Trellis/Floral
397	Casual
326	Contemporary
326	Casual
332	Casual
487	Casual
155	Casual
155	Check/Plaid/Stripe
159	Casual
160	Casual
160	Check/Plaid/Stripe
385	Casual
385	Check/Plaid/Stripe
161	Contemporary
161	Casual
341	Casual
341	Check/Plaid/Stripe
394	Animal Prints
68	Check/Plaid/Stripe
9	Traditional/Persian
9	Trellis/Floral
518	Casual
514	Casual
505	Casual
520	Traditional/Persian
520	Casual
121	Check/Plaid/Stripe
125	Traditional/Persian
125	Check/Plaid/Stripe
125	Trellis/Floral
149	Traditional/Persian
149	Trellis/Floral
519	Traditional/Persian
519	Casual
508	Contemporary
511	Traditional/Persian
526	Casual
430	Casual
119	Casual
119	Check/Plaid/Stripe
523	Casual
517	Casual
498	Contemporary
496	Contemporary
496	Trellis/Floral
501	Contemporary
503	Contemporary
503	Trellis/Floral
502	Contemporary
502	Check/Plaid/Stripe
494	Contemporary
493	Contemporary
493	Check/Plaid/Stripe
492	Contemporary
492	Trellis/Floral
490	Contemporary
491	Contemporary
491	Check/Plaid/Stripe
489	Contemporary
489	Trellis/Floral
504	Contemporary
535	Casual
538	Contemporary
538	Casual
529	Casual
373	Casual
174	Contemporary
174	Casual
7	Traditional/Persian
7	Trellis/Floral
370	Traditional/Persian
370	Trellis/Floral
8	Contemporary
8	Check/Plaid/Stripe
375	Contemporary
375	Casual
460	Casual
532	Casual
12	Casual
12	Check/Plaid/Stripe
14	Casual
14	Check/Plaid/Stripe
16	Contemporary
16	Check/Plaid/Stripe
18	Casual
18	Check/Plaid/Stripe
469	Contemporary
469	Casual
