manufacturers_id	color_category
2	Red/Rust
3	Grey/Black
5	Red/Rust
5	White/Ivory
10	Red/Rust
11	Yellow/Gold
16	Blue
18	Yellow/Gold
20	Red/Rust
21	Red/Rust
22	Red/Rust
23	White/Ivory
23	Yellow/Gold
24	Blue
27	Red/Rust
28	Beige/Brown
36	White/Ivory
37	Grey/Black
38	Grey/Black
41	Red/Rust
42	Red/Rust
47	Red/Rust
48	White/Ivory
49	Beige/Brown
49	Grey/Black
51	Blue
51	Red/Rust
55	Green
56	Red/Rust
57	Blue
58	Blue
58	White/Ivory
62	Grey/Black
62	White/Ivory
63	Blue
66	Grey/Black
66	White/Ivory
70	Yellow/Gold
71	Grey/Black
71	White/Ivory
72	Blue
75	Red/Rust
79	Red/Rust
81	Blue
82	Blue
82	Red/Rust
83	Beige/Brown
83	Red/Rust
84	Green
86	Beige/Brown
86	Red/Rust
92	Beige/Brown
93	Red/Rust
95	Red/Rust
99	Green
100	Red/Rust
102	Red/Rust
102	White/Ivory
103	Green
104	Blue
106	Blue
106	White/Ivory
107	Blue
108	Red/Rust
108	White/Ivory
109	Beige/Brown
113	Green
118	Yellow/Gold
125	Red/Rust
127	White/Ivory
128	Grey/Black
129	Red/Rust
130	Yellow/Gold
132	White/Ivory
133	Grey/Black
134	Yellow/Gold
136	Red/Rust
137	Grey/Black
138	Red/Rust
139	White/Ivory
140	Grey/Black
141	Yellow/Gold
143	Red/Rust
144	Red/Rust
145	Yellow/Gold
148	Beige/Brown
148	Blue
148	Green
148	Grey/Black
148	Red/Rust
149	Beige/Brown
149	Blue
149	Green
149	Grey/Black
149	Purple
149	Red/Rust
149	Yellow/Gold
151	Beige/Brown
151	White/Ivory
152	Blue
153	Beige/Brown
154	Blue
155	Red/Rust
159	White/Ivory
160	Red/Rust
170	Blue
171	Red/Rust
172	Red/Rust
173	Blue
174	Grey/Black
175	Red/Rust
176	Red/Rust
177	Blue
178	Grey/Black
179	Red/Rust
181	Red/Rust
182	Blue
183	Grey/Black
184	Red/Rust
186	Beige/Brown
191	Green
231	
232	Beige/Brown
233	Green
245	Beige/Brown
254	Beige/Brown
255	Beige/Brown
256	Beige/Brown
257	Beige/Brown
258	Beige/Brown
259	Beige/Brown
260	Red/Rust
261	Yellow/Gold
262	Blue
263	Yellow/Gold
264	Beige/Brown
265	Red/Rust
267	Red/Rust
268	Grey/Black
270	Yellow/Gold
271	Grey/Black
272	Red/Rust
273	Blue
274	Beige/Brown
275	Blue
276	Blue
278	Grey/Black
279	Grey/Black
280	Grey/Black
281	Grey/Black
282	Green
283	Red/Rust
284	Beige/Brown
286	Red/Rust
287	Beige/Brown
287	Blue
287	Green
287	Grey/Black
287	Purple
287	Red/Rust
287	White/Ivory
287	Yellow/Gold
288	Red/Rust
289	Beige/Brown
292	Beige/Brown
292	Blue
292	Green
292	Grey/Black
292	Purple
292	Red/Rust
292	White/Ivory
292	Yellow/Gold
293	Blue
294	Red/Rust
295	Green
296	Red/Rust
298	Beige/Brown
299	Green
301	Beige/Brown
302	Beige/Brown
302	Blue
302	Green
302	Grey/Black
302	Purple
302	Red/Rust
302	White/Ivory
302	Yellow/Gold
304	Beige/Brown
304	Blue
304	Green
304	Grey/Black
304	Purple
304	Red/Rust
304	White/Ivory
304	Yellow/Gold
305	Beige/Brown
306	Beige/Brown
306	Yellow/Gold
307	Beige/Brown
307	Blue
308	Beige/Brown
308	Blue
308	Green
308	Purple
308	Red/Rust
309	Red/Rust
310	Red/Rust
311	White/Ivory
312	Red/Rust
313	Beige/Brown
313	Red/Rust
314	Green
315	Beige/Brown
316	Beige/Brown
317	Beige/Brown
317	Grey/Black
317	Purple
318	Beige/Brown
318	Green
318	Grey/Black
319	Beige/Brown
319	Grey/Black
320	Red/Rust
321	White/Ivory
322	White/Ivory
323	Purple
324	Beige/Brown
324	Grey/Black
324	White/Ivory
325	Grey/Black
326	Green
326	White/Ivory
327	Beige/Brown
327	Grey/Black
328	Beige/Brown
329	Green
330	Grey/Black
331	Red/Rust
332	Blue
332	Grey/Black
332	Yellow/Gold
333	Beige/Brown
333	Red/Rust
334	White/Ivory
335	Red/Rust
336	Beige/Brown
337	Red/Rust
338	Beige/Brown
339	Red/Rust
340	Beige/Brown
342	White/Ivory
344	Red/Rust
345	Blue
346	Red/Rust
347	White/Ivory
348	Blue
349	White/Ivory
350	Blue
351	Beige/Brown
353	Beige/Brown
354	Beige/Brown
354	Blue
355	Red/Rust
355	White/Ivory
356	Blue
356	White/Ivory
357	Blue
358	Beige/Brown
359	Beige/Brown
359	Yellow/Gold
360	Beige/Brown
360	Blue
361	Beige/Brown
361	Blue
362	Beige/Brown
362	Blue
363	Beige/Brown
364	Beige/Brown
364	Yellow/Gold
365	Beige/Brown
365	Blue
365	Green
365	Grey/Black
365	Purple
365	Red/Rust
365	White/Ivory
365	Yellow/Gold
366	Blue
367	Beige/Brown
368	Beige/Brown
368	Red/Rust
370	Blue
371	Beige/Brown
372	Blue
373	Beige/Brown
374	Beige/Brown
374	Blue
375	Beige/Brown
376	Beige/Brown
377	Yellow/Gold
378	Red/Rust
379	Red/Rust
380	Blue
382	Blue
383	White/Ivory
384	White/Ivory
