manufacturers_id	shape_image_url	height	width	shape_name
2	http://s7d5.scene7.com/is/image/Karastan/549_15002	30.0	48.0	Rectangle
2	http://s7d5.scene7.com/is/image/Karastan/549_15002	51.0	72.0	Rectangle
2	http://s7d5.scene7.com/is/image/Karastan/549_15002	69.0	108.0	Rectangle
2	http://s7d5.scene7.com/is/image/Karastan/549_15002	104.0	120.0	Rectangle
2	http://s7d5.scene7.com/is/image/Karastan/549_15002	104.0	144.0	Rectangle
2	http://s7d5.scene7.com/is/image/Karastan/549_15002	120.0	168.0	Rectangle
2	http://s7d5.scene7.com/is/image/Karastan/549_15002	137.0	192.0	Rectangle
2	http://s7d5.scene7.com/is/image/Karastan/549_15002FR	30.0	96.0	Runner
2	http://s7d5.scene7.com/is/image/Karastan/549_15002FR	30.0	144.0	Runner
2	http://s7d5.scene7.com/is/image/Karastan/549_15002Round	104.0	0.0	Round
2	http://s7d5.scene7.com/is/image/Karastan/B549R_15002	30.0	0.0	Continuous Runner
3	http://s7d5.scene7.com/is/image/Karastan/549_15006	51.0	72.0	Rectangle
3	http://s7d5.scene7.com/is/image/Karastan/549_15006	69.0	108.0	Rectangle
3	http://s7d5.scene7.com/is/image/Karastan/549_15006	104.0	120.0	Rectangle
3	http://s7d5.scene7.com/is/image/Karastan/549_15006	104.0	144.0	Rectangle
3	http://s7d5.scene7.com/is/image/Karastan/549_15006	120.0	168.0	Rectangle
3	http://s7d5.scene7.com/is/image/Karastan/549_15006round	104.0	0.0	Round
5	http://s7d5.scene7.com/is/image/Karastan/549_15005	30.0	48.0	Rectangle
5	http://s7d5.scene7.com/is/image/Karastan/549_15005	51.0	72.0	Rectangle
5	http://s7d5.scene7.com/is/image/Karastan/549_15005	69.0	108.0	Rectangle
5	http://s7d5.scene7.com/is/image/Karastan/549_15005	104.0	120.0	Rectangle
5	http://s7d5.scene7.com/is/image/Karastan/549_15005	104.0	144.0	Rectangle
5	http://s7d5.scene7.com/is/image/Karastan/549_15005	120.0	168.0	Rectangle
5	http://s7d5.scene7.com/is/image/Karastan/549_15005R	30.0	0.0	Continuous Runner
5	http://s7d5.scene7.com/is/image/Karastan/549_15005round	104.0	0.0	Round
5	http://s7d5.scene7.com/is/image/Karastan/B549R_15005	30.0	96.0	Runner
10	http://s7d5.scene7.com/is/image/Karastan/2200_202	30.0	48.0	Rectangle
10	http://s7d5.scene7.com/is/image/Karastan/2200_202	51.0	72.0	Rectangle
10	http://s7d5.scene7.com/is/image/Karastan/2200_202	69.0	108.0	Rectangle
10	http://s7d5.scene7.com/is/image/Karastan/2200_202	104.0	120.0	Rectangle
10	http://s7d5.scene7.com/is/image/Karastan/2200_202	104.0	144.0	Rectangle
10	http://s7d5.scene7.com/is/image/Karastan/2200_202	120.0	168.0	Rectangle
10	http://s7d5.scene7.com/is/image/Karastan/2200R_00202	30.0	102.0	Runner
10	http://s7d5.scene7.com/is/image/Karastan/2200R_202	30.0	0.0	Continuous Runner
11	http://s7d5.scene7.com/is/image/Karastan/385_29435	42.0	66.0	Rectangle
11	http://s7d5.scene7.com/is/image/Karastan/385_29435	66.0	102.0	Rectangle
11	http://s7d5.scene7.com/is/image/Karastan/385_29435	99.0	138.0	Rectangle
16	http://s7d5.scene7.com/is/image/Karastan/357_29917	44.0	71.0	Rectangle
16	http://s7d5.scene7.com/is/image/Karastan/357_29917	68.0	105.0	Rectangle
16	http://s7d5.scene7.com/is/image/Karastan/357_29917	99.0	140.0	Rectangle
16	http://s7d5.scene7.com/is/image/Karastan/357_29917R	33.0	94.0	Runner
18	http://s7d5.scene7.com/is/image/Karastan/2120_00506R	30.0	0.0	Continuous Runner
18	http://s7d5.scene7.com/is/image/Karastan/2120_506	30.0	48.0	Rectangle
18	http://s7d5.scene7.com/is/image/Karastan/2120_506	33.0	60.0	Rectangle
18	http://s7d5.scene7.com/is/image/Karastan/2120_506	44.0	60.0	Rectangle
18	http://s7d5.scene7.com/is/image/Karastan/2120_506	67.0	95.0	Rectangle
18	http://s7d5.scene7.com/is/image/Karastan/2120_506	96.0	125.0	Rectangle
18	http://s7d5.scene7.com/is/image/Karastan/2120_506	102.0	138.0	Rectangle
18	http://s7d5.scene7.com/is/image/Karastan/2120_506	110.0	156.0	Rectangle
18	http://s7d5.scene7.com/is/image/Karastan/2120R_00506	30.0	96.0	Runner
18	http://s7d5.scene7.com/is/image/Karastan/2120R_00506	30.0	144.0	Runner
20	http://s7d5.scene7.com/is/image/Karastan/2120_00502R	30.0	0.0	Runner
20	http://s7d5.scene7.com/is/image/Karastan/2120_00502R	30.0	96.0	Runner
20	http://s7d5.scene7.com/is/image/Karastan/2120_00502R	30.0	144.0	Runner
20	http://s7d5.scene7.com/is/image/Karastan/2120_502	30.0	48.0	Rectangle
20	http://s7d5.scene7.com/is/image/Karastan/2120_502	33.0	60.0	Rectangle
20	http://s7d5.scene7.com/is/image/Karastan/2120_502	44.0	60.0	Rectangle
20	http://s7d5.scene7.com/is/image/Karastan/2120_502	67.0	95.0	Rectangle
20	http://s7d5.scene7.com/is/image/Karastan/2120_502	96.0	125.0	Rectangle
20	http://s7d5.scene7.com/is/image/Karastan/2120_502	102.0	138.0	Rectangle
20	http://s7d5.scene7.com/is/image/Karastan/2120_502	110.0	156.0	Rectangle
21	http://s7d5.scene7.com/is/image/Karastan/2120R_502	30.0	0.0	Continuous Runner
22	http://s7d5.scene7.com/is/image/Karastan/2120_515	30.0	48.0	Rectangle
22	http://s7d5.scene7.com/is/image/Karastan/2120_515	33.0	60.0	Rectangle
22	http://s7d5.scene7.com/is/image/Karastan/2120_515	44.0	60.0	Rectangle
22	http://s7d5.scene7.com/is/image/Karastan/2120_515	67.0	95.0	Rectangle
22	http://s7d5.scene7.com/is/image/Karastan/2120_515	96.0	125.0	Rectangle
22	http://s7d5.scene7.com/is/image/Karastan/2120_515	102.0	138.0	Rectangle
