manufacturers_id	color_name	color_image_url	color_category
1	84 LatiLevel	http://www.laticrete.com/Portals/0/prodIMG/L84LatiLevel.jpg	84 LatiLevel
2	86 LatiLevel	http://www.laticrete.com/Portals/0/prodIMG/L86LatiLevel.jpg	86 LatiLevel
3	816 LatiPatch 	http://www.laticrete.com/Portals/0/prodIMG/L816LatiPatch.jpg	816 LatiPatch 
4	Admix and Primer 	http://www.laticrete.com/Portals/0/prodIMG/LAdmPrimer.jpg	Admix and Primer 
5	Hydro Ban	http://www.laticrete.com/Portals/0/prodIMG/hydroBan.jpg	Hydro Ban
6	9235 Waterproofing Membrane	http://www.laticrete.com/Portals/0/prodIMG/9235WM.jpg	9235 Waterproofing Membrane
7	Hydro Barrier	http://www.laticrete.com/Portals/0/prodIMG/HydroBarrier.jpg	Hydro Barrier
8	Tile Drain Mat	http://www.laticrete.com/Portals/0/prodIMG/LTileDMat.jpg	Tile Drain Mat
9	Blue 92 Anti-Fracture Membrane	http://www.laticrete.com/Portals/0/prodIMG/blue92AFM.jpg	Blue 92 Anti-Fracture Membrane
10	Crack Suppression Kit	http://www.laticrete.com/Portals/0/prodIMG/cracksupKit.jpg	Crack Suppression Kit
11	LATAPOXY 312 Vapor Reduction Membrane	http://www.laticrete.com/Portals/0/prodIMG/Latapoxy312.jpg	LATAPOXY 312 Vapor Reduction Membrane
12	170 Sound and Crack Isolation Mat	http://www.laticrete.com/Portals/0/prodIMG/170SoundandCrack.jpg	170 Sound and Crack Isolation Mat
13	Wire Eye	http://www.laticrete.com/Portals/0/prodIMG/ds6040.jpg	Wire Eye
14	Floor HEAT Mat	http://www.laticrete.com/Portals/0/prodIMG/ds6050.jpg	Floor HEAT Mat
15	Floor Warming Thermostat	http://www.laticrete.com/Portals/0/prodIMG/ds6060.jpg	Floor Warming Thermostat
16	Floor HEAT Kit	http://www.laticrete.com/Portals/0/prodIMG/FloorHEAT_Kit.jpg	Floor HEAT Kit
17	LATAPOXY 300 Adhesive	http://www.laticrete.com/Portals/0/prodIMG/300EpoxyAdh.jpg	LATAPOXY 300 Adhesive
18	LATAPOXY 210 Adhesive	http://www.laticrete.com/Portals/0/prodIMG/210ModEpoxyAdh.jpg	LATAPOXY 210 Adhesive
19	LATAPOXY 310 Stone Adhesive	http://www.laticrete.com/Portals/0/prodIMG/310StoneAdh.jpg	LATAPOXY 310 Stone Adhesive
20	LATAPOXY 310 Cordless Mixer	http://www.laticrete.com/Portals/0/prodIMG/310CordMixer.jpg	LATAPOXY 310 Cordless Mixer
21	255 MultiMax	http://www.laticrete.com/Portals/0/prodIMG/255MultiMaxTSM.jpg	255 MultiMax
22	254 Platinum 	http://www.laticrete.com/Portals/0/prodIMG/254PlatinumMTSM.jpg	254 Platinum 
23	254R Platinum Rapid	http://www.laticrete.com/Portals/0/prodIMG/254RPlatinumMTSM.jpg	254R Platinum Rapid
24	Sure Set	http://www.laticrete.com/Portals/0/prodIMG/Sure_Set.jpg	Sure Set
25	253 Gold	http://www.laticrete.com/Portals/0/prodIMG/253GoldMTSM.jpg	253 Gold
26	253R Gold Rapid	http://www.laticrete.com/Portals/0/prodIMG/253RGoldRapidMTSM.jpg	253R Gold Rapid
27	252 Silver	http://www.laticrete.com/Portals/0/prodIMG/252SilverMTSM.jpg	252 Silver
28	272 Mortar	http://www.laticrete.com/Portals/0/prodIMG/272PreFNwall.jpg	272 Mortar
29	317	http://www.laticrete.com/Portals/0/prodIMG/317FloorNWall.jpg	317
30	211 Powder	http://www.laticrete.com/Portals/0/prodIMG/211CreteFP.jpg	211 Powder
31	4237 Latex Additive	http://www.laticrete.com/Portals/0/prodIMG/4237LatexTSMA.jpg	4237 Latex Additive
32	333 Super Flexible Additive	http://www.laticrete.com/Portals/0/prodIMG/333SuperFA.jpg	333 Super Flexible Additive
33	101 Rapid Latex Admix	http://www.laticrete.com/Portals/0/prodIMG/101RapidSLA.jpg	101 Rapid Latex Admix
34	8500 Glass Block Mortar	http://www.laticrete.com/Portals/0/prodIMG/8500glassblock.jpg	8500 Glass Block Mortar
35	38 Acrylic Admix	http://www.laticrete.com/Portals/0/prodIMG/38AcrylicAdmix.jpg	38 Acrylic Admix
36	220 Marble and Granite Mortar	http://www.laticrete.com/Portals/0/prodIMG/220MarbleGM.jpg	220 Marble and Granite Mortar
37	3701 Fortified Mortar Bed	http://www.laticrete.com/Portals/0/prodIMG/3701Fortified.jpg	3701 Fortified Mortar Bed
38	209 Floor Mud	http://www.laticrete.com/Portals/0/prodIMG/209FMud.jpg	209 Floor Mud
39	226 Thick Bed Mortar	http://www.laticrete.com/Portals/0/prodIMG/226ThickBM.jpg	226 Thick Bed Mortar
40	3701 Mortar Admix	http://www.laticrete.com/Portals/0/prodIMG/3701MortarAdmix.jpg	3701 Mortar Admix
41	15 Premium Mastic	http://www.laticrete.com/Portals/0/prodIMG/15PReMMA.jpg	15 Premium Mastic
42	9 Mastic	http://www.laticrete.com/Portals/0/prodIMG/9CeramicTA.jpg	9 Mastic
43	SpectraLOCK PRO Grout	http://www.laticrete.com/Portals/0/prodIMG/SpecPROgrout.jpg	SpectraLOCK PRO Grout
44	SpectraLOCK Dazzle	http://www.laticrete.com/Portals/0/prodIMG/SpectraLOCKDazzle.jpg	SpectraLOCK Dazzle
45	PermaColor	http://www.laticrete.com/Portals/0/prodIMG/PermaColor.jpg	PermaColor
46	1500 Sanded Grout	http://www.laticrete.com/Portals/0/prodIMG/1500STriPolyFSG.jpg	1500 Sanded Grout
47	1600 Unsanded Grout	http://www.laticrete.com/Portals/0/prodIMG/1600STriPolyFUG.jpg	1600 Unsanded Grout
48	1776 Grout Enhancer	http://www.laticrete.com/Portals/0/prodIMG/1776GAdmixPlus.jpg	1776 Grout Enhancer
49	Masonry Veneer Mortar	http://www.laticrete.com/Portals/0/prodIMG/Masonry-Veneer-Mortar.jpg	Masonry Veneer Mortar
50	Masonry Pointing Mortar	http://www.laticrete.com/Portals/0/prodIMG/Masonry-Pointing-Mortar.jpg	Masonry Pointing Mortar
51	Latasil	http://www.laticrete.com/Portals/0/prodIMG/LatasilTSS.jpg	Latasil
52	Premium Acrylic Caulk	http://www.laticrete.com/Portals/0/prodIMG/caulk.jpg	Premium Acrylic Caulk
53	Floor Leveling Kit	http://www.laticrete.com/Portals/0/prodIMG/FloorLevelingKit.jpg	Floor Leveling Kit
54	WaterTight Floor N'Wall Waterproofing 	http://www.laticrete.com/Portals/0/prodIMG/WatertightFlnWall.jpg	WaterTight Floor N'Wall Waterproofing 
55	Floor Warming	http://www.laticrete.com/Portals/0/prodIMG/FloorWarmingBox.jpg	Floor Warming
56	SpectraSet / Multipurpose PRO	http://www.laticrete.com/Portals/0/prodIMG/Multipurpose-Pro.jpg	SpectraSet / Multipurpose PRO
57	Multipurpose	http://www.laticrete.com/Portals/0/prodIMG/253Multi.jpg	Multipurpose
58	Multipurpose R	http://www.laticrete.com/Portals/0/prodIMG/multiR.jpg	Multipurpose R
59	Floor Adhesive	http://www.laticrete.com/Portals/0/prodIMG/flooradhesive.jpg	Floor Adhesive
60	Mega Bond	http://www.laticrete.com/Portals/0/prodIMG/MegaBond.jpg	Mega Bond
61	Mega Bond Additive	http://www.laticrete.com/Portals/0/prodIMG/megabondadditive.jpg	Mega Bond Additive
62	SpectraLOCK Grout	http://www.laticrete.com/Portals/0/prodIMG/SpectraLOCK_11.21.07.jpg	SpectraLOCK Grout
