brand	manufacturers_id	name	description	room_image_url	warranty
Laticrete	1	84 LatiLevel	<p>LATICRETE inch; 84 LatiLevel is a cementitious powder that is mixed with water to produce a free flowing self leveling underlayment mortar for rapid leveling of interior sub-floors.</p>		
Laticrete	2	86 LatiLevel	<p>LATICRETE 86 LatiLevel is a cementitious powder that is mixed with water to produce a free-flowing self-leveling underlayment mortar for rapid leveling of interior sub-floors. Can be poured from feather edge to 1 1/2 inch (38 mm) thickness in one pour, LATICRETE 86 LatiLevel will produce a smooth and flat surface with excellent durability, which is ready for foot traffic in less than 4 hours.</p>
Laticrete	3	816 LatiPatch 	<p>LATICRETE 816 LatiPatch is a smooth trowel applied underlayment. It is formulated with a special blend of cements, fillers and polymers to produce a fast setting patching compound that can be applied over concrete and exterior glue plywood. LATICRETE 816 LatiPatch is normally mixed with water.</p><p class= inchbold inch>REQUIRED: LATICRETE ADMIX AND PRIMER</p><p>For special substrates, embossing vinyl floors and for improved performance, this product should be mixed with LATICRETE Admix & Primer.</p>		
Laticrete	4	Admix and Primer 	<p>LATICRETE Admix & Primer is a latex primer for use with LATICRETE 86 LatiLevel and LATICRETE 84 LatiLevel . It is also used as an admix for LATICRETE 816 LatiPatch. Product is for interior use only.</p>		
Laticrete	5	Hydro Ban	<p>LATICRETE Hydro Ban is a thin, load bearing waterproofing/crack isolation membrane that DOES NOT require the use of fabric in the field, coves or corners. LATICRETE Hydro Ban is a single component self curing liquid rubber polymer that forms a flexible, seamless waterproofing membrane. LATICRETE Hydro Ban bonds directly to a wide variety of substrates.</p>		
Laticrete	6	9235 Waterproofing Membrane	<p>LATICRETE 9235 Waterproofing Membrane is a thin, load-bearing waterproofing designed specifically for the special requirements of ceramic tile, stone and brick installations. A self-curing liquid rubber polymer and a reinforcing fabric are quickly applied to form a flexible, seamless waterproofing membrane that bonds to a wide variety of substrates.</p>		
Laticrete	7	Hydro Barrier	<p>LATICRETE Hydro Barrier is a thin, load bearing, self curing liquid rubber polymer which can be easily applied to form a flexible seamless waterproof/anti-fracture membrane. LATICRETE Hydro Barrier can be used on interior and exterior, horizontal or vertical surfaces and is approved by IAPMO for use as shower pan liner.</p>		
Laticrete	8	Tile Drain Mat	<p>Part of the LATICRETE Plaza and Deck system. Lightweight, efficient drainage mat; 300% better flow rate than crushed gravel drain bed. Mat Thickness: 1/4 inch (6 mm) supplied in rolls. Mat is engineered to permit maximum load transfer to structural deck while allowing lateral flow of infiltrated water to flow easily to drains. Patent # 5,383,314</p>		
Laticrete	9	Blue 92 Anti-Fracture Membrane	<p>LATICRETE Blue 92 Anti-Fracture Membrane is a two-part system consisting of a liquid rubber and reinforcing fabric. When cured, it forms a highly flexible membrane. While the thin bed method of tile installation provides many advantages, this method can be affected by problems with shrinkage cracking in concrete and other types of substrates. Cracks can telegraph through the tile and/or grout joints. To reduce or eliminate cracks in tile work, a flexible membrane should be applied to the cracked substrate prior to the installations of ceramic tile, marble and stone.</p>		
Laticrete	10	Crack Suppression Kit	<p>LATICRETE Crack Suppression Kit consists of liquid rubber and reinforcing fabric packaged for convenient individual treatment of substrate cracks. When cured, it forms a highly flexible membrane that reduces or eliminates crack transmission in tile or stone work.</p>		
