manufacturers_id	color_name	color_image_url	color_category
1	Terrace	http://www.mannington.com:80/~/media/Images/Product/Resilient/Aurora/41261_detail.ashx	Beige
1	Sand	http://www.mannington.com:80/~/media/Images/Product/Resilient/Aurora/41262_detail.ashx	Beige
1	Tidewater	http://www.mannington.com:80/~/media/Images/Product/Resilient/Aurora/41263_detail.ashx	Brown
2	Ipanema	http://www.mannington.com:80/~/media/Images/Product/Laminate/RevolutionsPlank/26540_detail.ashx	Brown
2	Carnaval	http://www.mannington.com:80/~/media/Images/Product/Laminate/RevolutionsPlank/26541_detail.ashx	Brown
3	Blush	http://www.mannington.com:80/~/media/Images/Product/Hardwood/Exotics/NE05BL1_detail.ashx	Brown
3	Maple	http://www.mannington.com:80/~/media/Images/Product/Hardwood/Exotics/NE05MA1_detail.ashx	Brown
4	Natural	http://www.mannington.com:80/~/media/Images/Product/Hardwood/Exotics/NET05NA1_detail.ashx	Brown
5	English Leather	http://www.mannington.com:80/~/media/Images/Product/Hardwood/HandCrafted/IVH05ELN1_detail.ashx	Brown
5	Saddle	http://www.mannington.com:80/~/media/Images/Product/Hardwood/HandCrafted/IVH05SDN1_detail.ashx	Brown
6	Alabaster	http://www.mannington.com:80/~/media/Images/Product/Resilient/Aurora/41271_detail.ashx	Beige
6	Quartz	http://www.mannington.com:80/~/media/Images/Product/Resilient/Aurora/41272_detail.ashx	Beige
6	Clay	http://www.mannington.com:80/~/media/Images/Product/Resilient/Aurora/41273_detail.ashx	Beige
6	Pebble	http://www.mannington.com:80/~/media/Images/Product/Resilient/Aurora/41274_detail.ashx	Beige
6	Quartz	http://www.mannington.com:80/~/media/Images/Product/Sobella/SobellaPrime/Maderia_Quartz_SPR070.ashx	Beige
6	Clay	http://www.mannington.com:80/~/media/Images/Product/Sobella/SobellaPrime/Maderia_Clay_SPR071.ashx	Orange/Rust
7	Saddle	http://www.mannington.com:80/~/media/Images/Product/Laminate/RevolutionsPlank/26700_detail.ashx	Brown
7	Tanned Hide	http://www.mannington.com:80/~/media/Images/Product/Laminate/RevolutionsPlank/26701_detail.ashx	Brown
7	Buckskin	http://www.mannington.com:80/~/media/Images/Product/Laminate/RevolutionsPlank/26702_detail.ashx	Brown
8	Persian Blue	http://www.mannington.com:80/~/media/Images/Product/Porcelain/Opera/OP0T13_detail.ashx	Blue
8	Patina Green	http://www.mannington.com:80/~/media/Images/Product/Porcelain/Opera/OP1T13_detail.ashx	Green
8	Walnut	http://www.mannington.com:80/~/media/Images/Product/Porcelain/Opera/OP2T13_detail.ashx	Brown
8	Oyster White	http://www.mannington.com:80/~/media/Images/Product/Porcelain/Opera/OP3T13_detail.ashx	Beige
9	Natural Centerville Oak	http://www.mannington.com:80/~/media/Images/Product/Laminate/ValueLock/65001L_detail.ashx	Brown
10	Honey Canterbury Oak	http://www.mannington.com:80/~/media/Images/Product/Laminate/Coordinations/56030L_detail.ashx	Brown
11	Natural Somerset Oak	http://www.mannington.com:80/~/media/Images/Product/Laminate/Coordinations/56031L_detail.ashx	Brown
12	Natural	http://www.mannington.com:80/~/media/Images/Product/Adura/LuxuryPlank/AW501_detail.ashx	Brown
13	Verde	http://www.mannington.com:80/~/media/Images/Product/Resilient/Realistique/97005_detail.ashx	Green
14	Burnet	http://www.mannington.com:80/~/media/Images/Product/Laminate/Diamond Bay/26850_detail.ashx	Brown
14	Tawny	http://www.mannington.com:80/~/media/Images/Product/Laminate/Diamond Bay/26851_detail.ashx	Brown
15	Alabaster	http://www.mannington.com:80/~/media/Images/Product/Hardwood/HandCrafted/IVS05AB1_detail.ashx	Brown
15	Iron Gate	http://www.mannington.com:80/~/media/Images/Product/Hardwood/HandCrafted/IVS05IG1_detail.ashx	Brown
16	Autumn Meridian Cherry	http://www.mannington.com:80/~/media/Images/Product/Laminate/Coordinations/56015.ashx	Brown
17	Auburn	http://www.mannington.com:80/~/media/Images/Product/Hardwood/HandCrafted/RB05AU1_RavenwoodBirch_Auburn.ashx	Brown
17	Bark	http://www.mannington.com:80/~/media/Images/Product/Hardwood/HandCrafted/RB05BK1_RavenwoodBirch_Bark.ashx	Brown
17	Redwood	http://www.mannington.com:80/~/media/Images/Product/Hardwood/HandCrafted/RB05RW1_RavenwoodBirch_Redwood.ashx	Brown
18	Cherry Spice	http://www.mannington.com:80/~/media/Images/Product/Resilient/Aurora/41151_detail.ashx	Brown
18	Natural	http://www.mannington.com:80/~/media/Images/Product/Resilient/Aurora/41152_detail.ashx	Taupe
18	Saddle	http://www.mannington.com:80/~/media/Images/Product/Resilient/Aurora/41153_detail.ashx	Brown
19	Cocoa	http://www.mannington.com:80/~/media/Images/Product/Hardwood/HandCrafted/MayanPecan_Cocoa_MNP05CO1.ashx	Brown
19	Cumin	http://www.mannington.com:80/~/media/Images/Product/Hardwood/HandCrafted/MayanPecan_Cumin_MNP05CU1.ashx	Brown
19	Clove	http://www.mannington.com:80/~/media/Images/Product/Hardwood/HandCrafted/MayanPecan_Clove_MNP05CV1.ashx	Brown
20	Moss Green and Amber	http://www.mannington.com:80/~/media/Images/Product/Resilient/Naturals/17210_detail.ashx	Green
20	Persian Blue and Sand	http://www.mannington.com:80/~/media/Images/Product/Resilient/Naturals/17211_detail.ashx	Blue
20	Aztec Clay and Bronze	http://www.mannington.com:80/~/media/Images/Product/Resilient/Naturals/17212_detail.ashx	Orange/Rust
20	Desert Blush and Beige	http://www.mannington.com:80/~/media/Images/Product/Resilient/Naturals/17213_detail.ashx	Taupe
20	Prairie Beige and Clay	http://www.mannington.com:80/~/media/Images/Product/Resilient/Naturals/17214_detail.ashx	Taupe
21	Dusk	http://www.mannington.com:80/~/media/Images/Product/Hardwood/Exotics/NEJ05DK1_detail.ashx	Brown
21	Sun Kissed	http://www.mannington.com:80/~/media/Images/Product/Hardwood/Exotics/NEJ05SK1_detail.ashx	Brown
22	Cinnamon	http://www.mannington.com:80/~/media/Images/Product/Hardwood/Exotics/NE05CI1_detail.ashx	Brown
22	Chestnut	http://www.mannington.com:80/~/media/Images/Product/Hardwood/Exotics/NE05CT1_detail.ashx	Brown
22	Henna	http://www.mannington.com:80/~/media/Images/Product/Hardwood/Exotics/NE05HE1_detail.ashx	Brown
23	Sand Dune	http://www.mannington.com:80/~/media/Images/Product/Porcelain/Catalina/Catalina_sand_dune13x13.ashx	Beige
23	Sand Dune	http://www.mannington.com:80/~/media/Images/Product/Porcelain/Catalina/Catalina_sand_dune13x13.ashx	Beige
23	Sea Foam	http://www.mannington.com:80/~/media/Images/Product/Porcelain/Catalina/Catalina_seafoam13x13.ashx	Beige
23	Sea Foam	http://www.mannington.com:80/~/media/Images/Product/Porcelain/Catalina/Catalina_seafoam13x13.ashx	Beige
23	Driftwood	http://www.mannington.com:80/~/media/Images/Product/Porcelain/Catalina/Catalina_driftwood13x13.ashx	Beige
23	Driftwood	http://www.mannington.com:80/~/media/Images/Product/Porcelain/Catalina/Catalina_driftwood13x13.ashx	Beige
23	Overcast	http://www.mannington.com:80/~/media/Images/Product/Porcelain/Catalina/Catalina_overcast13x13.ashx	Gray
23	Overcast	http://www.mannington.com:80/~/media/Images/Product/Porcelain/Catalina/Catalina_overcast13x13.ashx	Gray
24	Ohio Oak	http://www.mannington.com:80/~/media/Images/Product/Laminate/Coordinations/36030L_detail.ashx	Brown
25	Sand	http://www.mannington.com:80/~/media/Images/Product/Resilient/Duration/Riverwalk_Sand_DR130.ashx	Beige
25	Stone	http://www.mannington.com:80/~/media/Images/Product/Resilient/Duration/Riverwalk_Stone_DR131.ashx	Taupe
25	Breeze	http://www.mannington.com:80/~/media/Images/Product/Resilient/Duration/Riverwalk_Breeze_DR132.ashx	Brown
26	Ivory Tusk	http://www.mannington.com:80/~/media/Images/Product/Porcelain/SerengetiSlate/SS0T06_detail.ashx	Beige
