manufacturers_id	color_name	color_image_url	color_category
1	Porcelain	http://s3.amazonaws.com/dealer_ignition/scraping_tools/masland/broadloom/Swatches/9232-080.jpg	Masland Custom
1	Empress	http://s3.amazonaws.com/dealer_ignition/scraping_tools/masland/broadloom/Swatches/9232-180.jpg	Masland Custom
1	Aegean Sea	http://s3.amazonaws.com/dealer_ignition/scraping_tools/masland/broadloom/Swatches/9232-432.jpg	Masland Custom
1	Imperial	http://s3.amazonaws.com/dealer_ignition/scraping_tools/masland/broadloom/Swatches/9232-585.jpg	Masland Custom
1	Czar	http://s3.amazonaws.com/dealer_ignition/scraping_tools/masland/broadloom/Swatches/9232-694.jpg	Masland Custom
1	Brocade	http://s3.amazonaws.com/dealer_ignition/scraping_tools/masland/broadloom/Swatches/9232-745.jpg	Masland Custom
1	Tapestry	http://s3.amazonaws.com/dealer_ignition/scraping_tools/masland/broadloom/Swatches/9232-766.jpg	Masland Custom
1	Onyx	http://s3.amazonaws.com/dealer_ignition/scraping_tools/masland/broadloom/Swatches/9232-888.jpg	Masland Custom
1	Mandarin	http://s3.amazonaws.com/dealer_ignition/scraping_tools/masland/broadloom/Swatches/9232-926.jpg	Masland Custom
2	Angolan	http://s3.amazonaws.com/dealer_ignition/scraping_tools/masland/broadloom/Swatches/9446-091.jpg	Masland Custom
2	Sardinian	http://s3.amazonaws.com/dealer_ignition/scraping_tools/masland/broadloom/Swatches/9446-729.jpg	Masland Custom
2	Statuary	http://s3.amazonaws.com/dealer_ignition/scraping_tools/masland/broadloom/Swatches/9446-028.jpg	Masland Custom
2	Bateig	http://s3.amazonaws.com/dealer_ignition/scraping_tools/masland/broadloom/Swatches/9446-524.jpg	Masland Custom
2	Emperador	http://s3.amazonaws.com/dealer_ignition/scraping_tools/masland/broadloom/Swatches/9446-392.jpg	Masland Custom
2	Kirkstone	http://s3.amazonaws.com/dealer_ignition/scraping_tools/masland/broadloom/Swatches/9446-768.jpg	Masland Custom
2	Limbrara	http://s3.amazonaws.com/dealer_ignition/scraping_tools/masland/broadloom/Swatches/9446-541.jpg	Masland Custom
2	Balmoral	http://s3.amazonaws.com/dealer_ignition/scraping_tools/masland/broadloom/Swatches/9446-187.jpg	Masland Custom
2	Mosaic	http://s3.amazonaws.com/dealer_ignition/scraping_tools/masland/broadloom/Swatches/9446-687.jpg	Masland Custom
2	Lanhelin	http://s3.amazonaws.com/dealer_ignition/scraping_tools/masland/broadloom/Swatches/9446-486.jpg	Masland Custom
2	Baltic	http://s3.amazonaws.com/dealer_ignition/scraping_tools/masland/broadloom/Swatches/9446-675.jpg	Masland Custom
2	Tangine	http://s3.amazonaws.com/dealer_ignition/scraping_tools/masland/broadloom/Swatches/9446-618.jpg	Masland Custom
3	Arctic	http://s3.amazonaws.com/dealer_ignition/scraping_tools/masland/broadloom/Swatches/9A01-020.jpg	Masland Custom
3	Black Pearl	http://s3.amazonaws.com/dealer_ignition/scraping_tools/masland/broadloom/Swatches/9A01-830.jpg	Masland Custom
3	Cashmere	http://s3.amazonaws.com/dealer_ignition/scraping_tools/masland/broadloom/Swatches/9A01-530.jpg	Masland Custom
