manufacturers_id	style_name
1	100% New Zealand Wool
2	100% Antron&reg; Legacy nylon
3	100% STAINMASTER&reg; Luxerell&trade; BCF nylon
4	100% STAINMASTER&reg; Tactesse&reg; BCF nylon
5	100% New Zealand Wool
6	100% XTI&reg; nylon
7	100% STAINMASTER&reg; Luxerell&trade; BCF nylon
8	100% STAINMASTER&reg; BCF nylon
9	100% STAINMASTER&reg; nylon
10	100% XTI&reg; nylon
11	100% Wool
12	100% STAINMASTER&reg; BCF nylon
13	100% Antron&reg; Legacy nylon
14	100% Wool
15	100% Antron&reg; Legacy nylon
16	100% STAINMASTER&reg; Luxerell&trade; BCF nylon
17	100% STAINMASTER&reg; Luxerell&trade; BCF nylon
18	Masland Approved Nylon
19	100% STAINMASTER&reg; Luxerell&trade; BCF nylon
20	100% STAINMASTER&reg; Luxerell&trade; BCF nylon
21	100% STAINMASTER&reg; Luxerell&trade; BCF nylon
22	100% Wool
23	100% STAINMASTER&reg; Tactesse&reg; BCF nylon
24	100% Antron&reg; Legacy nylon
25	100% STAINMASTER&reg; Luxerell&trade; BCF nylon
26	100% STAINMASTER&reg; Xtra Life nylon
27	100% Antron Lumena&reg; nylon
28	100% Wool
29	100% Wool
30	100% New Zealand Wool
31	100% STAINMASTER&reg; Luxerell&trade; BCF nylon
32	100% Antron&reg; Legacy nylon
33	100% STAINMASTER&reg; Luxerell&trade; BCF nylon
34	100% STAINMASTER&reg; Luxerell&trade; BCF nylon
35	100% Antron Lumena&reg; nylon
36	100% Undyed Natural Wool
37	100% STAINMASTER&reg; Tactesse&reg; BCF nylon
38	100% STAINMASTER&reg; Luxerell&trade; BCF nylon
39	100% New Zealand Wool
40	Unbranded Nylon
41	100% British Wool
42	100% STAINMASTER&reg; Tactesse&reg; BCF nylon
43	100% STAINMASTER&reg; Tactesse&reg; BCF nylon
44	100% New Zealand Wool
45	New Zealand Wool and Goat Hair
46	100% Type 6,6 nylon
47	100% Masland Solution Dyed nylon
48	100% Masland Solution Dyed nylon
49	100% XTI&reg; nylon
50	100% British Wool
51	100% Antron Lumena&reg; nylon
52	100% Antron Lumena&reg; nylon
53	100% STAINMASTER&reg; ExtraBody II&trade; BCF nylon
54	100% Antron Lumena&reg; Solution Dyed nylon
55	100% Antron Lumena&reg; Solution Dyed nylon
56	100% New Zealand Wool
57	100% STAINMASTER&reg; Luxerell&trade; BCF nylon
58	100% STAINMASTER&reg; Luxerell&trade; BCF nylon
59	100% STAINMASTER&reg; BCF nylon
60	100% STAINMASTER&reg; Luxerell&trade; BCF nylon
61	100% STAINMASTER&reg; Luxerell&trade; BCF nylon
62	100% XTI&reg; nylon
63	100% New Zealand Wool
64	100% STAINMASTER&reg; Tactesse&reg; BCF nylon
65	100% Wool
66	70% Wool 30% Polypropylene
67	100% STAINMASTER&reg; Luxerell&trade; BCF nylon
68	100% STAINMASTER&reg; BCF nylon
69	100% STAINMASTER&reg; Tactesse&reg; BCF nylon
70	100% STAINMASTER&reg; Luxerell&trade; BCF nylon
71	100% Masland Solution Dyed nylon
72	100% STAINMASTER&reg; Luxerell&trade; BCF nylon
73	Masland Approved Nylon
74	100% STAINMASTER&reg; Tactesse&reg; BCF nylon
75	100% STAINMASTER&reg; Tactesse&reg; BCF nylon
76	100% STAINMASTER&reg; Tactesse&reg; BCF nylon
77	100% New Zealand Wool
78	100% New Zealand Wool
79	100% STAINMASTER&reg; Luxerell&trade; BCF nylon
80	100% Wool
81	100% Wool
82	100% STAINMASTER&reg; Luxerell&trade; BCF nylon
83	100% STAINMASTER&reg; Luxerell&trade; BCF nylon
84	100% STAINMASTER&reg; Luxerell&trade; BCF nylon
85	100% BCF Nylon
86	100% BCF Nylon
87	100% BCF Nylon
88	100% BCF Nylon
89	100% BCF Nylon
90	100% STAINMASTER&reg; Luxerell&trade; BCF nylon
91	100% Antron&reg; Legacy nylon
92	100% STAINMASTER&reg; Xtra Life nylon
93	100% New Zealand Wool
94	100% STAINMASTER&reg; Xtra Life nylon
95	100% STAINMASTER&reg; Luxerell&trade; BCF nylon
96	100% STAINMASTER&reg; Luxerell&trade; BCF nylon
97	100% Masland Solution Dyed nylon
98	100% Antron&reg; Legacy nylon
99	100% STAINMASTER&reg; Luxerell&trade; BCF nylon
100	100% STAINMASTER&reg; Luxerell&trade; BCF nylon
101	100% STAINMASTER&reg; nylon
102	100% Masland Solution Dyed nylon
103	100% STAINMASTER&reg; Tactesse&reg; BCF nylon
104	100% STAINMASTER&reg; Luxerell&trade; BCF nylon
105	100% Wool
106	100% Wool
107	100% STAINMASTER&reg; nylon
108	100% STAINMASTER&reg; Tactesse&reg; BCF nylon
109	100% STAINMASTER&reg; Tactesse&reg; BCF nylon
110	100% STAINMASTER&reg; Luxerell&trade; BCF nylon
111	100% Wool
112	100% STAINMASTER&reg; Tactesse&reg; BCF nylon
113	100% New Zealand Wool
114	100% XTI&reg; nylon
115	70% Wool 30% Polypropylene
116	100% STAINMASTER&reg; BCF nylon
117	100% Antron Lumena&reg; Solution Dyed nylon
118	100% STAINMASTER&reg; nylon
119	100% STAINMASTER&reg; Luxerell&trade; BCF nylon
120	100% Antron&reg; Legacy nylon
121	100% Masland Solution Dyed nylon
122	100% STAINMASTER&reg; Luxerell&trade; BCF nylon
123	100% BCF Nylon
124	100% Antron&reg; Legacy nylon
125	100% STAINMASTER&reg; Luxerell&trade; BCF nylon
126	100% STAINMASTER&reg; Tactesse&reg; BCF nylon
127	100% STAINMASTER&reg; Tactesse&reg; BCF nylon
128	100% Antron&reg; Legacy nylon
129	100% STAINMASTER&reg; Tactesse&reg; BCF nylon
130	100% Wool
131	100% STAINMASTER&reg; BCF nylon
132	100% Antron Lumena&reg; Solution Dyed nylon
133	100% Antron Lumena&reg; Solution Dyed nylon
134	100% Wool
135	100% STAINMASTER&reg; Luxerell&trade; BCF nylon
136	100% New Zealand Wool
137	100% DSDN&reg; solution dyed nylon
138	100% New Zealand Wool
139	100% Type 6,6 nylon
140	100% Masland Solution Dyed nylon
141	100% XTI&reg; nylon
142	100% Wool
143	100% British Wool
144	100% XTI&reg; nylon
145	100% STAINMASTER&reg; Luxerell&trade; BCF nylon
146	80% New Zealand Wool / 20% Nylon
147	100% STAINMASTER&reg; Luxerell&trade; BCF nylon
148	100% STAINMASTER&reg; Luxerell&trade; BCF nylon
149	100% Masland Solution Dyed nylon
150	100% Masland Solution Dyed nylon
151	100% STAINMASTER&reg; TruSoft&trade; BCF nylon Type 6,6
152	100% STAINMASTER&reg; TruSoft&trade; BCF nylon Type 6,6
153	100% Masland Solution Dyed nylon
154	100% Masland Solution Dyed nylon
