brand	manufacturers_id	name	description	room_image_url	fiber	texture	warranty
Masland Carpets & Rugs	1	Alexia	Embrace the luxury and elegance of classical design with Alexia. The lush velvet texture of this 100% New Zealand Wool carpet is enhanced by the traditional medallion motifs of this stunning pattern. Alexia is offered in nine colorations, and brings sophis	http://s3.amazonaws.com/dealer_ignition/scraping_tools/masland/broadloom/RoomScenes/9232.jpg	Wool	Woven Cut Pile	Two-year limited repair or replacement warranty.  Stain Resistance: Full warranty details provided upon request Stain Resistance:  Soil Resistance: Full warranty details provided upon request Texture Warranty: Full warranty details provided upon request Ab
Masland Carpets & Rugs	2	Alhambra	Like the magnificent castle that shares its name, this glorious loop carpet is influenced by classical Moorish design. The intricate honeycomb pattern is delineated in three separate yarn colors of 100% Antron&reg; Legacy nylon, a fiber known for durability an	http://s3.amazonaws.com/dealer_ignition/scraping_tools/masland/broadloom/RoomScenes/9446.jpg	Nylon	Loop Pile	Two-year limited repair or replacement warranty.  Stain Resistance: A commercially durable fluorochemical treatment provides extra protection Stain Resistance:  Soil Resistance: A commercially durable fluorochemical treatment provides extra protection Text
Masland Carpets & Rugs	3	Amberly	Amberly offers a light and updated spin on the classic diamond and floral pattern. Constructed of 100% STAINMASTER&reg; Luxerell &trade; BCF nylon and tufted with the latest proprietary technology – Amberly's soft hand, intricate pattern and durability are a pleasin	http://s3.amazonaws.com/dealer_ignition/scraping_tools/masland/broadloom/RoomScenes/9A01.jpg	Nylon	Cut Pile	Two-year limited repair or replacement warranty.  Stain Resistance: STAINMASTER&reg; Lifetime Stain Resistance Limited Warranty Stain Resistance:  Soil Resistance: STAINMASTER&reg; Lifetime Soil Resistance Limited Warranty Texture Warranty: STAINMASTER&reg; 20 Year Te
Masland Carpets & Rugs	4	Americana	Comfort, style, and glorious colors from sea to shining sea – that's the beauty of Americana. This classic cut pile carpet offers a silky smooth surface with a touch of texture for visual interest. Eighty colors celebrate American beauty in four regional p	http://s3.amazonaws.com/dealer_ignition/scraping_tools/masland/broadloom/RoomScenes/9439.jpg	Nylon	Cut Pile	Two-year limited repair or replacement warranty.  Stain Resistance: STAINMASTER&reg; Lifetime Stain Resistance Limited Warranty Stain Resistance:  Soil Resistance: STAINMASTER&reg; Lifetime Soil Resistance Limited Warranty Texture Warranty: STAINMASTER&reg; 15 Year Te
Masland Carpets & Rugs	5	Arezzo	Enchantment runs high with Arezzo. As captivating as a stroll beneath the Tuscan sun on the Piazza Grande, a bold, grid-like pattern enhances the beauty and personality of any room. Presented in a magnificent selection of seven unique colors and created fr	http://s3.amazonaws.com/dealer_ignition/scraping_tools/masland/broadloom/RoomScenes/9236.jpg	Wool	Woven Loop Pile	Two-year limited repair or replacement warranty.  Stain Resistance: Full warranty details provided upon request Stain Resistance:  Soil Resistance: Full warranty details provided upon request Texture Warranty: Full warranty details provided upon request Ab
Masland Carpets & Rugs	6	Argiro	Sophisticated combination of colors and texture lends timeless design to office or home settings. Made of  XTI&reg; nylon and available in 19 colors.	http://s3.amazonaws.com/dealer_ignition/scraping_tools/masland/broadloom/RoomScenes/9417.jpg	Nylon	Loop Pile	Two-year limited repair or replacement warranty.  Stain Resistance: A commercially durable fluorochemical treatment provides extra protection Stain Resistance:  Soil Resistance: A commercially durable fluorochemical treatment provides extra protection Text
Masland Carpets & Rugs	7	Arlington	Taking a classic pattern to a new level, this modern damask is certain to please. Constructed of 100% STAINMASTER&reg; Luxerell &trade; BCF nylon, Arlington is easy to care for, durable and soft.	http://s3.amazonaws.com/dealer_ignition/scraping_tools/masland/broadloom/RoomScenes/9A02.jpg	Nylon	Cut Pile	Two-year limited repair or replacement warranty.  Stain Resistance: STAINMASTER&reg; Lifetime Stain Resistance Limited Warranty Stain Resistance:  Soil Resistance: STAINMASTER&reg; Lifetime Soil Resistance Limited Warranty Texture Warranty: STAINMASTER&reg; 20 Year Te
Masland Carpets & Rugs	8	Bandala	Inspired by the strong cordage fiber found in the Philippines, this product is a combination of corded and woven effects. The precise network of yarns feature subtle tone on tone shading.  It's 25 colors make this product extraordinarily easy to coordinate	http://s3.amazonaws.com/dealer_ignition/scraping_tools/masland/broadloom/RoomScenes/9352.jpg	Nylon	Textured Loop	Two-year limited repair or replacement warranty.  Stain Resistance: STAINMASTER&reg; Lifetime Stain Resistance Limited Warranty Stain Resistance:  Soil Resistance: STAINMASTER&reg; Lifetime Soil Resistance Limited Warranty Texture Warranty: STAINMASTER&reg; 15 Year Te
Masland Carpets & Rugs	9	Barbados	Once called the brightest jewel in the English Crown, Barbados inspires visions of the perfect climate, lush tropical rainforests, sunny beaches, and cool comfortable trade winds. Let your hands feel the construction of the casually elegant, refined textur	http://s3.amazonaws.com/dealer_ignition/scraping_tools/masland/broadloom/RoomScenes/9362.jpg	Nylon	Cut Pile	Two-year limited repair or replacement warranty.  Stain Resistance: STAINMASTER&reg; Lifetime Stain Resistance Limited Warranty Stain Resistance:  Soil Resistance: STAINMASTER&reg; Lifetime Soil Resistance Limited Warranty Texture Warranty: STAINMASTER&reg; 20 Year Te
Masland Carpets & Rugs	10	Basis	This classic cut pile look is available in 19 colors ranging from beige to black	http://s3.amazonaws.com/dealer_ignition/scraping_tools/masland/broadloom/RoomScenes/7238.jpg	Nylon	Loop Pile	Two-year limited repair or replacement warranty.  Stain Resistance: A commercially durable fluorochemical treatment provides extra protection Stain Resistance:  Soil Resistance: A commercially durable fluorochemical treatment provides extra protection Text
Masland Carpets & Rugs	11	Bellini	Subtle striations in color give Bellini the look of handwoven textiles. A sensuous loop carpet, Bellini is offered in an inspired palette of 13 shades of 100% New Zealand Wool. Let the unmatched texture, detail, and colors of Bellini find expression in you	http://s3.amazonaws.com/dealer_ignition/scraping_tools/masland/broadloom/RoomScenes/9221.jpg	Wool	Loop Pile	Two-year limited repair or replacement warranty.  Stain Resistance: Full warranty details provided upon request Stain Resistance:  Soil Resistance: Full warranty details provided upon request Texture Warranty: Full warranty details provided upon request Ab
Masland Carpets & Rugs	12	Bienville	A treat for the senses, Bienville provides visual interest through subtle texture.  Timeless beauty in wool-like nylon. Made of 100% STAINMASTER(R) Xtra Life nylon, Bienville is available in a stunning array of 61 colors.	http://s3.amazonaws.com/dealer_ignition/scraping_tools/masland/broadloom/RoomScenes/9316.jpg	Nylon	Cut Pile	Two-year limited repair or replacement warranty.  Stain Resistance: Limited 7 Year No food/beverage exclusions Stain Resistance:  Soil Resistance: 7 Year Limited Texture Warranty: Limited 10-Year Abrasion Warranty: 10 Year Limited Antistatic Warranty: Limi
Masland Carpets & Rugs	13	Bombay	The dynamic scale of Bombay's windowpane pattern lends a bold distinction to sophisticated interiors.  This structured sisal look is designed to complement a variety of different room settings and styles of decor, from contemporary to traditional.  Bombay 	http://s3.amazonaws.com/dealer_ignition/scraping_tools/masland/broadloom/RoomScenes/7418.jpg	Nylon	Loop Pile	Two-year limited repair or replacement warranty.  Stain Resistance: A commercially durable fluorochemical treatment provides extra protection Stain Resistance:  Soil Resistance: A commercially durable fluorochemical treatment provides extra protection Text
Masland Carpets & Rugs	14	Brighton	Brighton has the beauty, color, and warmth of 100% wool, plus the excitement of fresh patterns and colors. Exquisitely detailed, Brighton brings out the best a room has to offer.	http://s3.amazonaws.com/dealer_ignition/scraping_tools/masland/broadloom/RoomScenes/9200.jpg	Wool	Woven Cut Pile	Two-year limited repair or replacement warranty.  Stain Resistance: Full warranty details provided upon request Stain Resistance:  Soil Resistance: Full warranty details provided upon request Texture Warranty: Full warranty details provided upon request Ab
Masland Carpets & Rugs	15	Broadcast	The bold pattern of Broadcast provides an impact to any interior.  It coordinates with our product, Radio Wave.  The one, two punch of these two products offer you excellent flexibility of scale.  Broadcast consists of colors ranging from a chic turquoise 	http://s3.amazonaws.com/dealer_ignition/scraping_tools/masland/broadloom/RoomScenes/9429.jpg	Nylon	Cut/Loop	Two-year limited repair or replacement warranty.  Stain Resistance: A commercially durable fluorochemical treatment provides extra protection Stain Resistance:  Soil Resistance: A commercially durable fluorochemical treatment provides extra protection Text
Masland Carpets & Rugs	16	Brocade	Tufted with the latest innovative proprietary technology, Brocade's  level of definition, complexity and color detail is extraordinary.  A celebration of Persian pattern perfection -- vines, flowers and medallions are strategically placed in Brocade's 100%	http://s3.amazonaws.com/dealer_ignition/scraping_tools/masland/broadloom/RoomScenes/9A03.jpg	Nylon	Cut Pile	Two-year limited repair or replacement warranty.  Stain Resistance: STAINMASTER&reg; Lifetime Stain Resistance Limited Warranty Stain Resistance:  Soil Resistance: STAINMASTER&reg; Lifetime Soil Resistance Limited Warranty Texture Warranty: STAINMASTER&reg; 20 Year Te
Masland Carpets & Rugs	17	Cabaret	Celebrate the colors and comfort of Cabaret.  A lush, frieze-style carpet, Cabaret offers the irresistible softness of 100% STAINMASTER(R) Luxerell(TM) BCF nylon, with an easy-care texture that minimizes the appearance of footprints.  Cabaret is available 	http://s3.amazonaws.com/dealer_ignition/scraping_tools/masland/broadloom/RoomScenes/9437.jpg	Nylon	Cut Pile	Two-year limited repair or replacement warranty.  Stain Resistance: STAINMASTER&reg; Lifetime Stain Resistance Limited Warranty Stain Resistance:  Soil Resistance: STAINMASTER&reg; Lifetime Soil Resistance Limited Warranty Texture Warranty: STAINMASTER&reg; 20 Year Te
Masland Carpets & Rugs	18	Cache	The serenity and timeless beauty of velvet is embodied in Cache, a classic interpretation of the essential solid color plush carpet.  Deep, dense pile rendered in 100% Masland Approved nylon is soft to the touch and has surface luster that speaks of elegan	http://s3.amazonaws.com/dealer_ignition/scraping_tools/masland/broadloom/RoomScenes/9408.jpg	Nylon	Cut Pile	Two-year limited repair or replacement warranty.  Stain Resistance: STAINMASTER&reg; Lifetime Stain Resistance Limited Warranty Stain Resistance:  Soil Resistance: STAINMASTER&reg; Lifetime Soil Resistance Limited Warranty Texture Warranty: STAINMASTER&reg; 20 Year Te
Masland Carpets & Rugs	19	Cadiz	Reminiscent of a Persian garden where ‘it's always afternoon,' Cadiz brings serenity and style to a room as classic Persian flowers rest on a meandering vine. A sumptuous soft hand, Cadiz is enhanced with today's performance qualities and constructed of 10	http://s3.amazonaws.com/dealer_ignition/scraping_tools/masland/broadloom/RoomScenes/9A04.jpg	Nylon	Cut Pile	Two-year limited repair or replacement warranty.  Stain Resistance: STAINMASTER&reg; Lifetime Stain Resistance Limited Warranty Stain Resistance:  Soil Resistance: STAINMASTER&reg; Lifetime Soil Resistance Limited Warranty Texture Warranty: STAINMASTER&reg; 20 Year Te
Masland Carpets & Rugs	20	Cameron	Cameron is a luxurious, deep pile carpet that captures the true meaning of casual comfort.  The dense nature of this carpet makes texture the essential element to any interior in your home.  Made from 100% Stainmaster(R) Luxerell(TM) BCF nylon, and availab	http://s3.amazonaws.com/dealer_ignition/scraping_tools/masland/broadloom/RoomScenes/9451.jpg	Nylon	Cut Pile	Two-year limited repair or replacement warranty.  Stain Resistance: STAINMASTER&reg; Lifetime Stain Resistance Limited Warranty Stain Resistance:  Soil Resistance: STAINMASTER&reg; Lifetime Soil Resistance Limited Warranty Texture Warranty: STAINMASTER&reg; 20 Year Te
Masland Carpets & Rugs	21	Carib	Plush and inviting, Carib stirs the senses. A stylish cut and loop carpet, Carib's 100% STAINMASTER&reg; Luxerell &trade; BCF nylon fiber is soft and comfortable underfoot. Carib is available in 40 delectable colors.	http://s3.amazonaws.com/dealer_ignition/scraping_tools/masland/broadloom/RoomScenes/9441.jpg	Nylon	Cut/Loop	Two-year limited repair or replacement warranty.  Stain Resistance: STAINMASTER&reg; Lifetime Stain Resistance Limited Warranty Stain Resistance:  Soil Resistance: STAINMASTER&reg; Lifetime Soil Resistance Limited Warranty Texture Warranty: STAINMASTER&reg; 20 Year Te
Masland Carpets & Rugs	22	Carino	A handsome, tailored carpet style, Carino's dense textural pattern fills a room with the warmth and tranquility of a private retreat.  Made of 100% New Zealand wool, Carino makes a lasting impression of beauty and quality in your home.  Carino comes in 13 	http://s3.amazonaws.com/dealer_ignition/scraping_tools/masland/broadloom/RoomScenes/9216.jpg	Wool	Loop Pile	Two-year limited repair or replacement warranty.  Stain Resistance: Full warranty details provided upon request Stain Resistance:  Soil Resistance: Full warranty details provided upon request Texture Warranty: Full warranty details provided upon request Ab
Masland Carpets & Rugs	23	Cartesian	Elemental and enduring, Cartesian offers a foudation that will serve equally well for traditional or contemporary styling.  It brings to interiors a dimensional texture softened with beautiful color.  Constructed of 100% STAINMASTER(R) Tactesse(TM) BCF nyl	http://s3.amazonaws.com/dealer_ignition/scraping_tools/masland/broadloom/RoomScenes/9389.jpg	Nylon	Loop Pile	Two-year limited repair or replacement warranty.  Stain Resistance: STAINMASTER&reg; Lifetime Stain Resistance Limited Warranty Stain Resistance:  Soil Resistance: STAINMASTER&reg; Lifetime Soil Resistance Limited Warranty Texture Warranty: STAINMASTER&reg; 15 Year Te
Masland Carpets & Rugs	24	Casablanca	With its exotic colors and dynamic medallion pattern, Casablanca invokes the romantic vistas of historic Moroccan landscapes. A durable loop carpet made in 12 colorways of Antron&reg; Legacy nylon, Casablanca creates legendary beauty for your home. Casablanca 	http://s3.amazonaws.com/dealer_ignition/scraping_tools/masland/broadloom/RoomScenes/9447.jpg	Nylon	Loop Pile	Two-year limited repair or replacement warranty.  Stain Resistance: A commercially durable fluorochemical treatment provides extra protection Stain Resistance:  Soil Resistance: A commercially durable fluorochemical treatment provides extra protection Text
Masland Carpets & Rugs	25	Casbah	Come away to the unbridled luxury of Casbah. With its deep pile and velvety hand, Casbah is a captivating statement of comfort and style. Rich spice tones in the palette of 40 colors reflect exotic Eastern influences. Made of revolutionary 100% STAINMASTER	http://s3.amazonaws.com/dealer_ignition/scraping_tools/masland/broadloom/RoomScenes/9434.jpg	Nylon	Cut Pile	Two-year limited repair or replacement warranty.  Stain Resistance: STAINMASTER&reg; Lifetime Stain Resistance Limited Warranty Stain Resistance:  Soil Resistance: STAINMASTER&reg; Lifetime Soil Resistance Limited Warranty Texture Warranty: STAINMASTER&reg; 20 Year Te
Masland Carpets & Rugs	26	Catalan	The subtle, random texture of Catalan's luxurious cut loop pile provides an intriguing visual effect and luxurious feel. It is enhanced by the addition of barberpole yarn accents twisted into the solid color. Available in 21 colors, Catalan is crafted of 1	http://s3.amazonaws.com/dealer_ignition/scraping_tools/masland/broadloom/RoomScenes/9376.jpg	Nylon	Cut/Loop	Two-year limited repair or replacement warranty.  Stain Resistance: STAINMASTER&reg; Lifetime Stain Resistance Limited Warranty Stain Resistance:  Soil Resistance: STAINMASTER&reg; Lifetime Soil Resistance Limited Warranty Texture Warranty: STAINMASTER&reg; 15 Year Te
Masland Carpets & Rugs	27	Cervantes	Tailored construction and simple geometry are the hallmarks of the Cervantes design.  The mixture of cut and loop pile provides textural interest that adds visual intrigue. The pattern is enhanced by nine intelligent combinations of forecast colors.  Const	http://s3.amazonaws.com/dealer_ignition/scraping_tools/masland/broadloom/RoomScenes/9464.jpg	Nylon	Tip Sheared Loop	Two-year limited repair or replacement warranty.  Stain Resistance: A commercially durable fluorochemical treatment provides extra protection Stain Resistance:  Soil Resistance: A commercially durable fluorochemical treatment provides extra protection Text
Masland Carpets & Rugs	28	Chakra	Traditional Persian themes find new energy in Chakra, an exquisitely patterned carpet made with the quality and luxury of 100% New Zealand wool.  A distinctive background of striated effects gives Chakra a handmade appearance, and six magnificent colorways	http://s3.amazonaws.com/dealer_ignition/scraping_tools/masland/broadloom/RoomScenes/9213.jpg	Wool	Woven Cut Pile	Two-year limited repair or replacement warranty.  Stain Resistance: Full warranty details provided upon request Stain Resistance:  Soil Resistance: Full warranty details provided upon request Texture Warranty: Full warranty details provided upon request Ab
Masland Carpets & Rugs	29	Charmant	Charmant's light and pleasing lattice pattern visually opens interior spaces and adds a layer of textured detail to bedrooms and gathering areas.  In 100% New Zealand wool and 25 fashion-forward colorways, Charmant makes a tasteful statement.	http://s3.amazonaws.com/dealer_ignition/scraping_tools/masland/broadloom/RoomScenes/9214.jpg	Wool	Loop Pile	Two-year limited repair or replacement warranty.  Stain Resistance: Full warranty details provided upon request Stain Resistance:  Soil Resistance: Full warranty details provided upon request Texture Warranty: Full warranty details provided upon request Ab
Masland Carpets & Rugs	30	Chesapeake	Where calm and tranquility meet high-end fashion, Chesapeake is that lifestyle. It's classic design and loop texture translates into a sophistication of the natural world. Made of 100% wool and in a line of 13 colors, Chesapeake is both refined and relaxed	http://s3.amazonaws.com/dealer_ignition/scraping_tools/masland/broadloom/RoomScenes/9229.jpg	Wool	Tip Sheared Loop	Two-year limited repair or replacement warranty.  Stain Resistance: Full warranty details provided upon request Stain Resistance:  Soil Resistance: Full warranty details provided upon request Texture Warranty: Full warranty details provided upon request Ab
Masland Carpets & Rugs	31	Claridge	Those seeking an exquisite traditional carpet highlighting elaborate Persian ornamentation need  look no further than Claridge. Constructed with proprietary tufting technology and made up of 100% STAINMASTER&reg; Luxerell&trade; BCF nylon fiber, Claridge is a statem	http://s3.amazonaws.com/dealer_ignition/scraping_tools/masland/broadloom/RoomScenes/9A13.jpg	Nylon	Cut Pile	Two-year limited repair or replacement warranty.  Stain Resistance: STAINMASTER&reg; Lifetime Stain Resistance Limited Warranty Stain Resistance:  Soil Resistance: STAINMASTER&reg; Lifetime Soil Resistance Limited Warranty Texture Warranty: STAINMASTER&reg; 20 Year Te
Masland Carpets & Rugs	32	Confections	Irresistible texture and freewheeling color are combined in this dynamic patterned carpet. Made of 100% Antron&reg; Legacy nylon and available in seven colors, Confections is a sweet treat for contemporary fashion interiors.	http://s3.amazonaws.com/dealer_ignition/scraping_tools/masland/broadloom/RoomScenes/9412.jpg	Nylon	Tip Sheared Enhanced Loop	Two-year limited repair or replacement warranty.  Stain Resistance: A commercially durable fluorochemical treatment provides extra protection Stain Resistance:  Soil Resistance: A commercially durable fluorochemical treatment provides extra protection Text
Masland Carpets & Rugs	33	Cordova	A classic Chippendale-period look featuring a layered, interwoven octagon pattern, Cordova brings order and interest to any interior. The cut pile construction featuring the softness and sought-after carefree qualities that 100% STAINMASTER &reg;Luxerell &trade; BCF	http://s3.amazonaws.com/dealer_ignition/scraping_tools/masland/broadloom/RoomScenes/9A12.jpg	Nylon	Cut Pile	Two-year limited repair or replacement warranty.  Stain Resistance: STAINMASTER&reg; Lifetime Stain Resistance Limited Warranty Stain Resistance:  Soil Resistance: STAINMASTER&reg; Lifetime Soil Resistance Limited Warranty Texture Warranty: STAINMASTER&reg; 20 Year Te
