manufacturers_id	color_category	color_name	color_image_url
1	Masland Custom	Custom	http://s3.amazonaws.com/dealer_ignition/scraping_tools/masland/rugs/Swatches/Ruby-34905.jpg
2	Masland Custom	Custom	http://s3.amazonaws.com/dealer_ignition/scraping_tools/masland/rugs/Swatches/Splendid-33103.jpg
3	Masland Custom	Custom	http://s3.amazonaws.com/dealer_ignition/scraping_tools/masland/rugs/Swatches/Marrakesh-33205.jpg
4	Masland Custom	Custom	http://s3.amazonaws.com/dealer_ignition/scraping_tools/masland/rugs/Swatches/Zebra-56504.jpg
4	Masland Custom	Custom	http://s3.amazonaws.com/dealer_ignition/scraping_tools/masland/rugs/Swatches/Zebra-56505.jpg
5	Masland Custom	Custom	http://s3.amazonaws.com/dealer_ignition/scraping_tools/masland/rugs/Swatches/Rose-56601.jpg
5	Masland Custom	Custom	http://s3.amazonaws.com/dealer_ignition/scraping_tools/masland/rugs/Swatches/Rose-56604.jpg
6	Masland Custom	Custom	http://s3.amazonaws.com/dealer_ignition/scraping_tools/masland/rugs/Swatches/Damasc-56704.jpg
6	Masland Custom	Custom	http://s3.amazonaws.com/dealer_ignition/scraping_tools/masland/rugs/Swatches/Damasc-56705.jpg
6	Masland Custom	Custom	http://s3.amazonaws.com/dealer_ignition/scraping_tools/masland/rugs/Swatches/Damasc-56701.jpg
7	Masland Custom	Custom	http://s3.amazonaws.com/dealer_ignition/scraping_tools/masland/rugs/Swatches/Mix-68302.jpg
7	Masland Custom	Custom	http://s3.amazonaws.com/dealer_ignition/scraping_tools/masland/rugs/Swatches/Mix-68305.jpg
7	Masland Custom	Custom	http://s3.amazonaws.com/dealer_ignition/scraping_tools/masland/rugs/Swatches/Mix-70400.jpg
7	Masland Custom	Custom	http://s3.amazonaws.com/dealer_ignition/scraping_tools/masland/rugs/Swatches/Mix-70401.jpg
7	Masland Custom	Custom	http://s3.amazonaws.com/dealer_ignition/scraping_tools/masland/rugs/Swatches/Mix-70405.jpg
7	Masland Custom	Custom	http://s3.amazonaws.com/dealer_ignition/scraping_tools/masland/rugs/Swatches/Mix-70407.jpg
