manufacturers_id	shape_image_url	height	width	shape_name
1	http://s3.amazonaws.com/dealer_ignition/scraping_tools/masland/rugs/Swatches/Ruby-34905.jpg	unknown	unknown	Rectangle
2	http://s3.amazonaws.com/dealer_ignition/scraping_tools/masland/rugs/Swatches/Splendid-33103.jpg	unknown	unknown	Rectangle
3	http://s3.amazonaws.com/dealer_ignition/scraping_tools/masland/rugs/Swatches/Marrakesh-33205.jpg	unknown	unknown	Rectangle
4	http://s3.amazonaws.com/dealer_ignition/scraping_tools/masland/rugs/Swatches/Zebra-56504.jpg	unknown	unknown	Rectangle
4	http://s3.amazonaws.com/dealer_ignition/scraping_tools/masland/rugs/Swatches/Zebra-56505.jpg	unknown	unknown	Rectangle
5	http://s3.amazonaws.com/dealer_ignition/scraping_tools/masland/rugs/Swatches/Rose-56601.jpg	unknown	unknown	Rectangle
5	http://s3.amazonaws.com/dealer_ignition/scraping_tools/masland/rugs/Swatches/Rose-56604.jpg	unknown	unknown	Rectangle
6	http://s3.amazonaws.com/dealer_ignition/scraping_tools/masland/rugs/Swatches/Damasc-56704.jpg	unknown	unknown	Rectangle
6	http://s3.amazonaws.com/dealer_ignition/scraping_tools/masland/rugs/Swatches/Damasc-56705.jpg	unknown	unknown	Rectangle
6	http://s3.amazonaws.com/dealer_ignition/scraping_tools/masland/rugs/Swatches/Damasc-56701.jpg	unknown	unknown	Rectangle
7	http://s3.amazonaws.com/dealer_ignition/scraping_tools/masland/rugs/Swatches/Mix-68302.jpg	unknown	unknown	Rectangle
7	http://s3.amazonaws.com/dealer_ignition/scraping_tools/masland/rugs/Swatches/Mix-68305.jpg	unknown	unknown	Rectangle
7	http://s3.amazonaws.com/dealer_ignition/scraping_tools/masland/rugs/Swatches/Mix-70400.jpg	unknown	unknown	Rectangle
7	http://s3.amazonaws.com/dealer_ignition/scraping_tools/masland/rugs/Swatches/Mix-70401.jpg	unknown	unknown	Rectangle
7	http://s3.amazonaws.com/dealer_ignition/scraping_tools/masland/rugs/Swatches/Mix-70405.jpg	unknown	unknown	Rectangle
7	http://s3.amazonaws.com/dealer_ignition/scraping_tools/masland/rugs/Swatches/Mix-70407.jpg	unknown	unknown	Rectangle
7	http://s3.amazonaws.com/dealer_ignition/scraping_tools/masland/rugs/Swatches/Mix-70415.jpg	unknown	unknown	Rectangle
7	http://s3.amazonaws.com/dealer_ignition/scraping_tools/masland/rugs/Swatches/Mix-68201.jpg	unknown	unknown	Rectangle
7	http://s3.amazonaws.com/dealer_ignition/scraping_tools/masland/rugs/Swatches/Mix-68205.jpg	unknown	unknown	Rectangle
7	http://s3.amazonaws.com/dealer_ignition/scraping_tools/masland/rugs/Swatches/Mix-68209.jpg	unknown	unknown	Rectangle
7	http://s3.amazonaws.com/dealer_ignition/scraping_tools/masland/rugs/Swatches/Mix-68211.jpg	unknown	unknown	Rectangle
8	http://s3.amazonaws.com/dealer_ignition/scraping_tools/masland/rugs/Swatches/Stain-68505.jpg	unknown	unknown	Rectangle
8	http://s3.amazonaws.com/dealer_ignition/scraping_tools/masland/rugs/Swatches/Stain-68508.jpg	unknown	unknown	Rectangle
8	http://s3.amazonaws.com/dealer_ignition/scraping_tools/masland/rugs/Swatches/Stain-68515.jpg	unknown	unknown	Rectangle
9	http://s3.amazonaws.com/dealer_ignition/scraping_tools/masland/rugs/Swatches/Tones-34600.jpg	unknown	unknown	Rectangle
9	http://s3.amazonaws.com/dealer_ignition/scraping_tools/masland/rugs/Swatches/Tones-34605.jpg	unknown	unknown	Rectangle
9	http://s3.amazonaws.com/dealer_ignition/scraping_tools/masland/rugs/Swatches/Tones-34608.jpg	unknown	unknown	Rectangle
10	http://s3.amazonaws.com/dealer_ignition/scraping_tools/masland/rugs/Swatches/Grace-35306.jpg	unknown	unknown	Rectangle
11	http://s3.amazonaws.com/dealer_ignition/scraping_tools/masland/rugs/Swatches/Canvas-32905.jpg	unknown	unknown	Rectangle
12	http://s3.amazonaws.com/dealer_ignition/scraping_tools/masland/rugs/Swatches/Jasmine-32405.jpg	unknown	unknown	Rectangle
12	http://s3.amazonaws.com/dealer_ignition/scraping_tools/masland/rugs/Swatches/Jasmine-32408.jpg	unknown	unknown	Rectangle
13	http://s3.amazonaws.com/dealer_ignition/scraping_tools/masland/rugs/Swatches/Elegance-31904.jpg	unknown	unknown	Rectangle
13	http://s3.amazonaws.com/dealer_ignition/scraping_tools/masland/rugs/Swatches/Elegance-31905.jpg	unknown	unknown	Rectangle
14	http://s3.amazonaws.com/dealer_ignition/scraping_tools/masland/rugs/Swatches/Vibes-33000.jpg	unknown	unknown	Rectangle
14	http://s3.amazonaws.com/dealer_ignition/scraping_tools/masland/rugs/Swatches/Vibes-33005.jpg	unknown	unknown	Rectangle
15	http://s3.amazonaws.com/dealer_ignition/scraping_tools/masland/rugs/Swatches/Mystic-32505.jpg	unknown	unknown	Rectangle
16	http://s3.amazonaws.com/dealer_ignition/scraping_tools/masland/rugs/Swatches/Garland-33300.jpg	unknown	unknown	Rectangle
17	http://s3.amazonaws.com/dealer_ignition/scraping_tools/masland/rugs/Swatches/Hail-85401.jpg	unknown	unknown	Rectangle
17	http://s3.amazonaws.com/dealer_ignition/scraping_tools/masland/rugs/Swatches/Hail-85404.jpg	unknown	unknown	Rectangle
17	http://s3.amazonaws.com/dealer_ignition/scraping_tools/masland/rugs/Swatches/Hail-85405.jpg	unknown	unknown	Rectangle
18	http://s3.amazonaws.com/dealer_ignition/scraping_tools/masland/rugs/Swatches/Curve-83800.jpg	unknown	unknown	Rectangle
18	http://s3.amazonaws.com/dealer_ignition/scraping_tools/masland/rugs/Swatches/Curve-83801.jpg	unknown	unknown	Rectangle
19	http://s3.amazonaws.com/dealer_ignition/scraping_tools/masland/rugs/Swatches/Orbit-84600.jpg	unknown	unknown	Rectangle
19	http://s3.amazonaws.com/dealer_ignition/scraping_tools/masland/rugs/Swatches/Orbit-84605.jpg	unknown	unknown	Rectangle
20	http://s3.amazonaws.com/dealer_ignition/scraping_tools/masland/rugs/Swatches/Domino-83901.jpg	unknown	unknown	Rectangle
20	http://s3.amazonaws.com/dealer_ignition/scraping_tools/masland/rugs/Swatches/Domino-83904.jpg	unknown	unknown	Rectangle
21	http://s3.amazonaws.com/dealer_ignition/scraping_tools/masland/rugs/Swatches/Cosmic-83600.jpg	unknown	unknown	Rectangle
21	http://s3.amazonaws.com/dealer_ignition/scraping_tools/masland/rugs/Swatches/Cosmic-83604.jpg	unknown	unknown	Rectangle
21	http://s3.amazonaws.com/dealer_ignition/scraping_tools/masland/rugs/Swatches/Cosmic-83608.jpg	unknown	unknown	Rectangle
22	http://s3.amazonaws.com/dealer_ignition/scraping_tools/masland/rugs/Swatches/Horizon-83500.jpg	unknown	unknown	Rectangle
