manufacturers_id	style_name
1	Handknotted
2	Handknotted
3	Handknotted
4	Woven
5	Woven
6	Woven
7	Woven
8	Woven
9	Handknotted
10	Handknotted
11	Handknotted
12	Handknotted
13	Handknotted
14	Handknotted
15	Handknotted
16	Handknotted
17	Handknotted
18	Handtufted
19	Handtufted
20	Handtufted
21	Handtufted
22	Handtufted
23	Woven
24	Woven
25	Woven
26	Woven
27	Woven
28	Woven
29	Handknotted
30	Woven
31	Woven
32	Woven
33	Woven
34	Handknotted
35	Handknotted
36	Handknotted
37	Handknotted
38	Handknotted
39	Handknotted
40	Handknotted
41	Handtufted
42	Handtufted
43	Handtufted
44	Handtufted
45	Handtufted
46	Handtufted
47	Handtufted
48	Handtufted
49	Handtufted
50	Handtufted
51	Handtufted
52	Woven 
53	Woven 
54	Woven 
55	
56	Hand-Knotted
57	Hand-Knotted
58	Hand-Knotted
59	Hand Woven
60	Woven
61	
62	
63	
64	
65	Hand-knotted
