manufacturers_id	name	description	room_image_url	warranty
1	Ruby	Made in Nepal	http://s3.amazonaws.com/dealer_ignition/scraping_tools/masland/rugs/RoomScenes/Rubyroomscene.jpg	Two-year limited repair or replacement warranty. Masland Carpets & Rugs warrants to the initial purchaser and original seller that its carpets will be free from manufacturing defects for a period of two (2) years from date of delivery to the original seller. This is a limited warranty and contains specific exclusions and limitations.
2	Splendid	Made in Nepal	http://s3.amazonaws.com/dealer_ignition/scraping_tools/masland/rugs/RoomScenes/Splendidroomscene.jpg	Two-year limited repair or replacement warranty. Masland Carpets & Rugs warrants to the initial purchaser and original seller that its carpets will be free from manufacturing defects for a period of two (2) years from date of delivery to the original seller. This is a limited warranty and contains specific exclusions and limitations.
3	Marrakesh	Made in Nepal	http://s3.amazonaws.com/dealer_ignition/scraping_tools/masland/rugs/RoomScenes/Marrakeshroomscene.jpg	Two-year limited repair or replacement warranty. Masland Carpets & Rugs warrants to the initial purchaser and original seller that its carpets will be free from manufacturing defects for a period of two (2) years from date of delivery to the original seller. This is a limited warranty and contains specific exclusions and limitations.
4	Zebra	Made in the Netherlands	http://s3.amazonaws.com/dealer_ignition/scraping_tools/masland/rugs/RoomScenes/Zebraroomscene.jpg	Two-year limited repair or replacement warranty. Masland Carpets & Rugs warrants to the initial purchaser and original seller that its carpets will be free from manufacturing defects for a period of two (2) years from date of delivery to the original seller. This is a limited warranty and contains specific exclusions and limitations.
5	Rose	Made in the Netherlands	http://s3.amazonaws.com/dealer_ignition/scraping_tools/masland/rugs/RoomScenes/Roseroomscene.jpg	Two-year limited repair or replacement warranty. Masland Carpets & Rugs warrants to the initial purchaser and original seller that its carpets will be free from manufacturing defects for a period of two (2) years from date of delivery to the original seller. This is a limited warranty and contains specific exclusions and limitations.
6	Damasc	Made in the Netherlands	http://s3.amazonaws.com/dealer_ignition/scraping_tools/masland/rugs/RoomScenes/Damascroomscene.jpg	Two-year limited repair or replacement warranty. Masland Carpets & Rugs warrants to the initial purchaser and original seller that its carpets will be free from manufacturing defects for a period of two (2) years from date of delivery to the original seller. This is a limited warranty and contains specific exclusions and limitations.
7	Mix	Made in the Netherlands	http://s3.amazonaws.com/dealer_ignition/scraping_tools/masland/rugs/RoomScenes/Mix1roomscene.jpg	Two-year limited repair or replacement warranty. Masland Carpets & Rugs warrants to the initial purchaser and original seller that its carpets will be free from manufacturing defects for a period of two (2) years from date of delivery to the original seller. This is a limited warranty and contains specific exclusions and limitations.
8	Stain	Made in the Netherlands	http://s3.amazonaws.com/dealer_ignition/scraping_tools/masland/rugs/RoomScenes/Stainroomscene.jpg	Two-year limited repair or replacement warranty. Masland Carpets & Rugs warrants to the initial purchaser and original seller that its carpets will be free from manufacturing defects for a period of two (2) years from date of delivery to the original seller. This is a limited warranty and contains specific exclusions and limitations.
9	Tones	Made in Nepal	http://s3.amazonaws.com/dealer_ignition/scraping_tools/masland/rugs/RoomScenes/Tonesroomscene.jpg	Two-year limited repair or replacement warranty. Masland Carpets & Rugs warrants to the initial purchaser and original seller that its carpets will be free from manufacturing defects for a period of two (2) years from date of delivery to the original seller. This is a limited warranty and contains specific exclusions and limitations.
10	Grace	Made in Nepal	http://s3.amazonaws.com/dealer_ignition/scraping_tools/masland/rugs/RoomScenes/Graceroomscene.jpg	Two-year limited repair or replacement warranty. Masland Carpets & Rugs warrants to the initial purchaser and original seller that its carpets will be free from manufacturing defects for a period of two (2) years from date of delivery to the original seller. This is a limited warranty and contains specific exclusions and limitations.
11	Canvas	Made in Nepal	http://s3.amazonaws.com/dealer_ignition/scraping_tools/masland/rugs/RoomScenes/Canvasroomscene.jpg	Two-year limited repair or replacement warranty. Masland Carpets & Rugs warrants to the initial purchaser and original seller that its carpets will be free from manufacturing defects for a period of two (2) years from date of delivery to the original seller. This is a limited warranty and contains specific exclusions and limitations.
12	Jasmine	Made in Nepal	http://s3.amazonaws.com/dealer_ignition/scraping_tools/masland/rugs/RoomScenes/Jasmineroomscene.jpg	Two-year limited repair or replacement warranty. Masland Carpets & Rugs warrants to the initial purchaser and original seller that its carpets will be free from manufacturing defects for a period of two (2) years from date of delivery to the original seller. This is a limited warranty and contains specific exclusions and limitations.
13	Elegance	Made in Nepal	http://s3.amazonaws.com/dealer_ignition/scraping_tools/masland/rugs/RoomScenes/Eleganceroomscene.jpg	Two-year limited repair or replacement warranty. Masland Carpets & Rugs warrants to the initial purchaser and original seller that its carpets will be free from manufacturing defects for a period of two (2) years from date of delivery to the original seller. This is a limited warranty and contains specific exclusions and limitations.
14	Vibes	Made in Nepal	http://s3.amazonaws.com/dealer_ignition/scraping_tools/masland/rugs/RoomScenes/Vibesroomscene.jpg	Two-year limited repair or replacement warranty. Masland Carpets & Rugs warrants to the initial purchaser and original seller that its carpets will be free from manufacturing defects for a period of two (2) years from date of delivery to the original seller. This is a limited warranty and contains specific exclusions and limitations.
