manufacturers_id	shape_image_url	height	width	shape_name
1	http://momeni.s3.amazonaws.com/HIGHRES%20IMAGES/ARABESQUE/ARABEAQ-01BGE.png	6.0	6.0	Rectangle
1	http://momeni.s3.amazonaws.com/RUNNERS/ARABESQUE/ARABEAQ-01BGE.png	8.0	8.0	Runner
1	http://momeni.s3.amazonaws.com/HIGHRES%20IMAGES/ARABESQUE/ARABEAQ-01BGE.png	6.0	6.0	Rectangle
1	http://momeni.s3.amazonaws.com/HIGHRES%20IMAGES/ARABESQUE/ARABEAQ-01BGE.png	8.0	8.0	Rectangle
1	http://momeni.s3.amazonaws.com/HIGHRES%20IMAGES/ARABESQUE/ARABEAQ-01BGE.png	10.0	10.0	Rectangle
1	http://momeni.s3.amazonaws.com/HIGHRES%20IMAGES/ARABESQUE/ARABEAQ-01BGE.png	12.0	12.0	Rectangle
1	http://momeni.s3.amazonaws.com/HIGHRES%20IMAGES/ARABESQUE/ARABEAQ-01LBL.png	6.0	6.0	Rectangle
1	http://momeni.s3.amazonaws.com/RUNNERS/ARABESQUE/ARABEAQ-01LBL.png	8.0	8.0	Runner
1	http://momeni.s3.amazonaws.com/HIGHRES%20IMAGES/ARABESQUE/ARABEAQ-01LBL.png	6.0	6.0	Rectangle
1	http://momeni.s3.amazonaws.com/HIGHRES%20IMAGES/ARABESQUE/ARABEAQ-01LBL.png	8.0	8.0	Rectangle
1	http://momeni.s3.amazonaws.com/HIGHRES%20IMAGES/ARABESQUE/ARABEAQ-01LBL.png	10.0	10.0	Rectangle
1	http://momeni.s3.amazonaws.com/HIGHRES%20IMAGES/ARABESQUE/ARABEAQ-01LBL.png	12.0	12.0	Rectangle
1	http://momeni.s3.amazonaws.com/HIGHRES%20IMAGES/ARABESQUE/ARABEAQ-02COP.png	6.0	6.0	Rectangle
1	http://momeni.s3.amazonaws.com/RUNNERS/ARABESQUE/ARABEAQ-02COP-RUN.png	8.0	8.0	Runner
1	http://momeni.s3.amazonaws.com/HIGHRES%20IMAGES/ARABESQUE/ARABEAQ-02COP.png	6.0	6.0	Rectangle
1	http://momeni.s3.amazonaws.com/HIGHRES%20IMAGES/ARABESQUE/ARABEAQ-02COP.png	8.0	8.0	Rectangle
1	http://momeni.s3.amazonaws.com/HIGHRES%20IMAGES/ARABESQUE/ARABEAQ-02COP.png	10.0	10.0	Rectangle
1	http://momeni.s3.amazonaws.com/HIGHRES%20IMAGES/ARABESQUE/ARABEAQ-02COP.png	12.0	12.0	Rectangle
1	http://momeni.s3.amazonaws.com/HIGHRES%20IMAGES/ARABESQUE/ARABEAQ-02SEA.png	6.0	6.0	Rectangle
1	http://momeni.s3.amazonaws.com/RUNNERS/ARABESQUE/ARABEAQ-02SEA.png	8.0	8.0	Runner
1	http://momeni.s3.amazonaws.com/HIGHRES%20IMAGES/ARABESQUE/ARABEAQ-02SEA.png	6.0	6.0	Rectangle
1	http://momeni.s3.amazonaws.com/HIGHRES%20IMAGES/ARABESQUE/ARABEAQ-02SEA.png	8.0	8.0	Rectangle
1	http://momeni.s3.amazonaws.com/HIGHRES%20IMAGES/ARABESQUE/ARABEAQ-02SEA.png	10.0	10.0	Rectangle
1	http://momeni.s3.amazonaws.com/HIGHRES%20IMAGES/ARABESQUE/ARABEAQ-02SEA.png	12.0	12.0	Rectangle
1	http://momeni.s3.amazonaws.com/HIGHRES%20IMAGES/ARABESQUE/ARABEAQ-02TEL.png	6.0	6.0	Rectangle
1	http://momeni.s3.amazonaws.com/RUNNERS/ARABESQUE/ARABEAQ-02TEL.png	8.0	8.0	Runner
