manufacturers_id	style_name
1	Indian Hand Tufted
2	Turkish Machine Made
3	Chinese Hand Tufted
4	Chinese Hand Hook
5	Indian Hand Knotted
6	CHINESE MACHINE MADE
7	Chinese Hand Tufted
8	CHINESE MACHINE MADE
9	Chinese Hand Knotted
10	Indian Hand Knotted
11	Indian Hand Tufted
12	Turkish Machine Made
13	EGYPTIAN MACHINE MADE
14	CHINESE MACHINE MADE
15	INDIAN HAND LOOMED
16	Chinese Hand Tufted
17	Chinese Hand Tufted
18	INDIAN HAND LOOMED
19	Chinese Hand Tufted
20	Chinese Hand Tufted
21	Indian Hand Tufted
22	Chinese Hand Tufted
23	Chinese Hand Hook
24	Chinese Hand Tufted
25	Chinese Hand Tufted
26	Chinese Hand Tufted
27	Chinese Hand Tufted
28	Indian Hand Tufted
29	Indian Hand Tufted
30	CHINESE MACHINE MADE
31	Chinese Hand Tufted
32	CHINESE MACHINE MADE
33	Chinese Hand Hook
34	CHINESE MACHINE MADE
35	Chinese Hand Tufted
36	Turkish Machine Made
37	CHINESE MACHINE MADE
38	Indian Hand Tufted
39	Chinese Hand Knotted
40	Indian Hand Tufted
41	Chinese Hand Hook
42	Indian Hand Tufted
43	Chinese Hand Hook
44	INDIAN HAND LOOMED
45	Chinese Hand Tufted
46	Indian Hand Tufted
47	Indian Hand Tufted
48	Chinese Hand Tufted
49	Chinese Hand Tufted
50	POWER LOOMED
51	Chinese Hand Hook
52	Indian Hand Tufted
53	Indian Hand Tufted
