manufacturers_id	name	description	room_image_url	warranty
1	ARABESQUE COLLECTION	Drawing inspiration from Polonaise, Art & Crafts and Deco motifs, Arabesque is modern collection of past eras. Transitional in feel, these rugs are a nod to the past; hand-tufted of 100% over-twisted wool all feature a heavy wash giving them an antiue feel.		1 Year
2	BELMONT COLLECTION	Inspired by Persian textiles and antique rugs, Belmont is traditional collection power-loomed of polypropylene, with machine finishing. Many designs feature a drop-stitch technique that adds texture and depth.    		1 Year
3	BLISS COLLECTION	Bliss is a collection of bold transitional and soft contemporary patterns in earthen tones, hand-tufted from the softest blend of polyester. It features hand-carving for added depth and texture.		1 Year
4	COASTAL COLLECTION	Breezy depictions and cool, ocean colors combine in the Coastal collection. Palm trees, seashells, and tropical fish make this hand-hooked collection a beachy must-have.	http://momeni.s3.amazonaws.com/ROOM%20SHOTS/CC-01BLU.png	1 Year
5	CHELSEA COLLECTION	A striking group of Tibetan-like hand-knotted rugs with organic motifs, Chelsea is beautifully elegant in its subtleness. All designs feature delicate viscose highlights and light hand-carving for a truly unique collection.	http://momeni.s3.amazonaws.com/ROOM%20SHOTS/CE-10 CHR.png	1 Year
6	CAPRI COLLECTION	Soft florals in a muted color palette accent this power-loomed collection. Made of 100% wool, Capri features hand-carving and hand-serged edges.		1 Year
7	COMFORT SHAG	Reminiscent of the shag rugs of the 1970’s, Comfort Shag is a modern take on a classic. Hand-tufted of 100% mod-acrylic, these rugs feature a soft hand and a thick, rich pile.	http://momeni.s3.amazonaws.com/ROOM%20SHOTS/CS-10IVY.png	1 Year
8	DECO COLLECTION	Contemporary designs in a rich color palette give Deco its edge. Power-loomed of 100% New Zealand wool, this collection features hand-serged edges and hand-carving for added depth.	1 Year
9	DORADO COLLECTION	Dorado features golden silk threads prominently interwoven into each beautiful design, enhancing the patterns and giving the line a striking luxurious appearance. Dorado is hand knotted in China from 100% New Zealand wool and quality Chinese silk.		1 Year
10	DESERT GABBEH COLLECTION	Made in the tradition of Gabbehs from the foothills of Iran, our Desert Gabbeh collection is hand-knotted in India of 100% wool, but given a modern twist with its warm color palette and designs.		1 Year
11	DELHI COLLECTION	Delhi is exquisitely hand tufted and hand carved by master craftsmen. Made in India of 100% wool, the simplicity, elegance, and beauty of this fine collection is truly unique.1 Year
12	DREAM COLLECTION	Elegant damask, soft geometrics and abstract elements combine for a beautiful transitional collection. Dream is power-loomed of the softest polypropylene and features a drop-stitch technique which adds depth and texture. Machine-finished.		1 Year
13	ENCORE COLLECTION	Exquisite old world designs presented in monochromatic color stories, Encore suites the desires of the new traditionalists.  Featuring a well-crafted one million point machine-made quality, Encore adds richness and warmth elevating any sophisticatedenvironment.  Made in Egypt, 100% polypropylene fibers.		1 Year
14	ELEMENTS COLLECTION	Capturing all that is modern, Elements utilizes a brilliant color palette to enhance its contemporary edge. Power loomed of 100% New Zealand wool, each rug features a hand made finish consisting of hand-serged edges and hand-carving. It is this attetion to detail that makes this collection truly unique.		1 Year
15	GRAMERCY COLLECTION	Gramercy is collection of open-backed hand-loomed rugs which carry the look of higher-end hand-knotted pieces, with casual appeal. Earth and muted tones in simple designs give this collection its unique look. Hand-loomed in India of 100% wool.		1 Year
16	HARMONY COLLECTION	Harmony is a beautifully hand tufted in China from 100% fine subtle wool. Hand carving enhances the details in the beautiful floral and transitional designs. The 100% wool used in this collection gives it an incomparable sheen.		1 Year
17	HABITAT COLLECTION	Habitat features a globally inspired blend of influences, from Ikat, Uzbek Suzani and indigenous craftsman styles. Hand-tufted by expert artisans that encompasses an organic texture and feel.  Made of 100% wool fiber, featuring a hard twist construcion, this exquisite collection embraces a fashion-forward color palette exhibiting ethnic and nomadic motifs.		1 Year
18	HUDSON COLLECTION	Inspired by the sleekest city loft, Hudson is loom-knotted of a rich blend of wool and viscose in a muted color palette, making it utterly urban chic.		1 Year
19	IMPERIAL COURT COLLECTION	Inspired by the royal courts of China, Persia and Europe, Imperial Court is a beautiful collection of traditional imagery with a modern feel. Hand-tufted of 100% over-twisted wool, Imperial Court utilizes a muted color palette giving it an antique fnish.		1 Year
20	INNOVATIONS COLLECTION	Named for its innovative approach to contemporary, Innovations is hand-tufted of the softest mod-acrylic, and is then hand-carved for a unique finish. Bright colors and modern designs, make this collection truly exceptional.	http://momeni.s3.amazonaws.com/ROOM%20SHOTS/IN-01BLK.png	1 Year
21	IMPRESSIONS COLLECTION	The Impressionist style of painting was influenced by nature, light and scenes from daily life; these rugs capture these elements in a hand-tufted construction that makes these pieces modern masterpieces. Impressions utilizes 100% wool in a warm colr palette that evokes a landscape at sunset. Beautiful in its simplicity, this collection will become art for your floor.		1 Year
22	KOI COLLECTION	East meets west in this beautiful collection of hand-tufted wool rugs. Bold designs and contemporary colors enhance the Chinese characters and Asian elements featured in this group. Hand carving adds depth. Made of 100% wool.		1 Year
