manufacturers_id	color_name	color_image_url	color_category
1	Natural 	http://mullican.s3.amazonaws.com/images/St. Andrews Red Oak Natural.jpg	Mannington Custom
1	Stirrup 	http://mullican.s3.amazonaws.com/images/St.-Andrews-Oak-Stirrup.jpg	Mannington Custom
2	Natural 	http://mullican.s3.amazonaws.com/images/St. Andrews Red Oak Natural.jpg	Mannington Custom
2	Gunstock 	http://mullican.s3.amazonaws.com/images/St.-Andrews-Oak-Gunstock.jpg	Mannington Custom
2	Saddle 	http://mullican.s3.amazonaws.com/images/St.-Andrews-Oak-Saddle.jpg	Mannington Custom
2	Dark Chocolate 	http://mullican.s3.amazonaws.com/images/St.-Andrews-Oak-Dark-Chocolate.jpg	Mannington Custom
2	Caramel 	http://mullican.s3.amazonaws.com/images/St. Andrews Oak Caramel.jpg	Mannington Custom
2	Butterscotch 	http://mullican.s3.amazonaws.com/images/St.-Andrews-Oak-Butterscotch.jpg	Mannington Custom
2	Stirrup 	http://mullican.s3.amazonaws.com/images/St.-Andrews-Oak-Stirrup.jpg	Mannington Custom
2	Merlot 	http://mullican.s3.amazonaws.com/images/St. Andrews Oak Merlot.jpg	Mannington Custom
3	Nature	http://mullican.s3.amazonaws.com/images/NATUREREDOAK.jpg	Mannington Custom
3	Nature 	http://mullican.s3.amazonaws.com/images/NATUREREDOAK.jpg	Mannington Custom
3	Nature	http://mullican.s3.amazonaws.com/images/NATUREWHITEOAK.jpg	Mannington Custom
3	Nature 	http://mullican.s3.amazonaws.com/images/NATUREWHITEOAK.jpg	Mannington Custom
3	Nature	http://mullican.s3.amazonaws.com/images/NATUREHICKORY.jpg	Mannington Custom
3	Nature	http://mullican.s3.amazonaws.com/images/NATUREMAPLE.jpg	Mannington Custom
4	Autumn 	http://mullican.s3.amazonaws.com/images/Chatelaine-Maple-Autumn.jpg	Mannington Custom
4	Golden 	http://mullican.s3.amazonaws.com/images/Chatelaine-Maple-Golden.jpg	Mannington Custom
4	Provincial 	http://mullican.s3.amazonaws.com/images/Chatelaine-Hickory-Provincial.jpg	Mannington Custom
4	Cappuccino	http://mullican.s3.amazonaws.com/images/Chatelaine-Maple-Cappuccino.jpg	Mannington Custom
4	Sundance 	http://mullican.s3.amazonaws.com/images/Chatelaine-Hickory-Sundance.jpg	Mannington Custom
6	Saddle 	http://mullican.s3.amazonaws.com/images/Knob Creek HS Oak Saddle.jpg	Mannington Custom
6	Coffee 	http://mullican.s3.amazonaws.com/images/Knob Creek HS Oak Coffee.jpg	Mannington Custom
6	Gunstock 	http://mullican.s3.amazonaws.com/images/Knob Creek HS Oak Gunstock.jpg	Mannington Custom
