manufacturers_id	style_name
1	HGTV
2	Queen
3	Philadelphia Commercial
4	HGTV
5	Queen
6	Tuftex
7	Queen
8	Queen
9	HGTV
10	Philadelphia Commercial
11	Queen Commercial
12	Inside Out
13	Tuftex
14	Tuftex
15	Philadelphia Commercial
16	HGTV
17	Tuftex
18	Philadelphia Commercial
19	Queen
20	Kathy Ireland
21	Queen
22	Kathy Ireland
23	Tuftex
24	Queen Commercial
25	Kathy Ireland
26	Tuftex
27	Kathy Ireland
28	Inside Out
29	Queen Commercial
30	Inside Out
31	HGTV
32	Tuftex
33	Queen
34	Philadelphia Commercial
35	Tuftex
36	Queen
37	Queen
38	HGTV
39	HGTV
40	Queen
41	Queen
42	Philadelphia Commercial
43	Philadelphia Commercial
44	Kathy Ireland
45	Kathy Ireland
46	HGTV
47	Philadelphia Commercial
48	Philadelphia Commercial
49	Queen Commercial
50	Kathy Ireland
51	Tuftex
52	Queen
53	Shawmark
54	Queen
55	Kathy Ireland
56	HGTV
57	Tuftex
58	HGTV
59	Queen
60	Philadelphia Commercial
61	HGTV
62	Queen
63	Tuftex
64	Queen
65	Philadelphia Commercial
66	Philadelphia Commercial
67	Queen
68	Kathy Ireland
69	HGTV
70	Queen
71	Tuftex
72	Queen
73	Queen
74	Tuftex
75	Kathy Ireland
76	Kathy Ireland
77	Queen
78	Tuftex
79	Queen Commercial
80	HGTV
81	
82	Inside Out
83	Tuftex
84	Queen
85	Queen
86	Tuftex
87	Philadelphia Commercial
88	Tuftex
89	Inside Out
90	Inside Out
91	Kathy Ireland
92	Tuftex
93	Queen Commercial
94	Queen
95	Queen
96	Inside Out
97	Queen Commercial
98	Kathy Ireland
99	Tuftex
100	Queen
101	Tuftex
102	Kathy Ireland
103	Tuftex
104	Tuftex
105	Philadelphia Commercial
106	Queen
107	Kathy Ireland
108	HGTV
109	Queen
110	Philadelphia Commercial
111	Philadelphia Commercial
112	Inside Out
113	Kathy Ireland
114	Queen
115	Tuftex
116	HGTV
117	Queen
118	Queen
119	Kathy Ireland
120	Kathy Ireland
121	HGTV
122	Kathy Ireland
123	Philadelphia Commercial
124	Philadelphia Commercial
125	Tuftex
126	Queen Commercial
127	Shaw Design Center
128	Queen Commercial
129	Queen
130	Kathy Ireland
131	Queen
132	Queen
133	Queen
134	Kathy Ireland
135	Queen
136	HGTV
137	Kathy Ireland
138	Kathy Ireland
139	Kathy Ireland
140	Inside Out
141	Tuftex
142	HGTV
143	HGTV
144	Queen
145	Philadelphia Commercial
146	Tuftex
147	HGTV
148	Queen
149	Queen
150	Inside Out
151	Queen
152	Queen
153	Kathy Ireland
154	Inside Out
155	Philadelphia Commercial
156	Queen
157	Kathy Ireland
158	Philadelphia Commercial
159	Queen Commercial
160	Shaw Design Center
161	Queen
162	Tuftex
163	Tuftex
164	HGTV
165	HGTV
166	Tuftex
167	Kathy Ireland
168	Philadelphia Commercial
169	HGTV
170	HGTV
171	Philadelphia Commercial
172	Kathy Ireland
173	Tuftex
174	HGTV
175	Queen
176	Kathy Ireland
177	Tuftex
178	HGTV
179	Kathy Ireland
180	Queen
181	Queen Commercial
182	Kathy Ireland
183	HGTV
184	
185	Queen
186	Kathy Ireland
187	Queen
188	HGTV
189	Queen
190	Queen
191	Philadelphia Commercial
192	HGTV
193	Philadelphia Commercial
194	Queen
195	Tuftex
196	Kathy Ireland
197	Philadelphia Commercial
198	Queen
199	Tuftex
200	Kathy Ireland
201	Kathy Ireland
202	
203	Queen Commercial
204	Tuftex
205	HGTV
206	Tuftex
207	Philadelphia Commercial
208	Queen
209	Philadelphia Commercial
210	Queen
211	Queen
212	Inside Out
213	Shawmark
214	Queen
215	Queen
216	Queen
217	Queen
218	HGTV
219	Philadelphia Commercial
220	Queen
221	Shaw Design Center
222	HGTV
223	Kathy Ireland
224	Queen
225	HGTV
226	Kathy Ireland
227	Queen
228	Kathy Ireland
229	Tuftex
230	Tuftex
231	HGTV
232	Philadelphia Commercial
233	Queen
234	HGTV
235	Kathy Ireland
236	Queen Commercial
237	Queen
238	Philadelphia Commercial
239	Tuftex
240	Kathy Ireland
241	HGTV
242	Philadelphia Commercial
243	Queen
244	Queen
245	Inside Out
246	Queen
247	Queen
248	Queen
249	Queen Commercial
250	HGTV
251	Queen
252	Kathy Ireland
253	Philadelphia Commercial
254	HGTV
255	Inside Out
256	Philadelphia Commercial
257	Shawmark
258	HGTV
259	Philadelphia Commercial
260	Kathy Ireland
261	Inside Out
262	Queen
263	Queen
264	Inside Out
265	Shawmark
266	Philadelphia Commercial
267	Queen
268	Queen
269	Queen
270	Philadelphia Commercial
271	Queen Commercial
272	Queen
273	Philadelphia Commercial
274	Kathy Ireland
275	Inside Out
276	Philadelphia Commercial
277	Queen
278	Queen
279	Kathy Ireland
280	Inside Out
281	Kathy Ireland
282	Queen Commercial
283	Kathy Ireland
284	Philadelphia Commercial
285	Queen
286	Queen
287	Queen
288	Kathy Ireland
289	Inside Out
290	
291	HGTV
292	Philadelphia Commercial
293	Shaw Design Center
294	Inside Out
295	Inside Out
296	Philadelphia Commercial
297	Queen
298	Kathy Ireland
299	HGTV
300	Queen
301	Inside Out
302	HGTV
