brand	manufacturers_id	name	description	room_image_url	fiber	texture	warranty
Shaw	1	Playful Spirit	A delightful mini-shag in solid colors.  It's as playful shag...but a bit more conservative.	http://s7.shawimg.com/ir/render/ShawIndustriesRender/201108Bedroom_12_vignette?wid=630&obj=floors&src=is{ShawIndustriesRender/TV154_00701_MAIN}&res=18&sharp=2&op_sharpen=1	100% Nylon	HGTV	Shaw's Residential Carpet Fiber Hierarchy makes our warranties easy to understand, and, even more importantly, easy to compare. We have three residential fiber brands that support the Shaw brand: Anso Nylon, EverTouch Nylon, and ClearTouch PET Polyester. Each brand includes exclusive features and benefits. Please refer to our Tips, Trends, & Care section for a complete list of warranties.
Shaw	2	Tremont	Order a Sample Today!	http://s7.shawimg.com/ir/render/ShawIndustriesRender/201108Bedroom_12_vignette?wid=630&obj=floors&src=is{ShawIndustriesRender/Q1363_00800_MAIN}&res=18&sharp=2&op_sharpen=1	100% Nylon	Queen	Shaw's Residential Carpet Fiber Hierarchy makes our warranties easy to understand, and, even more importantly, easy to compare. We have three residential fiber brands that support the Shaw brand: Anso Nylon, EverTouch Nylon, and ClearTouch PET Polyester. Each brand includes exclusive features and benefits. Please refer to our Tips, Trends, & Care section for a complete list of warranties.
Shaw	3	Capital III Tile		http://s7.shawimg.com/ir/render/ShawIndustriesRender/CommercialVignette_cropUpd?wid=630&obj=floors&src=is{ShawIndustriesRender/54480_80301_MAIN}&res=18&sharp=2&op_sharpen=1	100% Nylon	Philadelphia Commercial	Shaw's Residential Carpet Fiber Hierarchy makes our warranties easy to understand, and, even more importantly, easy to compare. We have three residential fiber brands that support the Shaw brand: Anso Nylon, EverTouch Nylon, and ClearTouch PET Polyester. Each brand includes exclusive features and benefits. Please refer to our Tips, Trends, & Care section for a complete list of warranties.
Shaw	4	Stylish Texture I 12'	Elegant softness in a strong, dense texture.  Fifty lustrous colors--the same palette as coordinate Stylish Twist.	http://s7.shawimg.com/ir/render/ShawIndustriesRender/201108Bedroom_12_vignette?wid=630&obj=floors&src=is{ShawIndustriesRender/TV155_00222_MAIN}&res=18&sharp=2&op_sharpen=1	100% Nylon	HGTV	Shaw's Residential Carpet Fiber Hierarchy makes our warranties easy to understand, and, even more importantly, easy to compare. We have three residential fiber brands that support the Shaw brand: Anso Nylon, EverTouch Nylon, and ClearTouch PET Polyester. Each brand includes exclusive features and benefits. Please refer to our Tips, Trends, & Care section for a complete list of warranties.
Shaw	5	Katelynne's Kourt	Beautiful effects in this patterned carpet	http://s7.shawimg.com/ir/render/ShawIndustriesRender/201108Bedroom_12_vignette?wid=630&obj=floors&src=is{ShawIndustriesRender/Q1487_00100_MAIN}&res=18&sharp=2&op_sharpen=1	100% Nylon	Queen	Shaw's Residential Carpet Fiber Hierarchy makes our warranties easy to understand, and, even more importantly, easy to compare. We have three residential fiber brands that support the Shaw brand: Anso Nylon, EverTouch Nylon, and ClearTouch PET Polyester. Each brand includes exclusive features and benefits. Please refer to our Tips, Trends, & Care section for a complete list of warranties.
Shaw	6	Paso Robles		http://s7.shawimg.com/ir/render/ShawIndustriesRender/201108Bedroom_12_vignette?wid=630&obj=floors&src=is{ShawIndustriesRender/ZT810_00969_MAIN}&res=18&sharp=2&op_sharpen=1	100% Nylon	TufteShaw's Residential Carpet Fiber Hierarchy makes our warranties easy to understand, and, even more importantly, easy to compare. We have three residential fiber brands that support the Shaw brand: Anso Nylon, EverTouch Nylon, and ClearTouch PET Polyester. Each brand includes exclusive features and benefits. Please refer to our Tips, Trends, & Care section for a complete list of warranties.
Shaw	7	Mareno Valley II		http://s7.shawimg.com/ir/render/ShawIndustriesRender/201108Bedroom_12_vignette?wid=630&obj=floors&src=is{ShawIndustriesRender/52Y35_00460_MAIN}&res=18&sharp=2&op_sharpen=1	100% Pet Polyester	Queen	Shaw's Residential Carpet Fiber Hierarchy makes our warranties easy to understand, and, even more importantly, easy to compare. We have three residential fiber brands that support the Shaw brand: Anso Nylon, EverTouch Nylon, and ClearTouch PET Polyester. Each brand includes exclusive features and benefits. Please refer to our Tips, Trends, & Care section for a complete list of warranties.
Shaw	8	Lavish Lane		http://s7.shawimg.com/ir/render/ShawIndustriesRender/201108Bedroom_12_vignette?wid=630&obj=floors&src=is{ShawIndustriesRender/Q1493_00351_MAIN}&res=18&sharp=2&op_sharpen=1	100% Nylon	QueenShaw's Residential Carpet Fiber Hierarchy makes our warranties easy to understand, and, even more importantly, easy to compare. We have three residential fiber brands that support the Shaw brand: Anso Nylon, EverTouch Nylon, and ClearTouch PET Polyester. Each brand includes exclusive features and benefits. Please refer to our Tips, Trends, & Care section for a complete list of warranties.
Shaw	9	Stylish Texture II 12	Elegant softness in a strong, dense texture. 50 lustrous colors—the same palette as coordinate Stylish Twist.	http://s7.shawimg.com/ir/render/ShawIndustriesRender/201108Bedroom_12_vignette?wid=630&obj=floors&src=is{ShawIndustriesRender/TV169_00122_MAIN}&res=18&sharp=2&op_sharpen=1	100% Nylon	HGTV	Shaw's Residential Carpet Fiber Hierarchy makes our warranties easy to understand, and, even more importantly, easy to compare. We have three residential fiber brands that support the Shaw brand: Anso Nylon, EverTouch Nylon, and ClearTouch PET Polyester. Each brand includes exclusive features and benefits. Please refer to our Tips, Trends, & Care section for a complete list of warranties.
Shaw	10	Sound Advice Tile		http://s7.shawimg.com/ir/render/ShawIndustriesRender/CommercialVignette_cropUpd?wid=630&obj=floors&src=is{ShawIndustriesRender/54488_88400_MAIN}&res=18&sharp=2&op_sharpen=1	100% Nylon	Philadelphia Commercial	Shaw's Residential Carpet Fiber Hierarchy makes our warranties easy to understand, and, even more importantly, easy to compare. We have three residential fiber brands that support the Shaw brand: Anso Nylon, EverTouch Nylon, and ClearTouch PET Polyester. Each brand includes exclusive features and benefits. Please refer to our Tips, Trends, & Care section for a complete list of warranties.
Shaw	11	Ripple Effect		http://s7.shawimg.com/ir/render/ShawIndustriesRender/CommercialVignette_cropUpd?wid=630&obj=floors&src=is{ShawIndustriesRender/J0116_00801_MAIN}&res=18&sharp=2&op_sharpen=1	100% Nylon	Queen Commercial	Shaw's Residential Carpet Fiber Hierarchy makes our warranties easy to understand, and, even more importantly, easy to compare. We have three residential fiber brands that support the Shaw brand: Anso Nylon, EverTouch Nylon, and ClearTouch PET Polyester. Each brand includes exclusive features and benefits. Please refer to our Tips, Trends, & Care section for a complete list of warranties.
