manufacturers_id	style_name
1	Tile & Stone
2	Tile & Stone
3	Tile & Stone
4	Tile & Stone
5	Tile & Stone
6	Tile & Stone
7	Tile & Stone
8	Tile & Stone
9	Tile & Stone
10	Tile & Stone
11	Tile & Stone
12	Tile & Stone
13	Tile & Stone
14	Tile & Stone
15	Tile & Stone
16	Tile & Stone
17	Tile & Stone
18	Tile & Stone
19	Tile & Stone
20	Tile & Stone
21	Tile & Stone
22	Tile & Stone
23	Tile & Stone
24	Tile & Stone
25	Tile & Stone
26	Tile & Stone
27	Tile & Stone
28	Tile & Stone
29	Tile & Stone
30	Tile & Stone
31	Tile & Stone
32	Tile & Stone
33	Tile & Stone
34	Tile & Stone
35	Tile & Stone
36	Tile & Stone
37	Tile & Stone
38	Tile & Stone
39	Tile & Stone
40	Tile & Stone
41	Tile & Stone
42	Tile & Stone
43	Tile & Stone
44	Tile & Stone
45	Tile & Stone
46	Tile & Stone
47	Tile & Stone
48	Tile & Stone
49	Tile & Stone
50	Tile & Stone
51	Tile & Stone
52	Tile & Stone
53	Tile & Stone
54	Tile & Stone
55	Tile & Stone
56	Tile & Stone
57	Tile & Stone
58	Tile & Stone
59	Tile & Stone
60	Tile & Stone
61	Tile & Stone
62	Tile & Stone
63	Tile & Stone
64	Tile & Stone
65	Tile & Stone
66	Tile & Stone
67	Tile & Stone
68	Tile & Stone
69	Tile & Stone
70	Tile & Stone
71	Tile & Stone
72	Tile & Stone
73	Tile & Stone
74	Tile & Stone
75	Tile & Stone
76	Tile & Stone
77	Tile & Stone
78	Tile & Stone
79	Tile & Stone
80	Tile & Stone
81	Tile & Stone
82	Tile & Stone
83	Tile & Stone
84	Tile & Stone
85	Tile & Stone
86	Tile & Stone
87	Tile & Stone
88	Tile & Stone
89	Tile & Stone
90	Tile & Stone
91	Tile & Stone
92	Tile & Stone
93	Tile & Stone
94	Tile & Stone
95	Tile & Stone
96	Tile & Stone
97	Tile & Stone
98	Tile & Stone
99	Tile & Stone
100	Tile & Stone
101	Tile & Stone
102	Tile & Stone
103	Tile & Stone
104	Tile & Stone
105	Tile & Stone
106	Tile & Stone
107	Tile & Stone
108	Tile & Stone
109	Tile & Stone
110	Tile & Stone
111	Tile & Stone
112	Tile & Stone
113	Tile & Stone
114	Tile & Stone
115	Tile & Stone
116	Tile & Stone
117	Tile & Stone
118	Tile & Stone
119	Tile & Stone
120	Tile & Stone
121	Tile & Stone
122	Tile & Stone
123	Tile & Stone
124	Tile & Stone
125	Tile & Stone
126	Tile & Stone
127	Tile & Stone
128	Tile & Stone
129	Tile & Stone
130	Tile & Stone
131	Tile & Stone
132	Tile & Stone
133	Tile & Stone
134	Tile & Stone
135	Tile & Stone
136	Tile & Stone
137	Tile & Stone
138	Tile & Stone
139	Tile & Stone
140	Tile & Stone
141	Tile & Stone
142	Tile & Stone
143	Tile & Stone
144	Tile & Stone
145	Tile & Stone
146	Tile & Stone
147	Tile & Stone
148	Tile & Stone
149	Tile & Stone
150	Tile & Stone
151	Hardwood
152	Hardwood
153	Hardwood
154	Hardwood
155	Hardwood
156	Hardwood
157	Hardwood
158	Hardwood
159	Hardwood
160	Hardwood
161	Hardwood
162	Hardwood
163	Hardwood
164	Hardwood
165	Hardwood
166	Hardwood
167	Hardwood
168	Hardwood
169	Hardwood
170	Hardwood
171	Hardwood
172	Hardwood
173	Hardwood
174	Hardwood
175	Hardwood
176	Hardwood
177	Hardwood
178	Hardwood
179	Hardwood
180	Hardwood
181	Hardwood
182	Hardwood
183	Hardwood
184	Hardwood
185	Hardwood
186	Hardwood
187	Hardwood
188	Hardwood
189	Hardwood
190	Hardwood
191	Hardwood
192	Hardwood
193	Hardwood
194	Hardwood
195	Hardwood
196	Hardwood
197	Hardwood
198	Hardwood
199	Hardwood
200	Hardwood
201	Hardwood
202	Hardwood
203	Hardwood
204	Hardwood
205	Hardwood
206	Hardwood
207	Hardwood
208	Hardwood
209	Hardwood
210	Hardwood
211	Hardwood
212	Hardwood
213	Hardwood
214	Hardwood
215	Hardwood
216	Hardwood
217	Hardwood
218	Hardwood
219	Hardwood
220	Hardwood
221	Hardwood
222	Hardwood
223	Hardwood
224	Hardwood
225	Hardwood
226	Hardwood
227	Hardwood
228	Hardwood
229	Hardwood
230	Hardwood
231	Hardwood
232	Hardwood
233	Hardwood
234	Hardwood
235	Hardwood
236	Hardwood
237	Hardwood
238	Hardwood
239	Hardwood
240	Hardwood
241	Hardwood
242	Hardwood
243	Hardwood
244	Hardwood
245	Laminate
246	Laminate
247	Laminate
248	Laminate
249	Laminate
250	Laminate
251	Laminate
252	Laminate
253	Laminate
254	Laminate
255	Laminate
256	Laminate
257	Laminate
258	Laminate
259	Laminate
260	Laminate
261	Laminate
262	Laminate
263	Laminate
264	Laminate
265	Laminate
266	Laminate
267	Laminate
268	Laminate
269	Laminate
270	Laminate
271	Laminate
272	Laminate
273	Laminate
274	Laminate
275	Laminate
276	Laminate
277	Laminate
278	Laminate
