manufacturers_id	color_category	color_name
1	Shaw Custom	Laurel	
2	Shaw Custom	Lancaster	
3	Shaw Custom	Astoria	
4	Shaw Custom	Lenox	
5	Shaw Custom	Arabella	
6	Shaw Custom	Stained Glass	
7	Shaw Custom	Glass Block	
8	Shaw Custom	Cosmic	
9	Shaw Custom	Cocktail	
10	Shaw Custom	Florabundance	
11	Shaw Custom	Disco	
12	Shaw Custom	Palm Patches	
13	Shaw Custom	November	
14	Shaw Custom	Forest	
15	Shaw Custom	Provencal	
16	Shaw Custom	Mirabella	
17	Shaw Custom	Legacy	
18	Shaw Custom	Modern Art	
19	Shaw Custom	Royal Retreat	
20	Shaw Custom	El Paso	
21	Shaw Custom	Garden Fantasy	
22	Shaw Custom	Lucidity	
23	Shaw Custom	Affinity II	
24	Shaw Custom	Bravo	
25	Shaw Custom	Tapestry	
26	Shaw Custom	Soho	
27	Shaw Custom	Izzy	
28	Shaw Custom	Infinity	
29	Shaw Custom	Leaves a Plenty	
30	Shaw Custom	Tribeca	
31	Shaw Custom	Giselle	
32	Shaw Custom	Ornament	
33	Shaw Custom	Storm	
34	Shaw Custom	Maple	
35	Shaw Custom	Kendi	
36	Shaw Custom	Posh	
37	Shaw Custom	French Countryside	
38	Shaw Custom	Symphony	
39	Shaw Custom	Forever In Plaid	
40	Shaw Custom	Merry Christmas	
41	Shaw Custom	Janis	
42	Shaw Custom	Sheridan	
43	Shaw Custom	Clearwater Cove	
44	Shaw Custom	Thai	
45	Shaw Custom	a Stitch In Time	
46	Shaw Custom	Phoenix	
47	Shaw Custom	Asian Enchantment	
48	Shaw Custom	Regency	
49	Shaw Custom	Zing Garden	
50	Shaw Custom	Jewels	
51	Shaw Custom	Gillian	
52	Shaw Custom	Midnight Savanna	
53	Shaw Custom	Dashing Thru the Night	
54	Shaw Custom	Corsica	
55	Shaw Custom	Stratosphere	
56	Shaw Custom	Squared Away	
57	Shaw Custom	Mission	
58	Shaw Custom	Granite	
59	Shaw Custom	Vermont Meadow	
60	Shaw Custom	Mirabella Shag	
61	Shaw Custom	Beachcomber Bliss	
62	Shaw Custom	Englewood	
63	Shaw Custom	Marco	
64	Shaw Custom	Meadow Flowers	
