manufacturers_id	style_name
1	Transitional
2	Traditional
3	Transitional
4	Traditional
5	Transitional
6	Transitional
7	Contemporary-modern
8	Contemporary-modern
9	Contemporary-modern
10	Transitional
11	Contemporary-modern
12	Transitional
13	Transitional
14	Transitional
15	Traditional
16	Traditional
17	Contemporary-modern
18	Contemporary-modern
19	Transitional
20	Southwestern
21	Traditional
22	Contemporary-modern
23	Transitional
24	Transitional
25	Contemporary-modern
26	Contemporary-modern
27	Contemporary-modern
28	Kids
29	Transitional
30	Contemporary-modern
31	Transitional
32	Contemporary-modern
33	Southwestern
34	Transitional
35	Contemporary-modern
36	Contemporary-modern
37	Traditional
38	Contemporary-modern
39	Traditional
40	Novelty
41	Transitional
42	Traditional
43	Southwestern
44	Transitional
45	Contemporary-modern
46	Southwestern
47	Traditional
48	Traditional
49	Contemporary-modern
50	Contemporary-modern
51	Transitional
52	Contemporary-modern
53	Novelty
54	Contemporary-modern
55	Contemporary-modern
56	Transitional
57	Transitional
58	Contemporary-modern
59	Contemporary-modern
60	Transitional
61	Floral
62	Southwestern
63	Contemporary-modern
64	Traditional
65	Transitional
66	Transitional
67	Transitional
68	Contemporary-modern
69	Transitional
70	Contemporary-modern
71	Traditional
72	Contemporary-modern
73	Traditional
74	Transitional
75	Contemporary-modern
76	Transitional
77	Traditional
78	Novelty
79	Contemporary-modern
80	Contemporary-modern
81	Transitional
82	Traditional
83	Novelty
84	Transitional
85	Contemporary-modern
86	Transitional
87	Transitional
88	Novelty
89	Contemporary-modern
90	Contemporary-modern
91	Contemporary-modern
92	Transitional
93	Contemporary-modern
94	Traditional
95	Southwestern
96	Transitional
97	Transitional
98	Transitional
99	Contemporary-modern
100	Transitional
101	Transitional
102	Contemporary-modern
103	Traditional
104	Contemporary-modern
105	Traditional
106	Transitional
107	Transitional
108	Contemporary-modern
109	Transitional
110	Transitional
111	Transitional
112	Transitional
113	Southwestern
114	Contemporary-modern
115	Transitional
116	Floral
117	Contemporary-modern
118	Novelty
119	Traditional
120	Traditional
121	Transitional
122	Contemporary-modern
123	Transitional
124	Traditional
125	Novelty
126	Contemporary-modern
127	Traditional
128	Southwestern
129	Transitional
130	Transitional
131	Transitional
132	Traditional
133	Southwestern
134	Transitional
135	Contemporary-modern
136	Coastal
137	Southwestern
138	Floral
139	Novelty
140	Traditional
141	Traditional
142	Transitional
143	Transitional
144	Contemporary-modern
145	Kids
146	Floral
147	Traditional
148	Traditional
149	Traditional
150	Transitional
151	Contemporary-modern
152	Traditional
153	Contemporary-modern
154	Traditional
155	Traditional
156	Contemporary-modern
157	Traditional
158	Transitional
159	Contemporary-modern
160	Contemporary-modern
161	Transitional
162	Contemporary-modern
163	Traditional
164	Contemporary-modern
165	Transitional
166	Transitional
167	Contemporary-modern
168	Transitional
169	Traditional
170	Transitional
171	Transitional
172	Transitional
173	Transitional
174	Transitional
175	Contemporary-modern
176	Contemporary-modern
177	Transitional
178	Traditional
179	Contemporary-modern
180	Contemporary-modern
181	Transitional
182	Traditional
183	Transitional
184	Contemporary-modern
185	Contemporary-modern
186	Transitional
187	Floral
188	Traditional
189	Transitional
190	Transitional
191	Southwestern
192	Transitional
192	Traditional
193	Transitional
194	Contemporary-modern
195	Transitional
196	Novelty
197	Transitional
198	Contemporary-modern
199	Novelty
200	Traditional
201	Traditional
202	Transitional
203	Kids
204	Traditional
205	Contemporary-modern
206	Southwestern
207	Transitional
208	Transitional
209	Novelty
210	Contemporary-modern
211	Transitional
212	Contemporary-modern
213	Contemporary-modern
214	Transitional
215	Contemporary-modern
216	Traditional
217	Contemporary-modern
218	Transitional
219	Traditional
220	Contemporary-modern
221	Traditional
222	Contemporary-modern
223	Transitional
224	Novelty
225	Contemporary-modern
226	Transitional
227	Contemporary-modern
228	Southwestern
229	Contemporary-modern
230	Traditional
231	Contemporary-modern
232	Transitional
233	Contemporary-modern
234	Novelty
235	Novelty
236	Transitional
237	Traditional
238	Traditional
239	Floral
240	Transitional
241	Transitional
242	Transitional
243	Transitional
244	Kids
245	Transitional
246	Traditional
247	Traditional
248	Transitional
249	Contemporary-modern
250	Transitional
251	Traditional
252	Transitional
253	Transitional
254	Traditional
255	Contemporary-modern
256	Traditional
257	Traditional
258	Traditional
259	Transitional
260	Transitional
261	Contemporary-modern
262	Transitional
263	Contemporary-modern
264	Traditional
265	Contemporary-modern
266	Contemporary-modern
267	Kids
268	Transitional
269	Southwestern
270	Traditional
271	Contemporary-modern
272	Contemporary-modern
273	Transitional
274	Transitional
275	Novelty
276	Contemporary-modern
277	Traditional
278	Novelty
279	Contemporary-modern
280	Traditional
281	Contemporary-modern
282	Contemporary-modern
283	Traditional
284	Floral
285	Contemporary-modern
286	Contemporary-modern
287	Contemporary-modern
288	Transitional
289	Contemporary-modern
290	Transitional
291	Contemporary-modern
292	Traditional
293	Contemporary-modern
294	Traditional
295	Contemporary-modern
296	Contemporary-modern
297	Traditional
298	Contemporary-modern
299	Transitional
300	Novelty
301	Traditional
302	Transitional
303	Transitional
304	Transitional
305	Contemporary-modern
306	Contemporary-modern
307	Novelty
308	Contemporary-modern
309	Transitional
310	Transitional
311	Contemporary-modern
312	Southwestern
313	Contemporary-modern
314	Novelty
315	Traditional
316	Transitional
317	Transitional
318	Floral
319	Traditional
320	Contemporary-modern
321	Traditional
322	Transitional
323	Floral
324	Transitional
325	Contemporary-modern
326	Novelty
327	Novelty
328	Novelty
329	Transitional
330	Kids
331	Transitional
332	Traditional
333	Transitional
334	Traditional
335	Contemporary-modern
336	Kids
337	Traditional
338	Traditional
339	Transitional
340	Transitional
341	Floral
342	Kids
343	Contemporary-modern
344	Floral
345	Transitional
346	Floral
347	Traditional
348	Traditional
349	Novelty
350	Contemporary-modern
351	Contemporary-modern
352	Traditional
353	Transitional
354	Transitional
355	Novelty
356	Contemporary-modern
357	Transitional
358	Traditional
359	Traditional
360	Contemporary-modern
361	Contemporary-modern
362	Transitional
363	Floral
364	Traditional
365	Contemporary-modern
366	Transitional
367	Contemporary-modern
368	Contemporary-modern
369	Transitional
370	Contemporary-modern
371	Contemporary-modern
372	Floral
373	Traditional
374	Transitional
375	Contemporary-modern
376	Contemporary-modern
377	Southwestern
378	Transitional
379	Transitional
380	Transitional
381	Contemporary-modern
382	Contemporary-modern
383	Traditional
384	Contemporary-modern
385	Contemporary-modern
386	Transitional
387	Novelty
388	Contemporary-modern
389	Traditional
390	Novelty
391	Kids
392	Transitional
393	Contemporary-modern
394	Traditional
395	Transitional
396	Contemporary-modern
397	Transitional
398	Contemporary-modern
399	Contemporary-modern
400	Novelty
401	Novelty
402	Transitional
403	Transitional
404	Contemporary-modern
405	Contemporary-modern
406	Traditional
407	Transitional
408	Contemporary-modern
409	Transitional
410	Transitional
411	Transitional
412	Transitional
413	Contemporary-modern
414	Transitional
415	Contemporary-modern
416	Contemporary-modern
417	Contemporary-modern
418	Transitional
419	Transitional
420	Contemporary-modern
421	Transitional
422	Transitional
423	Traditional
424	Southwestern
425	Traditional
426	Contemporary-modern
427	Transitional
428	Floral
429	Transitional
430	Transitional
431	Contemporary-modern
432	Traditional
433	Traditional
434	Traditional
435	Contemporary-modern
436	Southwestern
437	Traditional
438	Contemporary-modern
439	Contemporary-modern
440	Transitional
441	Kids
442	Transitional
443	Southwestern
444	Contemporary-modern
445	Transitional
446	Traditional
447	Traditional
448	Southwestern
449	Kids
450	Transitional
451	Traditional
452	Traditional
453	Transitional
454	Contemporary-modern
455	Traditional
456	Traditional
457	Floral
458	Traditional
459	Transitional
460	Southwestern
461	Contemporary-modern
462	Transitional
463	Kids
464	Transitional
465	Novelty
466	Transitional
467	Novelty
468	Novelty
469	Contemporary-modern
470	Transitional
471	Contemporary-modern
472	Contemporary-modern
473	Traditional
474	Contemporary-modern
475	Contemporary-modern
476	Southwestern
477	Southwestern
478	Contemporary-modern
479	Kids
480	Traditional
481	Contemporary-modern
482	Transitional
483	Transitional
484	Transitional
485	Contemporary-modern
486	Contemporary-modern
487	Traditional
488	Contemporary-modern
489	Contemporary-modern
490	Contemporary-modern
491	Transitional
492	Contemporary-modern
493	Southwestern
494	Novelty
495	Coastal
496	Traditional
497	Transitional
498	Novelty
499	Contemporary-modern
500	Transitional
501	Transitional
502	Traditional
503	Contemporary-modern
504	Novelty
505	Contemporary-modern
506	Contemporary-modern
507	Novelty
508	Contemporary-modern
509	Traditional
510	Contemporary-modern
511	Contemporary-modern
512	Contemporary-modern
513	Contemporary-modern
514	Contemporary-modern
515	Traditional
516	Contemporary-modern
517	Transitional
518	Contemporary-modern
519	Transitional
520	Traditional
521	Kids
522	Contemporary-modern
523	Novelty
524	Novelty
525	Transitional
526	Transitional
527	Transitional
528	Contemporary-modern
529	Transitional
530	Novelty
531	Southwestern
532	Contemporary-modern
533	Novelty
534	Kids
535	Novelty
536	Traditional
537	Transitional
538	Transitional
539	Traditional
540	Kids
541	Contemporary-modern
542	Contemporary-modern
543	Kids
544	Contemporary-modern
545	Traditional
546	Contemporary-modern
547	Transitional
548	Transitional
549	Southwestern
550	Contemporary-modern
551	Kids
552	Traditional
553	Contemporary-modern
554	Contemporary-modern
555	Contemporary-modern
556	Novelty
557	Traditional
558	Transitional
559	Traditional
560	Contemporary-modern
561	Transitional
562	Transitional
563	Transitional
564	Traditional
565	Kids
566	Transitional
567	Kids
568	Contemporary-modern
569	Contemporary-modern
570	Transitional
571	Transitional
572	Contemporary-modern
573	Traditional
574	Traditional
575	Contemporary-modern
576	Traditional
577	Traditional
578	Transitional
579	Traditional
580	Transitional
581	Southwestern
582	Novelty
583	Floral
584	Novelty
585	Transitional
586	Transitional
587	Transitional
588	Transitional
589	Floral
590	Transitional
591	Traditional
592	Southwestern
593	Floral
594	Contemporary-modern
595	Contemporary-modern
596	Southwestern
597	Transitional
598	Traditional
599	Novelty
600	Novelty
601	Contemporary-modern
602	Transitional
603	Contemporary-modern
604	Contemporary-modern
605	Southwestern
606	Transitional
607	Contemporary-modern
608	Transitional
609	Traditional
610	Contemporary-modern
611	Traditional
612	Kids
613	Transitional
614	Transitional
615	Transitional
616	Transitional
617	Novelty
618	Kids
619	Southwestern
620	Contemporary-modern
621	Transitional
622	Traditional
623	Contemporary-modern
624	Transitional
625	Transitional
626	Transitional
627	Traditional
628	Floral
629	Transitional
630	Contemporary-modern
631	Transitional
632	Contemporary-modern
633	Transitional
634	Traditional
635	Transitional
636	Transitional
637	Contemporary-modern
638	Transitional
639	Kids
640	Contemporary-modern
641	Traditional
642	Transitional
643	Transitional
644	Contemporary-modern
645	Traditional
646	Contemporary-modern
647	Traditional
648	Transitional
649	Contemporary-modern
650	Southwestern
651	Contemporary-modern
652	Traditional
653	Traditional
654	Transitional
655	Contemporary-modern
656	Contemporary-modern
657	Traditional
658	Transitional
659	Contemporary-modern
660	Transitional
