manufacturers_id	name	description	room_image_url	warranty
1	Laurel	The simple, transitional styles of this collection are designed to be easy to live with. The unique surface effects are achieved by combining a mixture of yarns in each stitch, creating a richly hued, tweeded texture with superior depth and dimension. Machine tufted one stitch at a time in 100% New Zealand wool, each rug is meticulously hand finished for luxurious beauty.  2000 - 2004 Shaw LivinShaw Living offers a one year warranty against manufacturing defects of area rug products.
2	Lancaster	Century is inspired by the elegant styles and timeless colors of centuries past.  Classic Persian Designs are reborn in exquisite detail and woven in the comfort of today's soft, modern olefin yarn.  The new color palette draws inspiration from antiquity with rich reds, warm neutrals, golds, soft greens, and accents of eggplant, brown and vintage blue.  The overall rich patina of this collection ensures beauty and longevity.  2005 Shaw		Shaw Living offers a one year warranty against manufacturing defects of area rug products.
3	Astoria	Woven Expressions is a new and extraordinary broadloom and area rug collection offered by Shaw Floors and the company's rug division, Shaw Living.  The first collaboration between the company's division's that features broadloom as well as coordinating area rugs and offers two levels of luxury, Platinum and Gold.  Both collections are woven of Marquesa Solution Dyed olefin, a synthetic fiber tWoven Expressions Platinum offers 1.5 million points of density per square meter with a color palette that is a modern and sophisticated presentation of mineral inspired hues that consists of Porcelain, Meadow Mist, Sterling (silver blue), Dark Cocoa, Dove (brownish-grey), and Almond.  These muted earth tones create a sense of harmony and tranquility within any space.		Shaw Living offers a one year warranty against manufacturing defects of area rug products.
4	Lenox	Century is inspired by the elegant styles and timeless colors of centuries past.  Classic Persian Designs are reborn in exquisite detail and woven in the comfort of today's soft, modern olefin yarn.  The new color palette draws inspiration from antiquity with rich reds, warm neutrals, golds, soft greens, and accents of eggplant, brown and vintage blue.  The overall rich patina of this collection ensures beauty and longevity.  2005 Shaw		Shaw Living offers a one year warranty against manufacturing defects of area rug products.
5	Arabella	Woven Expressions is a new and extraordinary broadloom and area rug collection offered by Shaw Floors and the company's rug division, Shaw Living.  The first collaboration between the company's division's that features broadloom as well as coordinating area rugs and offers two levels of luxury, Platinum and Gold.  Both collections are woven of Marquesa Solution Dyed olefin, a syntheticWoven Expressions Platinum offers 1.5 million points of density per square meter with a color palette that is a modern and sophisticated presentation of mineral inspired hues that consists of Porcelain, Meadow Mist, Sterling (silver blue), Dark Cocoa, Dove (brownish-grey), and Almond.  These muted earth tones create a sense of harmony and tranquility within any space.		Shaw Living offers a one year warranty against manufacturing defects of area rug products.
6	Stained Glass	The simple, transitional styles of this collection are designed to be easy to live with. The unique surface effects are achieved by combining a mixture of yarns in each stitch, creating a richly hued, tweeded texture with superior depth and dimension. Machine tufted one stitch at a time in 100% New Zealand wool, each rug is meticulously hand finished for luxurious beauty.  2000 - 2004 Shaw Living		Shaw Living offers a one year warranty against manufacturing defects of area rug products.
7	Glass Block	The simple, transitional styles of this collection are designed to be easy to live with. The unique surface effects are achieved by combining a mixture of yarns in each stitch, creating a richly hued, tweeded texture with superior depth and dimension. Machine tufted one stitch at a time in 100% New Zealand wool, each rug is meticulously hand finished for luxurious beauty.  2000 - 2004 Shaw Living		Shaw Living offers a one year warranty against manufacturing defects of area rug products.
8	Cosmic	Transitions is a new collection of unique transitional and contemporary rugs. The inspiring palette features rich reds, warm neutrals, as well as golds, soft greens, and accents of eggplant, brown, and vintage blue. Even greater sparkle and depth are brought to the designs when married with colors like onyx and beige.  Made from machine-woven olefin, Transitions showcases geometric shapes and artistic color combinations, whimsical structures and organic circles, to a contemporary twist on tropical leafs, and coastal patchwork of fanciful fronds.		Shaw Living offers a one year warranty against manufacturing defects of area rug products.
9	Cocktail	Offering a wide assortment of patterns, the Accents collection features a common color palette that blends earthy shades with vibrant jewel tones that's warm, soothing, and inviting. Accents covers the gamut of interior design themes: retro modern looks, organic and nature motifs; Asian and Sante Fe styles; sleek, bold, modern stripes and geometrics; rhythmic transitional images; and classic European and Persian influences. Whether its tropical fronds or a new twist on animal skins, you'll find today's hottest designs. So you can choose traditional or contemporary or anything in between. Machine woven of olefin fiber, the collection has a buttery-soft finish that inherently resists soil and stains and is fade resistant-all of which mean lasting beauty and performance.		Shaw Living offers a one year warranty against manufacturing defects of area rug products.
10	Florabundance	A textural high end wool collection that exemplifies the finest in modern living.  Structure is tufted of 100% New Zealand wool incorporating variable pile heights of shag, loop, and cut together in one rug.  These variable pile heights make it possible to achieve sculpting, carving, organic textures, and dramatic effects of dimension.  Designs are clean, simple, elegant and modern drawing inspiration from nature and contemporary architecture.  Colors include the latest in today's fashion color stories from light and dark neutrals to rich darks with contrasting accents.  Rugs are made to order and made in the USA.		Shaw Living offers a one year warranty against manufacturing defects of area rug products.
11	Disco	Transitions is a new collection of unique transitional and contemporary rugs. The inspiring palette features rich reds, warm neutrals, as well as golds, soft greens, and accents of eggplant, brown, and vintage blue. Even greater sparkle and depth are brought to the designs when married with colors like onyx and beige.  Made from machine-woven olefin, Transitions showcases geometric shapes and artistic color combinations, whimsical structures and organic circles, to a contemporary twist on tropical leafs, and coastal patchwork of fanciful fronds.		Shaw Living offers a one year warranty against manufacturing defects of area rug products.
12	Palm Patches			Shaw Living offers a one year warranty against manufacturing defects of area rug products.
13	November	Offering a wide assortment of patterns, the Accents collection features a common color palette that blends earthy shades with vibrant jewel tones that's warm, soothing, and inviting. Accents covers the gamut of interior design themes: retro modern looks, organic and nature motifs; Asian and Sante Fe styles; sleek, bold, modern stripes and geometrics; rhythmic transitional images; and classic European and Persian influences. Whether its tropical fronds or a new twist on animal skins, you'll find today's hottest designs. So you can choose traditional or contemporary or anything in between. Machine woven of olefin fiber, the collection has a buttery-soft finish that inherently resists soil and stains and is fade resistant-all of which mean lasting beauty and performance.		Shaw Living offers a one year warranty against manufacturing defects of area rug products.
14	Forest	Modern and upbeat, Impressions is our premier collection of stunning transitional and contemporary designs.  The boldly colored collection of 24 sophisticated patterns and distinctive motifs, from organic to geometric, is further embellished with a carving effect which adds unique dimension and value, beyond all other contemporary products.  The actual hi-lo weaving technique that gives this visual and tactile contour to the surface of the rug intensifies the depth and richness of the rug's design elements.  The lustrous olefin yarn, with a buttery-soft hand, enhances the dimensional quality of the collection.  Machine crafted of plush olefin fiber in a Wilton woven construction.		Shaw Living offers a one year warranty against manufacturing defects of area rug products.
15	Provencal	Lifestyle Designer Kathy Ireland expresses her casual and on trend approach to home interiors with the Kathy Ireland Home Collection.  The mission is finding solutions for families, especially busy moms. This extremely popular collection is inspired by Kathy's travels all over the world and embraced by millions of families.  Kathy's trusted design insight, beautiful color palette and unique styles have made her well-established Essentials rugs our company's best selling collection to date. Machine-crafted of plush 100% olefin in a Wilton woven construction, Essentials rugs are available in a wide range of sizes, including oversized, round and squares, as well as runners. Comfortable, inviting and touchable, these rugs make decorating easy because they work for a wide range of home decors.     2000-2004 Shaw Living		Shaw Living offers a one year warranty against manufacturing defects of area rug products.
16	Mirabella	Renaissance marks a rebirth of design, color and value in the area rug market.  It's here that the practicality and softness of Shaw's EverTouch nylon and the aesthetic natural quality of antique carpets come together in a single collection of fine rugs that, undoubtedly, blurs the line between handmade and machine-made.  The majority of the collection is traditional, with a representation of casual transitionals and contemporaries.  Each style creates a new expectation, a new benchmark, a new sophistication, and redefines what world class styling is and should be.  The colors in this collection combine the neutral tones of antique carpets with the punch of today's most influential accent colors to coordinate with more fabrics, more often.  With the introduction of the Renaissance collection, the standard by which we judge the beauty and value of machine-made has been set.		Shaw Living offers a one year warranty against manufacturing defects of area rug products.
