manufacturers_id	color_name	color_image_url	color_category
1	Sisal		Stanton Custom
2	Beige Strie		Stanton Custom
2	Charcoal Strie		Stanton Custom
3	Linen	http://stanton-carpet.s3.amazonaws.com/Images/Acadia_Linen.jpg	Stanton Custom
3	Snowdrift	http://stanton-carpet.s3.amazonaws.com/Images/Acadia_Snowdrift.jpg	Stanton Custom
3	Pebble	http://stanton-carpet.s3.amazonaws.com/Images/Acadia_Pebble.jpg	Stanton Custom
3	Flint	http://stanton-carpet.s3.amazonaws.com/Images/Acadia_Flint.jpg	Stanton Custom
4	Straw	http://stanton-carpet.s3.amazonaws.com/Images/Accra_Straw_1.jpg	Stanton Custom
4	Linen	http://stanton-carpet.s3.amazonaws.com/Images/Accra_Linen_1.jpg	Stanton Custom
4	Teak	http://stanton-carpet.s3.amazonaws.com/Images/Accra_Teak_1.jpg	Stanton Custom
4	Nutmeg	http://stanton-carpet.s3.amazonaws.com/Images/Accra_Nutmeg_1.jpg	Stanton Custom
5	Beige Strie		Stanton Custom
5	Charcoal Strie		Stanton Custom
6	Sisal		Stanton Custom
7	Beige Strie		Stanton Custom
7	Charcoal Strie		Stanton Custom
8	Jetty		Stanton Custom
8	Sea Dove		Stanton Custom
8	Mineral		Stanton Custom
8	Shell		Stanton Custom
8	Mediterranean		Stanton Custom
9	Cameo	http://stanton-carpet.s3.amazonaws.com/Images/AlexanderRunner_Cameo.jpg	Stanton Custom
9	Olive	http://stanton-carpet.s3.amazonaws.com/Images/Alexander_Runner_Olive.jpg	Stanton Custom
9	Wine	http://stanton-carpet.s3.amazonaws.com/Images/Alexander_Runner_Wine.jpg	Stanton Custom
9	Beige	http://stanton-carpet.s3.amazonaws.com/Images/Alexander_Runner_Beige.jpg	Stanton Custom
9	Black	http://stanton-carpet.s3.amazonaws.com/Images/Alexander_Runner_Black.jpg	Stanton Custom
9	Winter Wheat	http://stanton-carpet.s3.amazonaws.com/Images/AlexanderRunner_WinterWheat.jpg	Stanton Custom
9	Gold	http://stanton-carpet.s3.amazonaws.com/Images/Alexander_Runner_Gold.jpg	Stanton Custom
9	Storm Blue	http://stanton-carpet.s3.amazonaws.com/Images/AlexanderRunner_StormBlue.jpg	Stanton Custom
9	River Rock	http://stanton-carpet.s3.amazonaws.com/Images/AlexanderRunner_RiverRock.jpg	Stanton Custom
9	Cocoa	http://stanton-carpet.s3.amazonaws.com/Images/AlexanderRunner_Cocoa.jpg	Stanton Custom
10	Cameo	http://stanton-carpet.s3.amazonaws.com/Images/AlexanderRunner_Cameo.jpg	Stanton Custom
10	Olive	http://stanton-carpet.s3.amazonaws.com/Images/AlexanderRunner_Olive.jpg	Stanton Custom
10	Wine	http://stanton-carpet.s3.amazonaws.com/Images/AlexanderRunner_Wine.jpg	Stanton Custom
10	Beige	http://stanton-carpet.s3.amazonaws.com/Images/AlexanderRunner_Beige.jpg	Stanton Custom
10	Black	http://stanton-carpet.s3.amazonaws.com/Images/AlexanderRunner_Black.jpg	Stanton Custom
10	Winter Wheat	http://stanton-carpet.s3.amazonaws.com/Images/AlexanderRunner_WinterWheat.jpg	Stanton Custom
10	Gold	http://stanton-carpet.s3.amazonaws.com/Images/AlexanderRunner_Gold.jpg	Stanton Custom
10	Storm Blue	http://stanton-carpet.s3.amazonaws.com/Images/AlexanderRunner_StormBlue.jpg	Stanton Custom
10	River Rock	http://stanton-carpet.s3.amazonaws.com/Images/AlexanderRunner_RiverRock.jpg	Stanton Custom
10	Cocoa	http://stanton-carpet.s3.amazonaws.com/Images/AlexanderRunner_Cocoa.jpg	Stanton Custom
11	Rich Fawn		Stanton Custom
12	Natural	http://stanton-carpet.s3.amazonaws.com/Images/Amazon_600Natural.jpg	Stanton Custom
13	Black Pearl		Stanton Custom
14	Midnight	http://stanton-carpet.s3.amazonaws.com/Images/AnastasiaRunner_Midnight.jpg	Stanton Custom
14	Claret	http://stanton-carpet.s3.amazonaws.com/Images/AnastasiaRunner_Claret.jpg	Stanton Custom
14	Tannery	http://stanton-carpet.s3.amazonaws.com/Images/AnastasiaRunner_Tannery.jpg	Stanton Custom
14	Olive	http://stanton-carpet.s3.amazonaws.com/Images/AnastasiaRunner_Olive.jpg	Stanton Custom
14	Beige	http://stanton-carpet.s3.amazonaws.com/Images/AnastasiaRunner_Beige.jpg	Stanton Custom
15	Midnight	http://stanton-carpet.s3.amazonaws.com/Images/AnastasiaRunner_Midnight.jpg	Stanton Custom
15	Claret	http://stanton-carpet.s3.amazonaws.com/Images/AnastasiaRunner_Claret.jpg	Stanton Custom
15	Tannery	http://stanton-carpet.s3.amazonaws.com/Images/AnastasiaRunner_Tannery.jpg	Stanton Custom
15	Olive	http://stanton-carpet.s3.amazonaws.com/Images/AnastasiaRunner_Olive.jpg	Stanton Custom
15	Beige	http://stanton-carpet.s3.amazonaws.com/Images/AnastasiaRunner_Beige.jpg	Stanton Custom
16	Aqua Sand		Stanton Custom
16	Teak		Stanton Custom
16	Golden Beach		Stanton Custom
16	Cascade		Stanton Custom
17	Soft Beige	http://stanton-carpet.s3.amazonaws.com/Images/Andora_SoftBeige.jpg	Stanton Custom
17	Red Sunset	http://stanton-carpet.s3.amazonaws.com/Images/Andora_RedSunset.jpg	Stanton Custom
17	Umber	http://stanton-carpet.s3.amazonaws.com/Images/Andora_Umber.jpg	Stanton Custom
17	Noir	http://stanton-carpet.s3.amazonaws.com/Images/Andora_Noir.jpg	Stanton Custom
17	Seaside Blue	http://stanton-carpet.s3.amazonaws.com/Images/Andora_SeasideBlue.jpg	Stanton Custom
17	Saffron	http://stanton-carpet.s3.amazonaws.com/Images/Andora_Saffron.jpg	Stanton Custom
18	Driftwood	http://stanton-carpet.s3.amazonaws.com/Images/Andromeda_Driftwood.jpg	Stanton Custom
18	Raven	http://stanton-carpet.s3.amazonaws.com/Images/Andromeda_Raven.jpg	Stanton Custom
18	Silver	http://stanton-carpet.s3.amazonaws.com/Images/Andromeda_Silver.jpg	Stanton Custom
18	Shell	http://stanton-carpet.s3.amazonaws.com/Images/Andromeda_Shell.jpg	Stanton Custom
18	Ocean Mist	http://stanton-carpet.s3.amazonaws.com/Images/Andromeda_OceanMist.jpg	Stanton Custom
19	Grey		Stanton Custom
19	Medium Beige		Stanton Custom
20	Grey		Stanton Custom
20	Medium Beige		Stanton Custom
20	Sand		Stanton Custom
20	Sea Breeze		Stanton Custom
20	White Lt/Beige		Stanton Custom
21	Grey		Stanton Custom
21	Medium Beige		Stanton Custom
21	Sand		Stanton Custom
21	Sea Breeze		Stanton Custom
21	White Light Beige		Stanton Custom
22	Olive		Stanton Custom
22	Wine		Stanton Custom
22	Beige		Stanton Custom
22	Black		Stanton Custom
23	Olive		Stanton Custom
23	Wine		Stanton Custom
23	Beige		Stanton Custom
23	Black		Stanton Custom
24	Blue		Stanton Custom
24	Caramel		Stanton Custom
24	Charcoal Grey		Stanton Custom
24	Coffee		Stanton Custom
24	Mushroom		Stanton Custom
24	Tigris		Stanton Custom
25	Golden Falls		Stanton Custom
25	Williams		Stanton Custom
25	Pembina		Stanton Custom
25	Brown Sugar		Stanton Custom
25	Redcliffe		Stanton Custom
26	Pewter		Stanton Custom
26	Champagne		Stanton Custom
26	Cherry Blossom		Stanton Custom
26	Lavender Fields		Stanton Custom
26	Dockside		Stanton Custom
26	Quicksilver		Stanton Custom
26	Midnight		Stanton Custom
26	Blue Sky		Stanton Custom
26	Ashwood		Stanton Custom
26	Mountain		Stanton Custom
27	Coronation		Stanton Custom
27	Kohl		Stanton Custom
27	Bronze		Stanton Custom
27	Crimson		Stanton Custom
27	Mantle		Stanton Custom
27	Pearl		Stanton Custom
27	Voyage		Stanton Custom
28	Coronation		Stanton Custom
28	Kohl		Stanton Custom
28	Bronze		Stanton Custom
28	Crimson		Stanton Custom
28	Mantle		Stanton Custom
28	Pearl		Stanton Custom
28	Voyage		Stanton Custom
29	Onyx		Stanton Custom
29	Pearl		Stanton Custom
29	Garnet		Stanton Custom
30	Onyx	http://stanton-carpet.s3.amazonaws.com/Images/Aries_Onyx.jpg	Stanton Custom
30	Pearl	http://stanton-carpet.s3.amazonaws.com/Images/Aries_Pearl.jpg	Stanton Custom
30	Garnet	http://stanton-carpet.s3.amazonaws.com/Images/Aries_Garnet.jpg	Stanton Custom
31	Warm Taupe		Stanton Custom
31	Flax		Stanton Custom
31	Oyster		Stanton Custom
31	Silver		Stanton Custom
31	Metal Work		Stanton Custom
32	Ocean Side		Stanton Custom
32	Flax		Stanton Custom
32	Sea Foam		Stanton Custom
32	Sporan Silver		Stanton Custom
33	Sea Salt	http://stanton-carpet.s3.amazonaws.com/Images/Artemis_SeaSalt.jpg	Stanton Custom
33	Mineral	http://stanton-carpet.s3.amazonaws.com/Images/Artemis_Mineral.jpg	Stanton Custom
33	Jetty	http://stanton-carpet.s3.amazonaws.com/Images/Artemis_Jetty.jpg	Stanton Custom
33	Ocean Mist	http://stanton-carpet.s3.amazonaws.com/Images/Artemis_OceanMist.jpg	Stanton Custom
33	Driftwood	http://stanton-carpet.s3.amazonaws.com/Images/Artemis_Driftwood.jpg	Stanton Custom
34	Onyx		Stanton Custom
34	Ginger		Stanton Custom
34	Highland		Stanton Custom
35	Tranquil Blue	http://stanton-carpet.s3.amazonaws.com/Images/Aston_TranquilBlue.jpg	Stanton Custom
35	Warm Sand	http://stanton-carpet.s3.amazonaws.com/Images/Aston_WarmSand.jpg	Stanton Custom
35	Ecru	http://stanton-carpet.s3.amazonaws.com/Images/Aston_Ecru.jpg	Stanton Custom
35	Seaglass	http://stanton-carpet.s3.amazonaws.com/Images/Aston_Seaglass.jpg	Stanton Custom
36	Ivory	http://stanton-carpet.s3.amazonaws.com/Images/AstorPlace_Ivory.jpg	Stanton Custom
36	Canvas	http://stanton-carpet.s3.amazonaws.com/Images/AstorPlace_Canvas.jpg	Stanton Custom
36	Heather Grey	http://stanton-carpet.s3.amazonaws.com/Images/AstorPlace_HeatherGrey.jpg	Stanton Custom
36	Praline	http://stanton-carpet.s3.amazonaws.com/Images/AstorPlace_Praline.jpg	Stanton Custom
36	Flannel	http://stanton-carpet.s3.amazonaws.com/Images/AstorPlace_Flannel.jpg	Stanton Custom
37	Pinky		Stanton Custom
38	Travertine		Stanton Custom
38	Aqua Mist		Stanton Custom
38	Blue Horizon		Stanton Custom
38	Birch		Stanton Custom
38	Sandstone		Stanton Custom
38	Champagne		Stanton Custom
38	Indigo		Stanton Custom
39	Cirrus	http://stanton-carpet.s3.amazonaws.com/Images/Atmosphere_Cirrus.jpg	Stanton Custom
39	Terra	http://stanton-carpet.s3.amazonaws.com/Images/Atmosphere_Terra.jpg	Stanton Custom
39	Beach	http://stanton-carpet.s3.amazonaws.com/Images/Atmosphere_Beach.jpg	Stanton Custom
40	Summer Sand		Stanton Custom
40	Acorn		Stanton Custom
40	Coin		Stanton Custom
40	Prairie Tan		Stanton Custom
40	Sepia		Stanton Custom
40	Golden Harvest		Stanton Custom
40	Pewter		Stanton Custom
40	Tarnished Nickel		Stanton Custom
41	City Beige		Stanton Custom
41	Suede		Stanton Custom
41	Maritime		Stanton Custom
41	Hudson View		Stanton Custom
41	Midnight		Stanton Custom
42	Spring Mist		Stanton Custom
43	Spring Mist		Stanton Custom
44	Spring Mist		Stanton Custom
45	Spring Mist		Stanton Custom
46	Watershed	http://stanton-carpet.s3.amazonaws.com/Images/Aylin_Watershed.jpg	Stanton Custom
46	Powder Blue		Stanton Custom
46	Sandstone	http://stanton-carpet.s3.amazonaws.com/Images/Aylin_Sandstone.jpg	Stanton Custom
46	Camel	http://stanton-carpet.s3.amazonaws.com/Images/Aylin_Camel.jpg	Stanton Custom
46	Ebony	http://stanton-carpet.s3.amazonaws.com/Images/Aylin_Ebony.jpg	Stanton Custom
46	Cinnabar	http://stanton-carpet.s3.amazonaws.com/Images/Aylin_Cinnabar.jpg	Stanton Custom
46	Truffle	http://stanton-carpet.s3.amazonaws.com/Images/Aylin_Truffle.jpg	Stanton Custom
47	Antolian	http://stanton-carpet.s3.amazonaws.com/Images/BagiraRunner_Antolian.jpg	Stanton Custom
47	Animalia	http://stanton-carpet.s3.amazonaws.com/Images/BagiraRunner_Animalia.jpg	Stanton Custom
48	Antolian	http://stanton-carpet.s3.amazonaws.com/Images/BagiraRunner_Antolian.jpg	Stanton Custom
48	Animalia	http://stanton-carpet.s3.amazonaws.com/Images/BagiraRunner_Animalia.jpg	Stanton Custom
48	Zanzibar	http://stanton-carpet.s3.amazonaws.com/Images/BagiraRunner_Zanzibar.jpg	Stanton Custom
49	Seaspray		Stanton Custom
49	Sandbar		Stanton Custom
49	Cowrie		Stanton Custom
49	Dove		Stanton Custom
49	Clapboard Grey		Stanton Custom
49	Nautical Blue		Stanton Custom
50	Almond		Stanton Custom
50	Sandstone		Stanton Custom
50	Flint		Stanton Custom
50	Silver		Stanton Custom
51	Birch		Stanton Custom
51	Sand		Stanton Custom
51	Straw		Stanton Custom
51	Harvest		Stanton Custom
52	Dusk		Stanton Custom
52	Cafe		Stanton Custom
52	Belgian Beige		Stanton Custom
52	Winter Taupe		Stanton Custom
52	Midnight		Stanton Custom
52	Champagne		Stanton Custom
52	Cherry Blossom		Stanton Custom
52	Pompeii Red		Stanton Custom
52	Ocean		Stanton Custom
52	Spring Path		Stanton Custom
52	Bittersweet		Stanton Custom
52	Lavender Fields		Stanton Custom
52	Silver		Stanton Custom
52	Blue Sky		Stanton Custom
52	Indigo		Stanton Custom
53	Shilling		Stanton Custom
53	Ocean		Stanton Custom
53	Beach		Stanton Custom
53	Saddle		Stanton Custom
53	Navy		Stanton Custom
53	Blackstone		Stanton Custom
54	Bark		Stanton Custom
54	Mocha		Stanton Custom
54	Sea Breeze		Stanton Custom
54	Straw		Stanton Custom
55	Seafoam		Stanton Custom
56	Seafoam		Stanton Custom
57	Spice		Stanton Custom
57	Graphite		Stanton Custom
57	Bramble		Stanton Custom
57	Cafe		Stanton Custom
58	Autumn		Stanton Custom
58	Winter Shade		Stanton Custom
58	Cremerie		Stanton Custom
