brand	manufacturers_id	name	description	room_image_url	fiber	texture	warranty
Stanton	1	Anywhere Bedford			100% POLYPROPYLENE	Stanton Custom	
Stanton	2	Arista Border			100% WOOL	Stanton Custom	
Stanton	3	Acadia			100% WOOL	Stanton Custom	
Stanton	4	Accra			SISAL	Stanton Custom	
Stanton	5	Arista Cross Square			100% WOOL	Stanton Custom	
Stanton	6	Anywhere Cyprus			UV STABLE POLYPROPYL	Stanton Custom	
Stanton	7	Arista Diamond			100% WOOL	Stanton Custom	
Stanton	8	Adonis			20%NYLON 50%WL30%NZW	Stanton Custom	
Stanton	9	Alexander			100% WNZ	Stanton Custom	
Stanton	10	Alexander Runner			100% WNZ	Stanton Custom	
Stanton	11	Alifa			100% WOOL	Stanton Custom	
Stanton	12	Amazon			SEAGRASS	Stanton Custom	
Stanton	13	Amelia			ROYALTRON	Stanton Custom	
Stanton	14	Anastasia Runner			100% N.Z. WOOL	Stanton Custom	
Stanton	15	Anastasia			100% N.Z. WOOL	Stanton Custom	
Stanton	16	Anatol			WOOLS OF NZ	Stanton Custom	
Stanton	17	Andora			POLYPROPYLENE/ROYALT	Stanton Custom	
Stanton	18	Andromeda			80% WOOL 20% NYLON	Stanton Custom	
Stanton	19	Annandale Brick			100% WOOL	Stanton Custom	
Stanton	20	Annandale Integratio			100% WOOL	Stanton Custom	
Stanton	21	Annandale Kasten			100% WOOL	Stanton Custom	
Stanton	22	Annette Runner			100% WNZ	Stanton Custom	
Stanton	23	Annette			100% WNZ	Stanton Custom	
Stanton	24	Antelope			ROYALTRON	Stanton Custom	
Stanton	25	Antibes			POLYP/ROYALTRON	Stanton Custom	
Stanton	26	Arden Runner Border			100% NYLON TYPE 6.0	Stanton Custom	
Stanton	27	Argos Runner			ROYALTRON/POLYPROPYL	Stanton Custom	
Stanton	28	Argos			ROYALTRON/POLYPROPYL	Stanton Custom	
Stanton	29	Aries Runner			97%POLYPROP 3%VISCOS	Stanton Custom	
Stanton	30	Aries			96%POLYPROP 4%VISCOS	Stanton Custom	
Stanton	31	Arlington			50% NZW 50% WOOL	Stanton Custom	
Stanton	32	Arran			85%WOOL 15%JUTE	Stanton Custom	
Stanton	33	Artemis			80% WOOL 20% NYLON	Stanton Custom	
Stanton	34	Ascot			POLYPROPYLENE	Stanton Custom	
Stanton	35	Aston			100% NZW	Stanton Custom	
Stanton	36	Astor Place			100% WOOL	Stanton Custom	
Stanton	37	Arianna Stripe			100% WOOL	Stanton Custom	
Stanton	38	Athena			50% WOOL 50% VISCOSE	Stanton Custom	
Stanton	39	Atmosphere			55% WOOL 45% SISAL	Stanton Custom	
Stanton	40	Aurora			60% WOOL 40% VISCOSE	Stanton Custom	
Stanton	41	Avenue B			ROYALTRON/POLYPROPYL	Stanton Custom	
Stanton	42	Axiom Bargello			100% WOOL	Stanton Custom	
Stanton	43	Axiom Border			100% WOOL	Stanton Custom	
Stanton	44	Axiom Diamond			100% WOOL	Stanton Custom	
Stanton	45	Axiom Panel			100% WOOL	Stanton Custom	
Stanton	46	Aylin			100% WOOL	Stanton Custom	
Stanton	47	Bagira			WNZ	Stanton Custom	
Stanton	48	Bagira Runner			WNZ	Stanton Custom	
Stanton	49	Baltimore			20%NYLON50%WL30%NZW	Stanton Custom	
Stanton	50	Bandar			100% WOOL	Stanton Custom	
Stanton	51	Barok			80% WOOL 20% SISAL	Stanton Custom	
Stanton	52	Barrett Runnerborder			100% NYLON TYPE 6.0	Stanton Custom	
Stanton	53	Baxter			ROYALTRON/POLYPROPYL	Stanton Custom	
Stanton	54	Barringer Diamond			100% WOOL	Stanton Custom	
Stanton	55	Bor De Mer Border			100% WOOL	Stanton Custom	
Stanton	56	Borddemerbasketweave			100% WOOL	Stanton Custom	
Stanton	57	Belvedere			POLYP.	Stanton Custom	
Stanton	58	Beringer			50%WOOL 50%POLYESTER	Stanton Custom	
Stanton	59	Berwyn Border			100% WOOL	Stanton Custom	
Stanton	60	Berwyn Diamond			100% WOOL	Stanton Custom	
