brand	manufacturers_id	name	description	room_image_url	warranty
Zoroufy	1	Inspiration	Inspiration bracket accomodates carpet runners with padding up to 5/8 inch total thickness	http://zoroufy.s3.amazonaws.com/Installation%20Staircase%20Images/Select/Inst_Select_Urn_PB.jpg	
Zoroufy	2	Select	Select bracket accomodates carpet runners with padding up to 5/8 inch total thickness	http://zoroufy.s3.amazonaws.com/Installation%20Staircase%20Images/Select/Inst_Select_Urn_PB.jpg	
Zoroufy	3	Heritage	Heritage Regular brackets accommodate carpet runners and padding up to 3/4 inch total thickness	http://zoroufy.s3.amazonaws.com/Installation%20Staircase%20Images/Heritage/Curved_Her_Pine_Solid_PB.jpg	
Zoroufy	4	Sovereign	Sovereign brackets accommodate carpet runners and padding up to 3/4 inch total thickness	http://zoroufy.s3.amazonaws.com/Installation%20Staircase%20Images/Sovereign/Inst_Sov_Ball_Smth_WI2.jpg	
Zoroufy	5	Dynasty	Dynasty brackets accommodate carpet runners and padding up to 3/4 inch total thickness	http://zoroufy.s3.amazonaws.com/Installation%20Staircase%20Images/Dynasty/Cleaning_Dyn_Acorn_SmthBkt_Fltd_AB2.jpg	
Zoroufy	6	Grand Dynasty	Grand Dynasty brackets accommodate carpet runners and padding up to 3/4 inch total thickness	http://zoroufy.s3.amazonaws.com/Installation%20Staircase%20Images/Grand%20Dynasty/After_GrnDyn_Pine_Rpd_BB.jpg	
Zoroufy	7	Stair Jewel	Grand Dynasty brackets accommodate carpet runners and padding up to 3/4 inch total thickness		
Zoroufy	8	Classic	Classic Collection Wall Hangers hold 10lbs per foot when properly installed.	http://zoroufy.s3.amazonaws.com/Installation%20Staircase%20Images/Classic%20WH/Classic%20AB-R%20.tif	
Zoroufy	9	Regency	Regency Collection Wall Hangers hold 10lbs per foot when properly installed.	http://zoroufy.s3.amazonaws.com/Installation%20Staircase%20Images/Regency%20WH/Regency%20ORB%20_2R.tif	
Zoroufy	10	Grand Regency	Grand Regency Collection Wall Hangers hold 10lbs per foot when properly installed.	http://zoroufy.s3.amazonaws.com/Installation%20Staircase%20Images/Grand%20Regency%20WH/Grand%20Regency%20AP%20_1R.tif
Zoroufy	11	Legacy	Legacy Collection Wall Hangers hold 10lbs per foot when properly installed.	http://zoroufy.s3.amazonaws.com/Installation%20Staircase%20Images/Legacy%20WH/Legacy%20AB1%20_1R.tif
